date,VRTX
2015-12-26,15
2015-12-27,19
2015-12-28,46
2015-12-29,34
2015-12-30,47
2015-12-31,28
2016-01-01,11
2016-01-02,19
2016-01-03,0
2016-01-04,31
2016-01-05,51
2016-01-06,55
2016-01-07,35
2016-01-08,40
2016-01-09,22
2016-01-10,13
2016-01-11,49
2016-01-12,42
2016-01-13,57
2016-01-14,46
2016-01-15,39
2016-01-16,13
2016-01-17,9
2016-01-18,30
2016-01-19,42
2016-01-20,42
2016-01-21,69
2016-01-22,20
2016-01-23,9
2016-01-24,17
2016-01-25,34
2016-01-26,30
2016-01-27,90
2016-01-28,96
2016-01-29,55
2016-01-30,18
2016-01-31,21
2016-02-01,54
2016-02-02,68
2016-02-03,73
2016-02-04,82
2016-02-05,61
2016-02-06,39
2016-02-07,17
2016-02-08,79
2016-02-09,86
2016-02-10,89
2016-02-11,34
2016-02-12,38
2016-02-13,21
2016-02-14,17
2016-02-15,41
2016-02-16,84
2016-02-17,76
2016-02-18,47
2016-02-19,42
2016-02-20,13
2016-02-21,8
2016-02-22,54
2016-02-23,69
2016-02-24,51
2016-02-25,43
2016-02-26,41
2016-02-27,17
2016-02-28,29
2016-02-29,52
2016-03-01,49
2016-03-02,57
2016-03-03,69
2016-03-04,63
2016-03-05,21
2016-03-06,8
2016-03-07,65
2016-03-08,61
2016-03-09,46
2016-03-10,46
2016-03-11,45
2016-03-12,13
2016-03-13,0
2016-03-14,50
2016-03-15,82
2016-03-16,61
2016-03-17,47
2016-03-18,64
2016-03-19,33
2016-03-20,12
2016-03-21,65
2016-03-22,39
2016-03-23,70
2016-03-24,53
2016-03-25,20
2016-03-26,35
2016-03-27,13
2016-03-28,26
2016-03-29,53
2016-03-30,40
2016-03-31,47
2016-04-01,68
2016-04-02,17
2016-04-03,12
2016-04-04,72
2016-04-05,60
2016-04-06,39
2016-04-07,97
2016-04-08,52
2016-04-09,34
2016-04-10,8
2016-04-11,42
2016-04-12,46
2016-04-13,47
2016-04-14,83
2016-04-15,60
2016-04-16,17
2016-04-17,17
2016-04-18,100
2016-04-19,79
2016-04-20,73
2016-04-21,55
2016-04-22,30
2016-04-23,13
2016-04-24,17
2016-04-25,72
2016-04-26,57
2016-04-27,68
2016-04-28,37
2016-04-29,45
2016-04-30,43
2016-05-01,21
2016-05-02,48
2016-05-03,43
2016-05-04,47
2016-05-05,45
2016-05-06,39
2016-05-07,9
2016-05-08,26
2016-05-09,47
2016-05-10,39
2016-05-11,57
2016-05-12,47
2016-05-13,53
2016-05-14,13
2016-05-15,8
2016-05-16,57
2016-05-17,61
2016-05-18,57
2016-05-19,51
2016-05-20,60
2016-05-21,17
2016-05-22,13
2016-05-23,54
2016-05-24,61
2016-05-25,43
2016-05-26,52
2016-05-27,61
2016-05-28,9
2016-05-29,9
2016-05-30,34
2016-05-31,65
2016-06-01,61
2016-06-02,62
2016-06-03,61
2016-06-04,9
2016-06-05,13
2016-06-06,65
2016-06-07,32
2016-06-08,51
2016-06-09,59
2016-06-10,19
2016-06-11,8
2016-06-12,17
2016-06-13,61
2016-06-14,54
2016-06-15,43
2016-06-16,47
2016-06-17,38
2016-06-18,26
2016-06-19,17
2016-06-20,61
2016-06-21,51
2016-06-22,55
2016-06-23,55
2016-06-24,65
2016-06-25,17
2016-06-26,13
2016-06-27,43
2016-06-28,66
2016-06-29,48
2016-06-30,41
2016-07-01,42
2016-07-02,13
2016-07-03,9
2016-07-04,23
2016-07-05,38
2016-07-06,42
2016-07-07,31
2016-07-08,31
2016-07-09,9
2016-07-10,17
2016-07-11,40
2016-07-12,40
2016-07-13,52
2016-07-14,41
2016-07-15,42
2016-07-16,9
2016-07-17,13
2016-07-18,22
2016-07-19,49
2016-07-20,49
2016-07-21,45
2016-07-22,46
2016-07-23,17
2016-07-24,26
2016-07-25,40
2016-07-26,52
2016-07-27,70
2016-07-28,75
2016-07-29,35
2016-07-30,13
2016-07-31,9
2016-08-01,52
2016-08-02,48
2016-08-03,59
2016-08-04,63
2016-08-05,58
2016-08-06,22
2016-08-07,9
2016-08-08,22
2016-08-09,48
2016-08-10,59
2016-08-11,26
2016-08-12,38
2016-08-13,13
2016-08-14,9
2016-08-15,42
2016-08-16,62
2016-08-17,55
2016-08-18,59
2016-08-19,61
2016-08-20,17
2016-08-21,8
2016-08-22,29
2016-08-23,44
2016-08-24,55
2016-08-25,56
2016-08-26,61
2016-08-27,17
2016-08-28,25
2016-08-29,39
2016-08-30,43
2016-08-31,82
2016-09-01,54
2016-09-02,56
2016-09-03,0
2016-09-04,8
2016-09-05,29
2016-09-06,35
2016-09-07,68
2016-09-08,93
2016-09-09,44
2016-09-10,17
2016-09-11,16
