date,VRTX
2012-10-12,15
2012-10-13,8
2012-10-14,8
2012-10-15,13
2012-10-16,7
2012-10-17,13
2012-10-18,3
2012-10-19,7
2012-10-20,4
2012-10-21,12
2012-10-22,7
2012-10-23,10
2012-10-24,7
2012-10-25,10
2012-10-26,9
2012-10-27,10
2012-10-28,12
2012-10-29,0
2012-10-30,3
2012-10-31,5
2012-11-01,9
2012-11-02,39
2012-11-03,10
2012-11-04,4
2012-11-05,10
2012-11-06,11
2012-11-07,7
2012-11-08,8
2012-11-09,10
2012-11-10,4
2012-11-11,4
2012-11-12,7
2012-11-13,13
2012-11-14,8
2012-11-15,10
2012-11-16,10
2012-11-17,6
2012-11-18,0
2012-11-19,7
2012-11-20,13
2012-11-21,7
2012-11-22,7
2012-11-23,0
2012-11-24,0
2012-11-25,4
2012-11-26,5
2012-11-27,3
2012-11-28,10
2012-11-29,7
2012-11-30,10
2012-12-01,4
2012-12-02,4
2012-12-03,6
2012-12-04,13
2012-12-05,13
2012-12-06,5
2012-12-07,5
2012-12-08,8
2012-12-09,4
2012-12-10,10
2012-12-11,5
2012-12-12,5
2012-12-13,7
2012-12-14,5
2012-12-15,4
2012-12-16,4
2012-12-17,5
2012-12-18,10
2012-12-19,12
2012-12-20,5
2012-12-21,7
2012-12-22,12
2012-12-23,0
2012-12-24,6
2012-12-25,4
2012-12-26,0
2012-12-27,3
2012-12-28,7
2012-12-29,12
2012-12-30,0
2012-12-31,8
2013-01-01,0
2013-01-02,7
2013-01-03,10
2013-01-04,15
2013-01-05,4
2013-01-06,0
2013-01-07,10
2013-01-08,12
2013-01-09,6
2013-01-10,10
2013-01-11,8
2013-01-12,0
2013-01-13,0
2013-01-14,5
2013-01-15,12
2013-01-16,6
2013-01-17,0
2013-01-18,6
2013-01-19,11
2013-01-20,4
2013-01-21,5
2013-01-22,6
2013-01-23,8
2013-01-24,3
2013-01-25,10
2013-01-26,4
2013-01-27,7
2013-01-28,3
2013-01-29,12
2013-01-30,11
2013-01-31,9
2013-02-01,11
2013-02-02,7
2013-02-03,0
2013-02-04,0
2013-02-05,3
2013-02-06,9
2013-02-07,6
2013-02-08,6
2013-02-09,0
2013-02-10,0
2013-02-11,12
2013-02-12,6
2013-02-13,6
2013-02-14,11
2013-02-15,6
2013-02-16,5
2013-02-17,4
2013-02-18,5
2013-02-19,5
2013-02-20,6
2013-02-21,3
2013-02-22,9
2013-02-23,4
2013-02-24,4
2013-02-25,7
2013-02-26,6
2013-02-27,17
2013-02-28,12
2013-03-01,5
2013-03-02,4
2013-03-03,4
2013-03-04,4
2013-03-05,8
2013-03-06,6
2013-03-07,8
2013-03-08,6
2013-03-09,4
2013-03-10,4
2013-03-11,15
2013-03-12,6
2013-03-13,6
2013-03-14,7
2013-03-15,3
2013-03-16,5
2013-03-17,3
2013-03-18,7
2013-03-19,6
2013-03-20,7
2013-03-21,6
2013-03-22,6
2013-03-23,4
2013-03-24,5
2013-03-25,3
2013-03-26,3
2013-03-27,6
2013-03-28,16
2013-03-29,3
2013-03-30,6
2013-03-31,4
2013-04-01,5
2013-04-02,6
2013-04-03,9
2013-04-04,6
2013-04-05,8
2013-04-06,3
2013-04-07,3
2013-04-08,3
2013-04-09,6
2013-04-10,4
2013-04-11,3
2013-04-12,6
2013-04-13,4
2013-04-14,4
2013-04-15,6
2013-04-16,6
2013-04-17,6
2013-04-18,24
2013-04-19,100
2013-04-20,13
2013-04-21,20
2013-04-22,19
2013-04-23,15
2013-04-24,24
2013-04-25,12
2013-04-26,11
2013-04-27,11
2013-04-28,7
2013-04-29,18
2013-04-30,10
2013-05-01,23
2013-05-02,8
2013-05-03,16
2013-05-04,5
2013-05-05,4
2013-05-06,9
2013-05-07,13
2013-05-08,15
2013-05-09,9
2013-05-10,19
2013-05-11,4
2013-05-12,7
2013-05-13,13
2013-05-14,7
2013-05-15,25
2013-05-16,9
2013-05-17,8
2013-05-18,7
2013-05-19,4
2013-05-20,6
2013-05-21,10
2013-05-22,13
2013-05-23,7
2013-05-24,6
2013-05-25,5
2013-05-26,0
2013-05-27,6
2013-05-28,7
2013-05-29,12
2013-05-30,19
2013-05-31,5
2013-06-01,11
2013-06-02,0
2013-06-03,6
2013-06-04,35
2013-06-05,60
2013-06-06,50
2013-06-07,39
2013-06-08,5
2013-06-09,5
2013-06-10,13
2013-06-11,29
2013-06-12,41
2013-06-13,25
2013-06-14,30
2013-06-15,11
2013-06-16,15
2013-06-17,35
2013-06-18,21
2013-06-19,29
2013-06-20,25
2013-06-21,16
2013-06-22,4
2013-06-23,5
2013-06-24,16
2013-06-25,28
2013-06-26,22
2013-06-27,22
2013-06-28,8
2013-06-29,6
