date,VRTX
2014-07-24,96
2014-07-25,60
2014-07-26,28
2014-07-27,9
2014-07-28,31
2014-07-29,80
2014-07-30,95
2014-07-31,92
2014-08-01,71
2014-08-02,41
2014-08-03,9
2014-08-04,87
2014-08-05,72
2014-08-06,76
2014-08-07,76
2014-08-08,65
2014-08-09,14
2014-08-10,14
2014-08-11,56
2014-08-12,48
2014-08-13,63
2014-08-14,31
2014-08-15,53
2014-08-16,14
2014-08-17,13
2014-08-18,30
2014-08-19,33
2014-08-20,74
2014-08-21,52
2014-08-22,46
2014-08-23,0
2014-08-24,9
2014-08-25,62
2014-08-26,72
2014-08-27,58
2014-08-28,52
2014-08-29,38
2014-08-30,18
2014-08-31,17
2014-09-01,15
2014-09-02,57
2014-09-03,78
2014-09-04,61
2014-09-05,82
2014-09-06,21
2014-09-07,21
2014-09-08,46
2014-09-09,66
2014-09-10,70
2014-09-11,64
2014-09-12,41
2014-09-13,0
2014-09-14,8
2014-09-15,63
2014-09-16,25
2014-09-17,47
2014-09-18,71
2014-09-19,55
2014-09-20,25
2014-09-21,8
2014-09-22,70
2014-09-23,67
2014-09-24,63
2014-09-25,78
2014-09-26,74
2014-09-27,21
2014-09-28,17
2014-09-29,88
2014-09-30,52
2014-10-01,57
2014-10-02,43
2014-10-03,27
2014-10-04,0
2014-10-05,0
2014-10-06,70
2014-10-07,56
2014-10-08,63
2014-10-09,50
2014-10-10,55
2014-10-11,8
2014-10-12,17
2014-10-13,42
2014-10-14,41
2014-10-15,31
2014-10-16,56
2014-10-17,48
2014-10-18,8
2014-10-19,33
2014-10-20,48
2014-10-21,48
2014-10-22,76
2014-10-23,70
2014-10-24,40
2014-10-25,33
2014-10-26,8
2014-10-27,34
2014-10-28,55
2014-10-29,38
2014-10-30,42
2014-10-31,18
2014-11-01,21
2014-11-02,12
2014-11-03,34
2014-11-04,55
2014-11-05,61
2014-11-06,31
2014-11-07,40
2014-11-08,8
2014-11-09,8
2014-11-10,24
2014-11-11,58
2014-11-12,34
2014-11-13,55
2014-11-14,53
2014-11-15,20
2014-11-16,16
2014-11-17,33
2014-11-18,44
2014-11-19,32
2014-11-20,45
2014-11-21,32
2014-11-22,12
2014-11-23,12
2014-11-24,57
2014-11-25,37
2014-11-26,31
2014-11-27,28
2014-11-28,43
2014-11-29,24
2014-11-30,23
2014-12-01,50
2014-12-02,30
2014-12-03,40
2014-12-04,61
2014-12-05,39
2014-12-06,16
2014-12-07,16
2014-12-08,44
2014-12-09,63
2014-12-10,51
2014-12-11,55
2014-12-12,50
2014-12-13,33
2014-12-14,16
2014-12-15,27
2014-12-16,55
2014-12-17,59
2014-12-18,36
2014-12-19,33
2014-12-20,8
2014-12-21,25
2014-12-22,22
2014-12-23,56
2014-12-24,29
2014-12-25,9
2014-12-26,24
2014-12-27,0
2014-12-28,16
2014-12-29,25
2014-12-30,33
2014-12-31,29
2015-01-01,9
2015-01-02,22
2015-01-03,12
2015-01-04,8
2015-01-05,54
2015-01-06,71
2015-01-07,39
2015-01-08,36
2015-01-09,47
2015-01-10,23
2015-01-11,19
2015-01-12,53
2015-01-13,52
2015-01-14,85
2015-01-15,49
2015-01-16,51
2015-01-17,15
2015-01-18,23
2015-01-19,59
2015-01-20,58
2015-01-21,45
2015-01-22,49
2015-01-23,40
2015-01-24,23
2015-01-25,30
2015-01-26,42
2015-01-27,64
2015-01-28,65
2015-01-29,52
2015-01-30,67
2015-01-31,19
2015-02-01,7
2015-02-02,64
2015-02-03,60
2015-02-04,32
2015-02-05,100
2015-02-06,60
2015-02-07,19
2015-02-08,15
2015-02-09,25
2015-02-10,61
2015-02-11,61
2015-02-12,68
2015-02-13,44
2015-02-14,15
2015-02-15,23
2015-02-16,44
2015-02-17,66
2015-02-18,42
2015-02-19,32
2015-02-20,51
2015-02-21,31
2015-02-22,0
2015-02-23,51
2015-02-24,60
2015-02-25,55
2015-02-26,52
2015-02-27,47
2015-02-28,19
2015-03-01,7
2015-03-02,22
2015-03-03,48
2015-03-04,25
2015-03-05,55
2015-03-06,44
2015-03-07,8
2015-03-08,11
2015-03-09,48
2015-03-10,32
2015-03-11,35
2015-03-12,45
2015-03-13,33
2015-03-14,15
2015-03-15,11
2015-03-16,38
2015-03-17,39
2015-03-18,35
2015-03-19,51
2015-03-20,39
2015-03-21,15
2015-03-22,22
2015-03-23,70
2015-03-24,44
2015-03-25,42
2015-03-26,41
2015-03-27,37
2015-03-28,8
2015-03-29,20
2015-03-30,35
2015-03-31,90
2015-04-01,59
2015-04-02,71
2015-04-03,36
2015-04-04,19
2015-04-05,0
2015-04-06,17
2015-04-07,47
2015-04-08,48
2015-04-09,56
2015-04-10,65
