date,VRTX
2016-09-11,4
2016-09-12,19
2016-09-13,27
2016-09-14,35
2016-09-15,42
2016-09-16,33
2016-09-17,4
2016-09-18,4
2016-09-19,23
2016-09-20,32
2016-09-21,29
2016-09-22,28
2016-09-23,28
2016-09-24,4
2016-09-25,9
2016-09-26,26
2016-09-27,23
2016-09-28,31
2016-09-29,17
2016-09-30,24
2016-10-01,10
2016-10-02,7
2016-10-03,22
2016-10-04,34
2016-10-05,15
2016-10-06,24
2016-10-07,24
2016-10-08,4
2016-10-09,6
2016-10-10,24
2016-10-11,16
2016-10-12,29
2016-10-13,25
2016-10-14,19
2016-10-15,4
2016-10-16,0
2016-10-17,17
2016-10-18,21
2016-10-19,23
2016-10-20,17
2016-10-21,13
2016-10-22,11
2016-10-23,5
2016-10-24,19
2016-10-25,39
2016-10-26,30
2016-10-27,32
2016-10-28,27
2016-10-29,8
2016-10-30,5
2016-10-31,13
2016-11-01,19
2016-11-02,16
2016-11-03,24
2016-11-04,22
2016-11-05,11
2016-11-06,4
2016-11-07,19
2016-11-08,19
2016-11-09,31
2016-11-10,32
2016-11-11,25
2016-11-12,20
2016-11-13,7
2016-11-14,18
2016-11-15,30
2016-11-16,16
2016-11-17,20
2016-11-18,15
2016-11-19,11
2016-11-20,9
2016-11-21,26
2016-11-22,19
2016-11-23,15
2016-11-24,15
2016-11-25,14
2016-11-26,4
2016-11-27,5
2016-11-28,10
2016-11-29,20
2016-11-30,22
2016-12-01,26
2016-12-02,23
2016-12-03,5
2016-12-04,7
2016-12-05,20
2016-12-06,33
2016-12-07,21
2016-12-08,26
2016-12-09,15
2016-12-10,4
2016-12-11,7
2016-12-12,22
2016-12-13,20
2016-12-14,29
2016-12-15,13
2016-12-16,17
2016-12-17,4
2016-12-18,11
2016-12-19,23
2016-12-20,20
2016-12-21,27
2016-12-22,19
2016-12-23,13
2016-12-24,4
2016-12-25,8
2016-12-26,6
2016-12-27,13
2016-12-28,10
2016-12-29,13
2016-12-30,13
2016-12-31,8
2017-01-01,6
2017-01-02,11
2017-01-03,6
2017-01-04,28
2017-01-05,33
2017-01-06,18
2017-01-07,8
2017-01-08,12
2017-01-09,31
2017-01-10,26
2017-01-11,25
2017-01-12,16
2017-01-13,31
2017-01-14,12
2017-01-15,3
2017-01-16,12
2017-01-17,27
2017-01-18,12
2017-01-19,28
2017-01-20,18
2017-01-21,6
2017-01-22,6
2017-01-23,30
2017-01-24,32
2017-01-25,38
2017-01-26,32
2017-01-27,20
2017-01-28,7
2017-01-29,6
2017-01-30,17
2017-01-31,17
2017-02-01,26
2017-02-02,25
2017-02-03,25
2017-02-04,8
2017-02-05,3
2017-02-06,25
2017-02-07,24
2017-02-08,25
2017-02-09,22
2017-02-10,19
2017-02-11,8
2017-02-12,8
2017-02-13,18
2017-02-14,21
2017-02-15,15
2017-02-16,33
2017-02-17,27
2017-02-18,9
2017-02-19,8
2017-02-20,20
2017-02-21,31
2017-02-22,20
2017-02-23,21
2017-02-24,20
2017-02-25,5
2017-02-26,5
2017-02-27,33
2017-02-28,32
2017-03-01,29
2017-03-02,23
2017-03-03,23
2017-03-04,9
2017-03-05,7
2017-03-06,20
2017-03-07,23
2017-03-08,38
2017-03-09,22
2017-03-10,23
2017-03-11,6
2017-03-12,5
2017-03-13,12
2017-03-14,25
2017-03-15,22
2017-03-16,20
2017-03-17,8
2017-03-18,5
2017-03-19,3
2017-03-20,19
2017-03-21,18
2017-03-22,18
2017-03-23,22
2017-03-24,17
2017-03-25,11
2017-03-26,9
2017-03-27,25
2017-03-28,53
2017-03-29,100
2017-03-30,54
2017-03-31,32
2017-04-01,13
