stock,OPEN,average,Weighted Ave,Ind average,Self,Ind Self,ranked average,ranked Ind average,ranked 2 weeks,1 week,2 weeks,4 weeks,8 weeks,price
ACN,1.41293158471559,1.0125947139435667,0.997752535356463,1.014136458865354,65,19,48.94252873563219,11.347826086956522,32,1.03614766276638,1.04260260751023,1.08202081818302,0.998278647058723,116.190002
AVP,0.394730783848348,1.0427004308457515,1.0278448660457533,1.03345599527283,55,4,25.816091954022987,2.6,72,1.01627486407595,1.00361663643761,1.01446654654973,0.974683544231465,5.53
AMGN,1.27562502029128,1.0164539923724927,1.0015356592363083,1.0268277789377018,29,5,43.18390804597701,6.75,75,0.995798536687727,0.991529444183288,1.01626342670941,1.07833568832243,147.570007
AMZN,1.90085840644698,1.0085368128725196,0.9934805803110605,1.025067172857372,83,10,51.88505747126437,5.5,37,1.07098450958181,1.03812783355593,1.05754989603723,1.0785532711635,739.880005
ATVI,1.76896971152361,1.0051615959688234,0.9904680809578752,0.9982438051780295,21,5,51.47126436781609,14.695652173913043,76,0.999480757925773,0.990911503004165,0.990911503093722,0.99948075775293,38.509998
AVGO,2.02635028866337,1.0052086824661204,0.9902672512404869,1.004383110906841,69,13,54.01149425287356,14.85,19,1.06686707625964,1.05772694419428,1.09404689527393,1.0868310384676,166.300003
BIDU,1.05406893854506,1.0212723839506055,1.006537268207707,1.012184554676033,17,3,35.839080459770116,11.043478260869565,31,1.02003527714362,1.04469883455949,1.05352897288737,1.11442660104202,164.210007
BIIB,1.37721830125594,1.012529652895055,0.9978161544812524,1.0194858927804178,46,8,43.50574712643678,6.833333333333333,86,0.993346761642309,0.941667936146089,0.895868807864654,0.932755743717986,323.149994
BMRN,1.33782438118357,1.017523473250251,1.002845755644286,1.0375145404503863,10,2,38.18390804597701,5.083333333333333,83,0.963868595592146,0.959502249027342,0.920860169403331,1.00425716607029,91.610001
CA,1.11808599332086,1.0181165294195627,1.0033410664965852,1.0151627590456165,51,11,41.11494252873563,9.695652173913043,33,1.00861793852439,1.0398979253112,1.05234602578551,1.0609639960865,31.33
CELG,1.58104699511142,1.0117650172402115,0.996585830519997,1.0289568348871234,8,2,44.7816091954023,7.166666666666667,54,1.03922384188535,1.02398398537556,0.964940049713399,1.01257490011472,239.5228195
CERN,0.988830290327313,1.021353809027332,1.006476851677943,1.0239564414320996,16,4,33.98850574712644,6.75,50,1.03053124243246,1.02605330704632,0.989822918505999,1.01282306037745,193.3765142
CHKP,1.23747086691775,1.0090627123036644,0.9941737250714308,1.007061025424369,42,12,51.13793103448276,13.782608695652174,69,1.02936154885815,1.0062133767287,1.03935180248763,1.08345513969131,82.080002
CHTR,1.87096853825835,0.9867511583336624,0.9717678112044411,1.0207855915469373,27,8,55.49425287356322,7.384615384615385,7,1.05100003890687,1.08107687288444,1.09653848484815,1.1544230533406,260.0
CMCSA,1.42614339165555,1.0103823014032303,0.9955136897990691,1.0091353027505523,57,8,50.5632183908046,7.923076923076923,24,1.03563948814929,1.05241090184424,1.05166223530492,1.07457327163854,66.779999
COST,1.27164355963606,1.0058194022270794,0.9907504909532584,1.0169191823393557,54,7,54.724137931034484,5.6,74,1.00565083756722,0.995728964158724,1.06472166944967,1.06715291310248,152.190002
CSCO,1.33968610692938,1.0109579694163893,0.9963020720110021,1.0087985127714314,64,15,49.747126436781606,12.347826086956522,85,0.954775459869214,0.947185327221211,0.969006894888425,0.966160595953315,31.620001
CSX,1.25606023639481,1.0116091890153454,0.9967703105408299,1.0190907083205372,55,7,47.55172413793103,4.9,29,1.0168213747236,1.04669373621993,1.07859625900756,1.0896171699234,102.1660752
CTRP,1.54484373237842,1.014550256048021,0.9993858896147187,0.9697832942291964,82,4,44.839080459770116,3.25,1,1.04217756366874,1.13609620263262,1.058116799448,1.07356547548679,81.06104769
CTSH,1.1572245148246,1.0165066098397302,1.0014526349972441,1.015597670069782,80,22,43.367816091954026,11.434782608695652,30,0.995538166896815,1.04591925878387,1.05651609882384,1.0583751432925,107.8415101
CTXS,1.20606871416045,1.0201208928084329,1.0051750810176545,1.019034761269704,25,4,41.804597701149426,10.695652173913043,47,1.03219406144361,1.03009445843335,1.06228851950304,1.06730432405079,85.730004
DISCA,0.893109549893509,1.025633293234256,1.010682744180122,1.021508647756471,83,12,31.839080459770116,5.461538461538462,66,1.00756480525822,1.00864553361101,1.04466858804955,0.96469744191819,53.28636172
DISCK,0.929345082453574,1.0228698259663431,1.008124811024726,1.0187341900651303,23,4,32.172413793103445,5.769230769230769,49,1.01462861980342,1.02700671425294,1.05251309057264,0.982370630100551,52.59473723
DISH,1.14559266124823,1.0088574141484314,0.9943226216915824,1.0166911674866628,20,3,45.98850574712644,8.384615384615385,9,1.03680529997075,1.07508277552448,1.07857933422419,1.13746781334256,54.34
DLTR,1.37175171750065,1.0140599553508172,0.9994635449310854,1.0019084242623726,30,6,43.9080459770115,6.5,2,1.14448479442002,1.12633023129936,1.08689113223718,0.981595080281386,159.4526565
EA,1.9345988893173,1.0133270897471505,0.9987779469622249,0.9980080528894142,44,14,42.770114942528735,12.826086956521738,28,1.01237113423265,1.0485825394085,1.06443299159238,1.02100522007068,77.599998
EBAY,1.32768732853066,1.0282895425405716,1.0137618890493914,1.01715328973808,12,1,33.758620689655174,5.3,67,1.03698492551973,1.00704476952723,1.07502645546244,1.08207115469632,69.98784109
ESRX,1.1512401934079,1.015519174261983,1.000775744336208,1.0197245147669436,56,7,41.98850574712644,7.5,71,0.990267324042316,1.00363350658801,0.954061755879684,0.947313805833138,77.059998
