date,value
2016-05-04,30.043429289390488
2016-05-05,29.66765350834484
2016-05-06,35.328678514429434
2016-05-07,39.7644765344161
2016-05-08,26.602011826936888
2016-05-09,30.18367902901742
2016-05-10,31.91730367513107
2016-05-11,36.80810433053525
2016-05-12,30.40736641639774
2016-05-13,39.04001934767696
2016-05-14,21.14941848691885
2016-05-15,30.15316758638989
2016-05-16,38.948485019794376
2016-05-17,32.240153251050856
2016-05-18,24.499770440962173
2016-05-19,36.668323410380616
2016-05-20,32.03172158498429
2016-05-21,23.22114843026605
2016-05-22,31.97832656038612
2016-05-23,40.27287419443179
2016-05-24,34.24323244848611
2016-05-25,30.676820967719358
2016-05-26,29.182139430299788
2016-05-27,42.344604137778994
2016-05-28,36.11415858642363
2016-05-29,25.99445197838173
2016-05-30,37.700374451725786
2016-05-31,30.18367902901742
2016-06-01,34.06531222504708
2016-06-02,26.28679011167399
2016-06-03,34.85842015769816
2016-06-04,25.524193621650447
2016-06-05,28.15008838895463
2016-06-06,36.06839142248234
2016-06-07,38.42483163846492
2016-06-08,22.94406601828755
2016-06-09,30.56240305786612
2016-06-10,35.552365901809765
2016-06-11,32.25540897236461
2016-06-12,25.74788100903077
2016-06-13,27.618807146968287
2016-06-14,29.90659661703892
2016-06-15,31.73938345169203
2016-06-16,31.462301039713545
2016-06-17,29.66002564768796
2016-06-18,29.128744405701614
2016-06-19,32.748550911066545
2016-06-20,37.438547761061045
2016-06-21,29.71342067228613
2016-06-22,24.253199471611204
2016-06-23,23.691406786997327
2016-06-24,32.87822454223354
2016-06-25,21.650188286277665
2016-06-26,25.732625287717003
2016-06-27,31.030181986266665
2016-06-28,34.01954506110579
2016-06-29,33.25694857108225
2016-06-30,33.06377262632945
2016-07-01,26.81044349300345
2016-07-02,33.56454242568826
2016-07-03,24.454003277020878
2016-07-04,27.873005976976142
2016-07-05,33.488263819119446
2016-07-06,29.66765350834484
2016-07-07,31.731755591035157
2016-07-08,26.309673693644644
2016-07-09,28.3966593583056
2016-07-10,25.786020312315177
2016-07-11,33.58742600765891
2016-07-12,32.024093724327415
2016-07-13,29.63714206571731
2016-07-14,26.101242027578078
2016-07-15,24.215060168326797
2016-07-16,22.120446643008954
2016-07-17,29.64476992637419
2016-07-18,29.982875223607746
2016-07-19,29.398198957023226
2016-07-20,31.924931535787948
2016-07-21,40.02630322508082
2016-07-22,31.23098579167634
2016-07-23,29.128744405701614
2016-07-24,25.231855488358192
2016-07-25,25.76313673034453
2016-07-26,34.76688582981557
2016-07-27,35.829448313788255
2016-07-28,31.724127730378278
2016-07-29,32.6875280258115
2016-07-30,31.724127730378278
2016-07-31,31.208102209705693
2016-08-01,37.1462096277688
2016-08-02,26.28679011167399
2016-08-03,28.07380978238581
2016-08-04,31.963070839072362
2016-08-05,36.86912721579029
2016-08-06,24.014256362917124
2016-08-07,29.982875223607746
2016-08-08,37.16146534908256
2016-08-09,27.140920929580123
2016-08-10,34.14921869227278
2016-08-11,40.54995660641029
2016-08-12,36.87675507644718
2016-08-13,32.585886408941285
2016-08-14,30.722588131660643
2016-08-15,27.618807146968287
2016-08-16,34.93469876426697
2016-08-17,48.043768447148
2016-08-18,26.241022947732702
2016-08-19,27.61117928631141
2016-08-20,28.419542940276237
2016-08-21,32.77906235369407
2016-08-22,28.081437643042694
2016-08-23,32.47909635974494
2016-08-24,36.98354512564352
2016-08-25,32.786690214350955
2016-08-26,31.16996290642129
2016-08-27,39.988163921796406
2016-08-28,36.167553611021795
2016-08-29,38.10960992320201
2016-08-30,26.84095493563098
2016-08-31,43.58508684519071
2016-09-01,25.470798597052273
2016-09-02,36.175181471678684
2016-09-03,28.381403636991834
2016-09-04,30.430249998368378
2016-09-05,21.157046347575733
2016-09-06,28.59746316371527
2016-09-07,32.79431807500784
2016-09-08,28.87454557569377
2016-09-09,26.28679011167399
2016-09-10,36.33021811314707
2016-09-11,26.510477499054318
2016-09-12,32.46650964242655
2016-09-13,29.84824273577925
2016-09-14,32.46650964242655
2016-09-15,41.892270506356844
2016-09-16,37.70304345572115
2016-09-17,29.324589354449788
2016-09-18,30.89554949843817
2016-09-19,42.4159238876863
2016-09-20,16.233254821213276
2016-09-21,28.27728259179086
2016-09-22,40.84496374369792
2016-09-23,38.22669683705062
2016-09-24,31.942856261097088
2016-09-25,42.93957726901576
2016-09-26,42.4159238876863
2016-09-27,44.51053741300415
2016-09-28,41.892270506356844
2016-09-29,33.51381640508547
2016-09-30,34.56112316774439
2016-10-01,21.993442015837346
2016-10-02,30.37189611710871
2016-10-03,39.27400359970954
2016-10-04,50.79437798895767
2016-10-05,30.37189611710871
2016-10-06,36.655736693062224
2016-10-07,34.03746978641493
2016-10-08,27.229975829131945
2016-10-09,16.233254821213276
2016-10-10,31.942856261097088
2016-10-11,30.37189611710871
2016-10-12,34.56112316774439
2016-10-13,42.4159238876863
2016-10-14,33.51381640508547
2016-10-15,30.89554949843817
2016-10-16,42.93957726901576
2016-10-17,47.128804319651444
2016-10-18,27.229975829131945
2016-10-19,28.80093597312033
2016-10-20,23.040748778496265
2016-10-21,37.70304345572115
2016-10-22,32.46650964242655
2016-10-23,29.324589354449788
2016-10-24,36.655736693062224
2016-10-25,32.99016302375601
2016-10-26,27.229975829131945
2016-10-27,32.46650964242655
2016-10-28,34.03746978641493
2016-10-29,24.61170892248464
2016-10-30,39.27400359970954
2016-10-31,26.18266906647302
2016-11-01,21.46978863450788
2016-11-02,26.706322447802485
2016-11-03,36.655736693062224
2016-11-04,26.18266906647302
2016-11-05,36.655736693062224
