date,EBAY,isPartial
2017-01-19,77,False
2017-01-20,79,False
2017-01-21,86,False
2017-01-22,97,False
2017-01-23,82,False
2017-01-24,84,False
2017-01-25,80,False
2017-01-26,78,False
2017-01-27,79,False
2017-01-28,89,False
2017-01-29,96,False
2017-01-30,82,False
2017-01-31,83,False
2017-02-01,80,False
2017-02-02,80,False
2017-02-03,80,False
2017-02-04,87,False
2017-02-05,94,False
2017-02-06,84,False
2017-02-07,81,False
2017-02-08,82,False
2017-02-09,79,False
2017-02-10,79,False
2017-02-11,86,False
2017-02-12,95,False
2017-02-13,78,False
2017-02-14,75,False
2017-02-15,79,False
2017-02-16,77,False
2017-02-17,77,False
2017-02-18,85,False
2017-02-19,95,False
2017-02-20,85,False
2017-02-21,80,False
2017-02-22,81,False
2017-02-23,80,False
2017-02-24,78,False
2017-02-25,88,False
2017-02-26,97,False
2017-02-27,82,False
2017-02-28,82,False
2017-03-01,82,False
2017-03-02,78,False
2017-03-03,80,False
2017-03-04,85,False
2017-03-05,100,False
2017-03-06,82,False
2017-03-07,80,False
2017-03-08,79,False
2017-03-09,77,False
2017-03-10,80,False
2017-03-11,84,False
2017-03-12,95,False
2017-03-13,81,False
2017-03-14,82,False
2017-03-15,79,False
2017-03-16,77,False
2017-03-17,79,False
2017-03-18,89,False
2017-03-19,97,False
2017-03-20,85,False
2017-03-21,79,False
2017-03-22,79,False
2017-03-23,78,False
2017-03-24,75,False
2017-03-25,82,False
2017-03-26,90,False
2017-03-27,81,False
2017-03-28,79,False
2017-03-29,79,False
2017-03-30,76,False
2017-03-31,77,False
2017-04-01,84,False
2017-04-02,93,False
2017-04-03,80,False
2017-04-04,80,False
2017-04-05,77,False
2017-04-06,78,False
2017-04-07,76,False
2017-04-08,81,False
2017-04-09,86,False
2017-04-10,81,False
2017-04-11,80,False
2017-04-12,80,False
2017-04-13,76,False
2017-04-14,83,False
2017-04-15,79,False
2017-04-16,88,False
2017-04-17,83,False
2017-04-18,79,False
2017-04-19,79,False
2017-04-20,78,False
2017-04-21,79,False
2017-04-22,83,False
2017-04-23,91,False
2017-04-24,80,False
2017-04-25,81,False
2017-04-26,78,False
2017-04-27,78,False
2017-04-28,77,False
2017-04-29,84,False
2017-04-30,88,False
2017-05-01,91,False
2017-05-02,81,False
2017-05-03,82,False
2017-05-04,79,False
2017-05-05,76,False
2017-05-06,82,False
2017-05-07,91,False
2017-05-08,82,False
2017-05-09,76,False
2017-05-10,75,False
2017-05-11,74,False
2017-05-12,80,False
2017-05-13,84,False
2017-05-14,88,False
2017-05-15,82,False
2017-05-16,80,False
2017-05-17,78,False
2017-05-18,75,False
2017-05-19,75,False
2017-05-20,86,False
2017-05-21,88,False
2017-05-22,81,False
2017-05-23,75,False
2017-05-24,74,False
2017-05-25,75,False
2017-05-26,74,False
2017-05-27,78,False
2017-05-28,90,False
2017-05-29,83,False
2017-05-30,82,False
2017-05-31,76,False
2017-06-01,78,False
2017-06-02,75,False
2017-06-03,78,False
2017-06-04,87,False
2017-06-05,84,False
2017-06-06,83,False
2017-06-07,80,False
2017-06-08,75,False
2017-06-09,74,False
2017-06-10,79,False
2017-06-11,90,False
2017-06-12,83,False
2017-06-13,79,False
2017-06-14,72,False
2017-06-15,78,False
2017-06-16,75,False
2017-06-17,80,False
2017-06-18,83,False
2017-06-19,78,False
2017-06-20,79,False
2017-06-21,76,False
2017-06-22,74,False
2017-06-23,72,False
2017-06-24,78,False
2017-06-25,93,False
2017-06-26,80,False
2017-06-27,81,False
2017-06-28,80,False
2017-06-29,79,False
2017-06-30,75,False
2017-07-01,80,False
2017-07-02,90,False
2017-07-03,79,False
2017-07-04,79,False
2017-07-05,79,False
2017-07-06,79,False
2017-07-07,74,False
2017-07-08,79,False
2017-07-09,90,False
2017-07-10,79,False
2017-07-11,81,False
2017-07-12,80,False
2017-07-13,76,False
2017-07-14,75,False
2017-07-15,80,False
2017-07-16,92,False
2017-07-17,83,False
2017-07-18,78,False
2017-07-19,77,False
2017-07-20,78,False
2017-07-21,76,False
2017-07-22,82,False
2017-07-23,90,False
2017-07-24,83,False
2017-07-25,80,False
2017-07-26,83,False
2017-07-27,82,False
2017-07-28,79,False
2017-07-29,84,False
2017-07-30,93,False
2017-07-31,83,False
2017-08-01,83,False
2017-08-02,83,False
2017-08-03,83,False
2017-08-04,79,False
2017-08-05,85,False
2017-08-06,92,False
2017-08-07,85,False
2017-08-08,86,False
2017-08-09,81,False
2017-08-10,78,False
2017-08-11,79,False
2017-08-12,83,False
2017-08-13,89,False
2017-08-14,83,False
2017-08-15,83,False
2017-08-16,78,False
2017-08-17,78,False
2017-08-18,78,False
2017-08-19,81,False
2017-08-20,91,False
2017-08-21,82,False
2017-08-22,83,False
2017-08-23,82,False
2017-08-24,79,False
2017-08-25,80,False
2017-08-26,78,False
2017-08-27,86,False
2017-08-28,81,False
2017-08-29,80,False
2017-08-30,80,False
2017-08-31,80,False
2017-09-01,81,False
2017-09-02,83,False
2017-09-03,96,False
2017-09-04,86,False
2017-09-05,79,False
2017-09-06,80,False
2017-09-07,79,False
2017-09-08,78,False
2017-09-09,85,False
2017-09-10,93,False
2017-09-11,83,False
2017-09-12,81,False
2017-09-13,81,False
2017-09-14,78,False
2017-09-15,79,False
2017-09-16,83,False
2017-09-17,91,False
2017-09-18,83,False
2017-09-19,81,False
2017-09-20,77,False
2017-09-21,82,False
2017-09-22,77,False
2017-09-23,82,False
2017-09-24,93,False
2017-09-25,82,False
2017-09-26,81,False
2017-09-27,79,False
2017-09-28,79,False
2017-09-29,78,False
2017-09-30,85,False
2017-10-01,91,False
2017-10-02,81,False
2017-10-03,84,False
2017-10-04,81,False
2017-10-05,81,False
2017-10-06,79,False
