date,SYMC
2015-12-26,8
2015-12-27,8
2015-12-28,15
2015-12-29,15
2015-12-30,20
2015-12-31,17
2016-01-01,15
2016-01-02,9
2016-01-03,9
2016-01-04,18
2016-01-05,23
2016-01-06,23
2016-01-07,37
2016-01-08,47
2016-01-09,32
2016-01-10,15
2016-01-11,28
2016-01-12,12
2016-01-13,27
2016-01-14,24
2016-01-15,27
2016-01-16,11
2016-01-17,14
2016-01-18,23
2016-01-19,20
2016-01-20,29
2016-01-21,20
2016-01-22,24
2016-01-23,16
2016-01-24,9
2016-01-25,24
2016-01-26,25
2016-01-27,19
2016-01-28,30
2016-01-29,28
2016-01-30,14
2016-01-31,7
2016-02-01,18
2016-02-02,26
2016-02-03,29
2016-02-04,44
2016-02-05,78
2016-02-06,19
2016-02-07,22
2016-02-08,43
2016-02-09,25
2016-02-10,22
2016-02-11,25
2016-02-12,26
2016-02-13,12
2016-02-14,12
2016-02-15,28
2016-02-16,30
2016-02-17,36
2016-02-18,17
2016-02-19,30
2016-02-20,12
2016-02-21,7
2016-02-22,23
2016-02-23,21
2016-02-24,23
2016-02-25,22
2016-02-26,19
2016-02-27,11
2016-02-28,8
2016-02-29,25
2016-03-01,17
2016-03-02,37
2016-03-03,36
2016-03-04,65
2016-03-05,34
2016-03-06,13
2016-03-07,34
2016-03-08,31
2016-03-09,25
2016-03-10,18
2016-03-11,31
2016-03-12,28
2016-03-13,10
2016-03-14,25
2016-03-15,18
2016-03-16,26
2016-03-17,24
2016-03-18,31
2016-03-19,25
2016-03-20,7
2016-03-21,20
2016-03-22,20
2016-03-23,21
2016-03-24,17
2016-03-25,18
2016-03-26,5
2016-03-27,7
2016-03-28,12
2016-03-29,20
2016-03-30,27
2016-03-31,23
2016-04-01,25
2016-04-02,15
2016-04-03,15
2016-04-04,20
2016-04-05,24
2016-04-06,20
2016-04-07,19
2016-04-08,27
2016-04-09,8
2016-04-10,10
2016-04-11,24
2016-04-12,28
2016-04-13,16
2016-04-14,23
2016-04-15,27
2016-04-16,13
2016-04-17,8
2016-04-18,16
2016-04-19,31
2016-04-20,26
2016-04-21,25
2016-04-22,29
2016-04-23,7
2016-04-24,8
2016-04-25,17
2016-04-26,15
2016-04-27,18
2016-04-28,35
2016-04-29,36
2016-04-30,15
2016-05-01,5
2016-05-02,16
2016-05-03,13
2016-05-04,14
2016-05-05,27
2016-05-06,12
2016-05-07,9
2016-05-08,10
2016-05-09,20
2016-05-10,27
2016-05-11,17
2016-05-12,14
2016-05-13,36
2016-05-14,10
2016-05-15,15
2016-05-16,20
2016-05-17,28
2016-05-18,30
2016-05-19,10
2016-05-20,24
2016-05-21,19
2016-05-22,17
2016-05-23,13
2016-05-24,14
2016-05-25,24
2016-05-26,13
2016-05-27,26
2016-05-28,7
2016-05-29,14
2016-05-30,15
2016-05-31,13
2016-06-01,24
2016-06-02,25
2016-06-03,38
2016-06-04,15
2016-06-05,8
2016-06-06,30
2016-06-07,21
2016-06-08,12
2016-06-09,15
2016-06-10,18
2016-06-11,13
2016-06-12,8
2016-06-13,100
2016-06-14,51
2016-06-15,44
2016-06-16,42
2016-06-17,60
2016-06-18,19
2016-06-19,14
2016-06-20,41
2016-06-21,51
2016-06-22,48
2016-06-23,38
2016-06-24,42
2016-06-25,22
2016-06-26,8
2016-06-27,21
2016-06-28,23
2016-06-29,39
2016-06-30,37
2016-07-01,26
2016-07-02,16
2016-07-03,11
2016-07-04,14
2016-07-05,25
2016-07-06,24
2016-07-07,21
2016-07-08,15
2016-07-09,16
2016-07-10,3
2016-07-11,29
2016-07-12,26
2016-07-13,21
2016-07-14,24
2016-07-15,20
2016-07-16,12
2016-07-17,11
2016-07-18,15
2016-07-19,21
2016-07-20,22
2016-07-21,25
2016-07-22,24
2016-07-23,19
2016-07-24,10
2016-07-25,22
2016-07-26,28
2016-07-27,16
2016-07-28,25
2016-07-29,14
2016-07-30,7
2016-07-31,7
2016-08-01,23
2016-08-02,23
2016-08-03,18
2016-08-04,42
2016-08-05,51
2016-08-06,18
2016-08-07,10
2016-08-08,20
2016-08-09,31
2016-08-10,22
2016-08-11,30
2016-08-12,32
2016-08-13,17
2016-08-14,3
2016-08-15,20
2016-08-16,36
2016-08-17,28
2016-08-18,49
2016-08-19,30
2016-08-20,15
2016-08-21,10
2016-08-22,20
2016-08-23,42
2016-08-24,29
2016-08-25,42
2016-08-26,21
2016-08-27,9
2016-08-28,8
2016-08-29,38
2016-08-30,25
2016-08-31,28
2016-09-01,36
2016-09-02,27
2016-09-03,24
2016-09-04,12
2016-09-05,19
2016-09-06,32
2016-09-07,37
2016-09-08,50
2016-09-09,36
2016-09-10,16
2016-09-11,13
