date,SYMC
2015-08-18,41
2015-08-19,30
2015-08-20,30
2015-08-21,38
2015-08-22,28
2015-08-23,21
2015-08-24,66
2015-08-25,47
2015-08-26,38
2015-08-27,48
2015-08-28,29
2015-08-29,27
2015-08-30,15
2015-08-31,23
2015-09-01,29
2015-09-02,52
2015-09-03,54
2015-09-04,39
2015-09-05,12
2015-09-06,12
2015-09-07,17
2015-09-08,37
2015-09-09,39
2015-09-10,26
2015-09-11,23
2015-09-12,11
2015-09-13,18
2015-09-14,40
2015-09-15,26
2015-09-16,27
2015-09-17,45
2015-09-18,20
2015-09-19,19
2015-09-20,20
2015-09-21,32
2015-09-22,30
2015-09-23,16
2015-09-24,23
2015-09-25,20
2015-09-26,25
2015-09-27,26
2015-09-28,35
2015-09-29,28
2015-09-30,33
2015-10-01,19
2015-10-02,25
2015-10-03,17
2015-10-04,11
2015-10-05,35
2015-10-06,43
2015-10-07,41
2015-10-08,41
2015-10-09,45
2015-10-10,13
2015-10-11,17
2015-10-12,31
2015-10-13,44
2015-10-14,30
2015-10-15,40
2015-10-16,43
2015-10-17,9
2015-10-18,16
2015-10-19,36
2015-10-20,34
2015-10-21,26
2015-10-22,32
2015-10-23,30
2015-10-24,18
2015-10-25,13
2015-10-26,25
2015-10-27,26
2015-10-28,26
2015-10-29,46
2015-10-30,23
2015-10-31,20
2015-11-01,19
2015-11-02,35
2015-11-03,39
2015-11-04,23
2015-11-05,65
2015-11-06,34
2015-11-07,20
2015-11-08,18
2015-11-09,29
2015-11-10,25
2015-11-11,22
2015-11-12,18
2015-11-13,28
2015-11-14,27
2015-11-15,13
2015-11-16,28
2015-11-17,26
2015-11-18,46
2015-11-19,27
2015-11-20,23
2015-11-21,29
2015-11-22,11
2015-11-23,26
2015-11-24,26
2015-11-25,25
2015-11-26,16
2015-11-27,23
2015-11-28,9
2015-11-29,20
2015-11-30,27
2015-12-01,21
2015-12-02,29
2015-12-03,28
2015-12-04,39
2015-12-05,15
2015-12-06,8
2015-12-07,34
2015-12-08,24
2015-12-09,28
2015-12-10,24
2015-12-11,41
2015-12-12,11
2015-12-13,22
2015-12-14,42
2015-12-15,48
2015-12-16,39
2015-12-17,28
2015-12-18,26
2015-12-19,12
2015-12-20,33
2015-12-21,30
2015-12-22,29
2015-12-23,32
2015-12-24,26
2015-12-25,17
2015-12-26,22
2015-12-27,21
2015-12-28,22
2015-12-29,58
2015-12-30,35
2015-12-31,31
2016-01-01,17
2016-01-02,17
2016-01-03,22
2016-01-04,42
2016-01-05,36
2016-01-06,25
2016-01-07,46
2016-01-08,70
2016-01-09,39
2016-01-10,35
2016-01-11,36
2016-01-12,29
2016-01-13,23
2016-01-14,40
2016-01-15,45
2016-01-16,23
2016-01-17,17
2016-01-18,35
2016-01-19,37
2016-01-20,47
2016-01-21,39
2016-01-22,36
2016-01-23,23
2016-01-24,12
2016-01-25,32
2016-01-26,34
2016-01-27,26
2016-01-28,44
2016-01-29,28
2016-01-30,30
2016-01-31,15
2016-02-01,36
2016-02-02,39
2016-02-03,35
2016-02-04,73
2016-02-05,100
2016-02-06,24
2016-02-07,28
2016-02-08,42
2016-02-09,39
2016-02-10,52
2016-02-11,46
2016-02-12,32
2016-02-13,20
2016-02-14,14
2016-02-15,25
2016-02-16,28
2016-02-17,46
2016-02-18,19
2016-02-19,35
2016-02-20,10
2016-02-21,18
2016-02-22,41
2016-02-23,41
2016-02-24,33
2016-02-25,26
2016-02-26,15
2016-02-27,12
2016-02-28,18
2016-02-29,30
2016-03-01,34
2016-03-02,55
2016-03-03,54
2016-03-04,94
2016-03-05,42
2016-03-06,20
2016-03-07,56
2016-03-08,56
2016-03-09,40
2016-03-10,32
2016-03-11,48
2016-03-12,27
2016-03-13,10
2016-03-14,46
2016-03-15,39
2016-03-16,49
2016-03-17,44
2016-03-18,46
2016-03-19,25
2016-03-20,13
2016-03-21,38
2016-03-22,52
2016-03-23,51
2016-03-24,26
2016-03-25,31
2016-03-26,24
2016-03-27,5
2016-03-28,26
2016-03-29,30
2016-03-30,38
2016-03-31,22
2016-04-01,35
2016-04-02,15
2016-04-03,13
2016-04-04,32
2016-04-05,36
2016-04-06,37
2016-04-07,26
2016-04-08,35
2016-04-09,20
2016-04-10,12
2016-04-11,31
2016-04-12,37
2016-04-13,23
2016-04-14,28
2016-04-15,32
2016-04-16,17
2016-04-17,10
2016-04-18,22
2016-04-19,39
2016-04-20,28
2016-04-21,44
2016-04-22,33
2016-04-23,24
2016-04-24,18
2016-04-25,30
2016-04-26,28
2016-04-27,23
2016-04-28,50
2016-04-29,58
2016-04-30,14
2016-05-01,19
2016-05-02,23
2016-05-03,30
2016-05-04,26
