date,SYMC
2011-05-11,57
2011-05-12,69
2011-05-13,82
2011-05-14,13
2011-05-15,13
2011-05-16,81
2011-05-17,42
2011-05-18,68
2011-05-19,53
2011-05-20,45
2011-05-21,20
2011-05-22,0
2011-05-23,26
2011-05-24,41
2011-05-25,68
2011-05-26,58
2011-05-27,55
2011-05-28,27
2011-05-29,14
2011-05-30,50
2011-05-31,46
2011-06-01,48
2011-06-02,50
2011-06-03,40
2011-06-04,14
2011-06-05,20
2011-06-06,41
2011-06-07,41
2011-06-08,73
2011-06-09,68
2011-06-10,61
2011-06-11,13
2011-06-12,13
2011-06-13,11
2011-06-14,46
2011-06-15,26
2011-06-16,31
2011-06-17,44
2011-06-18,0
2011-06-19,20
2011-06-20,36
2011-06-21,25
2011-06-22,57
2011-06-23,22
2011-06-24,45
2011-06-25,0
2011-06-26,20
2011-06-27,42
2011-06-28,26
2011-06-29,63
2011-06-30,80
2011-07-01,50
2011-07-02,27
2011-07-03,14
2011-07-04,33
2011-07-05,42
2011-07-06,16
2011-07-07,27
2011-07-08,61
2011-07-09,28
2011-07-10,34
2011-07-11,47
2011-07-12,42
2011-07-13,26
2011-07-14,48
2011-07-15,57
2011-07-16,21
2011-07-17,20
2011-07-18,73
2011-07-19,72
2011-07-20,74
2011-07-21,54
2011-07-22,28
2011-07-23,26
2011-07-24,20
2011-07-25,26
2011-07-26,37
2011-07-27,63
2011-07-28,48
2011-07-29,45
2011-07-30,20
2011-07-31,14
2011-08-01,53
2011-08-02,37
2011-08-03,63
2011-08-04,58
2011-08-05,66
2011-08-06,13
2011-08-07,13
2011-08-08,56
2011-08-09,67
2011-08-10,62
2011-08-11,68
2011-08-12,44
2011-08-13,40
2011-08-14,33
2011-08-15,43
2011-08-16,52
2011-08-17,26
2011-08-18,73
2011-08-19,53
2011-08-20,19
2011-08-21,13
2011-08-22,55
2011-08-23,45
2011-08-24,50
2011-08-25,50
2011-08-26,37
2011-08-27,19
2011-08-28,12
2011-08-29,65
2011-08-30,50
2011-08-31,60
2011-09-01,31
2011-09-02,37
2011-09-03,0
2011-09-04,12
2011-09-05,15
2011-09-06,38
2011-09-07,44
2011-09-08,39
2011-09-09,30
2011-09-10,18
2011-09-11,12
2011-09-12,80
2011-09-13,57
2011-09-14,38
2011-09-15,39
2011-09-16,56
2011-09-17,30
2011-09-18,29
2011-09-19,33
2011-09-20,38
2011-09-21,43
2011-09-22,34
2011-09-23,25
2011-09-24,12
2011-09-25,23
2011-09-26,43
2011-09-27,47
2011-09-28,43
2011-09-29,44
2011-09-30,61
2011-10-01,12
2011-10-02,35
2011-10-03,43
2011-10-04,52
2011-10-05,42
2011-10-06,33
2011-10-07,30
2011-10-08,0
2011-10-09,34
2011-10-10,38
2011-10-11,22
2011-10-12,46
2011-10-13,43
2011-10-14,64
2011-10-15,29
2011-10-16,23
2011-10-17,42
2011-10-18,51
2011-10-19,61
2011-10-20,33
2011-10-21,34
2011-10-22,12
2011-10-23,17
2011-10-24,100
2011-10-25,32
2011-10-26,61
2011-10-27,99
2011-10-28,39
2011-10-29,12
2011-10-30,23
2011-10-31,38
2011-11-01,43
2011-11-02,38
2011-11-03,47
2011-11-04,48
2011-11-05,11
2011-11-06,22
2011-11-07,60
2011-11-08,18
2011-11-09,37
2011-11-10,37
2011-11-11,29
2011-11-12,17
2011-11-13,17
2011-11-14,27
2011-11-15,69
2011-11-16,46
2011-11-17,28
2011-11-18,48
2011-11-19,11
2011-11-20,11
2011-11-21,27
2011-11-22,36
2011-11-23,55
2011-11-24,19
2011-11-25,50
2011-11-26,22
2011-11-27,16
2011-11-28,53
2011-11-29,49
2011-11-30,23
2011-12-01,41
2011-12-02,33
2011-12-03,22
2011-12-04,16
2011-12-05,45
2011-12-06,45
2011-12-07,49
2011-12-08,46
2011-12-09,43
2011-12-10,11
2011-12-11,38
2011-12-12,58
2011-12-13,40
2011-12-14,49
2011-12-15,23
2011-12-16,43
2011-12-17,22
2011-12-18,33
2011-12-19,36
2011-12-20,37
2011-12-21,19
2011-12-22,39
2011-12-23,16
2011-12-24,12
2011-12-25,26
2011-12-26,32
2011-12-27,29
2011-12-28,29
2011-12-29,34
2011-12-30,31
2011-12-31,24
2012-01-01,12
2012-01-02,29
2012-01-03,45
2012-01-04,40
2012-01-05,36
2012-01-06,56
2012-01-07,11
2012-01-08,15
2012-01-09,56
2012-01-10,77
2012-01-11,47
2012-01-12,44
2012-01-13,18
2012-01-14,37
2012-01-15,15
2012-01-16,47
2012-01-17,47
2012-01-18,34
2012-01-19,34
2012-01-20,63
2012-01-21,31
2012-01-22,15
2012-01-23,68
2012-01-24,59
2012-01-25,85
2012-01-26,65
