date,SYMC
2016-09-11,25
2016-09-12,58
2016-09-13,48
2016-09-14,53
2016-09-15,37
2016-09-16,89
2016-09-17,40
2016-09-18,11
2016-09-19,52
2016-09-20,54
2016-09-21,55
2016-09-22,53
2016-09-23,40
2016-09-24,23
2016-09-25,17
2016-09-26,59
2016-09-27,43
2016-09-28,45
2016-09-29,41
2016-09-30,40
2016-10-01,19
2016-10-02,8
2016-10-03,33
2016-10-04,44
2016-10-05,26
2016-10-06,43
2016-10-07,46
2016-10-08,25
2016-10-09,27
2016-10-10,29
2016-10-11,21
2016-10-12,19
2016-10-13,47
2016-10-14,32
2016-10-15,11
2016-10-16,27
2016-10-17,32
2016-10-18,28
2016-10-19,40
2016-10-20,37
2016-10-21,34
2016-10-22,16
2016-10-23,0
2016-10-24,26
2016-10-25,35
2016-10-26,42
2016-10-27,30
2016-10-28,15
2016-10-29,16
2016-10-30,14
2016-10-31,26
2016-11-01,19
2016-11-02,28
2016-11-03,51
2016-11-04,67
2016-11-05,42
2016-11-06,26
2016-11-07,47
2016-11-08,34
2016-11-09,62
2016-11-10,32
2016-11-11,39
2016-11-12,16
2016-11-13,11
2016-11-14,25
2016-11-15,34
2016-11-16,23
2016-11-17,28
2016-11-18,39
2016-11-19,19
2016-11-20,21
2016-11-21,100
2016-11-22,62
2016-11-23,23
2016-11-24,26
2016-11-25,26
2016-11-26,18
2016-11-27,26
2016-11-28,50
2016-11-29,22
2016-11-30,32
2016-12-01,39
2016-12-02,19
2016-12-03,27
2016-12-04,8
2016-12-05,34
2016-12-06,23
2016-12-07,18
2016-12-08,21
2016-12-09,27
2016-12-10,12
2016-12-11,5
2016-12-12,38
2016-12-13,18
2016-12-14,28
2016-12-15,32
2016-12-16,22
2016-12-17,16
2016-12-18,22
2016-12-19,23
2016-12-20,36
2016-12-21,22
2016-12-22,15
2016-12-23,18
2016-12-24,20
2016-12-25,27
2016-12-26,21
2016-12-27,19
2016-12-28,22
2016-12-29,15
2016-12-30,10
2016-12-31,20
2017-01-01,23
2017-01-02,29
2017-01-03,32
2017-01-04,37
2017-01-05,30
2017-01-06,52
2017-01-07,21
2017-01-08,13
2017-01-09,34
2017-01-10,36
2017-01-11,33
2017-01-12,25
2017-01-13,41
2017-01-14,23
2017-01-15,15
2017-01-16,47
2017-01-17,33
2017-01-18,47
2017-01-19,52
2017-01-20,44
2017-01-21,21
2017-01-22,10
2017-01-23,29
2017-01-24,44
2017-01-25,47
2017-01-26,45
2017-01-27,30
2017-01-28,29
2017-01-29,20
2017-01-30,24
2017-01-31,58
2017-02-01,77
2017-02-02,58
2017-02-03,71
2017-02-04,31
2017-02-05,20
2017-02-06,24
2017-02-07,57
2017-02-08,51
2017-02-09,49
2017-02-10,60
2017-02-11,28
2017-02-12,13
2017-02-13,50
2017-02-14,51
2017-02-15,64
2017-02-16,58
2017-02-17,28
2017-02-18,21
2017-02-19,10
2017-02-20,27
2017-02-21,53
2017-02-22,44
2017-02-23,38
2017-02-24,44
2017-02-25,18
2017-02-26,13
2017-02-27,25
2017-02-28,45
2017-03-01,46
2017-03-02,48
2017-03-03,57
2017-03-04,20
2017-03-05,15
2017-03-06,30
2017-03-07,56
2017-03-08,43
2017-03-09,37
2017-03-10,41
2017-03-11,18
2017-03-12,15
2017-03-13,69
2017-03-14,48
2017-03-15,52
2017-03-16,33
2017-03-17,37
2017-03-18,25
2017-03-19,20
2017-03-20,33
2017-03-21,48
2017-03-22,45
2017-03-23,66
2017-03-24,44
2017-03-25,26
2017-03-26,18
2017-03-27,37
2017-03-28,51
2017-03-29,47
2017-03-30,45
2017-03-31,39
2017-04-01,18
