date,DISCA,isPartial
2016-09-11,28,False
2016-09-12,50,False
2016-09-13,36,False
2016-09-14,37,False
2016-09-15,62,False
2016-09-16,25,False
2016-09-17,28,False
2016-09-18,20,False
2016-09-19,54,False
2016-09-20,41,False
2016-09-21,48,False
2016-09-22,92,False
2016-09-23,32,False
2016-09-24,21,False
2016-09-25,21,False
2016-09-26,60,False
2016-09-27,36,False
2016-09-28,42,False
2016-09-29,48,False
2016-09-30,19,False
2016-10-01,27,False
2016-10-02,26,False
2016-10-03,47,False
2016-10-04,53,False
2016-10-05,53,False
2016-10-06,30,False
2016-10-07,56,False
2016-10-08,34,False
2016-10-09,41,False
2016-10-10,72,False
2016-10-11,54,False
2016-10-12,55,False
2016-10-13,54,False
2016-10-14,25,False
2016-10-15,49,False
2016-10-16,13,False
2016-10-17,41,False
2016-10-18,29,False
2016-10-19,53,False
2016-10-20,95,False
2016-10-21,43,False
2016-10-22,14,False
2016-10-23,34,False
2016-10-24,77,False
2016-10-25,100,False
2016-10-26,53,False
2016-10-27,30,False
2016-10-28,25,False
2016-10-29,83,False
2016-10-30,34,False
2016-10-31,55,False
2016-11-01,24,False
2016-11-02,30,False
2016-11-03,59,False
2016-11-04,18,False
2016-11-05,27,False
2016-11-06,60,False
2016-11-07,46,False
2016-11-08,17,False
2016-11-09,59,False
2016-11-10,48,False
2016-11-11,12,False
2016-11-12,41,False
2016-11-13,27,False
2016-11-14,76,False
2016-11-15,35,False
2016-11-16,23,False
2016-11-17,47,False
2016-11-18,31,False
2016-11-19,53,False
2016-11-20,52,False
2016-11-21,75,False
2016-11-22,35,False
2016-11-23,41,False
2016-11-24,36,False
2016-11-25,30,False
2016-11-26,46,False
2016-11-27,57,False
2016-11-28,77,False
2016-11-29,67,False
2016-11-30,23,False
2016-12-01,46,False
2016-12-02,53,False
2016-12-03,39,False
2016-12-04,12,False
2016-12-05,46,False
2016-12-06,55,False
2016-12-07,61,False
2016-12-08,86,False
2016-12-09,59,False
2016-12-10,20,False
2016-12-11,38,False
2016-12-12,55,False
2016-12-13,44,False
2016-12-14,62,False
2016-12-15,17,False
2016-12-16,43,False
2016-12-17,27,False
2016-12-18,26,False
2016-12-19,35,False
2016-12-20,30,False
2016-12-21,66,False
2016-12-22,43,False
2016-12-23,38,False
2016-12-24,43,False
2016-12-25,22,False
2016-12-26,32,False
2016-12-27,42,False
2016-12-28,49,False
2016-12-29,24,False
2016-12-30,45,False
2016-12-31,28,False
2017-01-01,0,False
2017-01-02,42,False
2017-01-03,52,False
2017-01-04,34,False
2017-01-05,41,False
2017-01-06,30,False
2017-01-07,13,False
2017-01-08,32,False
2017-01-09,17,False
2017-01-10,55,False
2017-01-11,60,False
2017-01-12,34,False
2017-01-13,17,False
2017-01-14,58,False
2017-01-15,37,False
2017-01-16,66,False
2017-01-17,66,False
2017-01-18,44,False
2017-01-19,39,False
2017-01-20,51,False
2017-01-21,50,False
2017-01-22,19,False
2017-01-23,27,False
2017-01-24,27,False
2017-01-25,44,False
2017-01-26,16,False
2017-01-27,40,False
2017-01-28,39,False
2017-01-29,50,False
2017-01-30,92,False
2017-01-31,38,False
2017-02-01,43,False
2017-02-02,55,False
2017-02-03,40,False
2017-02-04,75,False
2017-02-05,37,False
2017-02-06,48,False
2017-02-07,38,False
2017-02-08,48,False
2017-02-09,33,False
2017-02-10,40,False
2017-02-11,37,False
2017-02-12,55,False
2017-02-13,80,False
2017-02-14,38,False
2017-02-15,44,False
2017-02-16,60,False
2017-02-17,38,False
2017-02-18,44,False
2017-02-19,31,False
2017-02-20,54,False
2017-02-21,48,False
2017-02-22,75,False
2017-02-23,38,False
2017-02-24,62,False
2017-02-25,25,False
2017-02-26,24,False
2017-02-27,31,False
2017-02-28,85,False
2017-03-01,47,False
2017-03-02,42,False
2017-03-03,22,False
2017-03-04,49,False
2017-03-05,30,False
2017-03-06,41,False
2017-03-07,86,False
2017-03-08,64,False
2017-03-09,32,False
2017-03-10,45,False
2017-03-11,24,False
2017-03-12,12,False
2017-03-13,60,False
2017-03-14,27,False
2017-03-15,38,False
2017-03-16,33,False
2017-03-17,57,False
2017-03-18,37,False
2017-03-19,12,False
2017-03-20,43,False
2017-03-21,37,False
2017-03-22,64,False
2017-03-23,49,False
2017-03-24,22,False
2017-03-25,19,False
2017-03-26,25,False
2017-03-27,49,False
2017-03-28,43,False
2017-03-29,22,False
2017-03-30,50,False
2017-03-31,40,False
2017-04-01,75,False
2017-04-02,50,False
2017-04-03,49,False
2017-04-04,64,False
2017-04-05,37,False
2017-04-06,71,False
2017-04-07,73,False
2017-04-08,32,False
2017-04-09,70,False
2017-04-10,33,False
2017-04-11,60,False
2017-04-12,17,False
2017-04-13,58,False
2017-04-14,50,False
2017-04-15,32,False
2017-04-16,39,False
2017-04-17,56,False
2017-04-18,21,False
2017-04-19,43,False
2017-04-20,43,False
2017-04-21,28,False
2017-04-22,50,False
2017-04-23,24,False
2017-04-24,54,False
2017-04-25,32,False
2017-04-26,21,False
2017-04-27,27,False
2017-04-28,73,False
2017-04-29,38,False
2017-04-30,51,False
2017-05-01,23,False
2017-05-02,54,False
2017-05-03,48,False
2017-05-04,43,False
2017-05-05,34,False
2017-05-06,13,False
2017-05-07,25,False
2017-05-08,65,False
2017-05-09,59,False
2017-05-10,59,False
2017-05-11,27,False
