date,VRSK
2014-12-01,22
2014-12-02,22
2014-12-03,45
2014-12-04,23
2014-12-05,0
2014-12-06,0
2014-12-07,27
2014-12-08,23
2014-12-09,22
2014-12-10,34
2014-12-11,35
2014-12-12,24
2014-12-13,0
2014-12-14,0
2014-12-15,34
2014-12-16,34
2014-12-17,47
2014-12-18,48
2014-12-19,25
2014-12-20,28
2014-12-21,0
2014-12-22,24
2014-12-23,38
2014-12-24,28
2014-12-25,0
2014-12-26,27
2014-12-27,0
2014-12-28,28
2014-12-29,24
2014-12-30,25
2014-12-31,27
2015-01-01,29
2015-01-02,25
2015-01-03,0
2015-01-04,26
2015-01-05,0
2015-01-06,23
2015-01-07,44
2015-01-08,22
2015-01-09,0
2015-01-10,26
2015-01-11,0
2015-01-12,0
2015-01-13,0
2015-01-14,22
2015-01-15,0
2015-01-16,0
2015-01-17,0
2015-01-18,0
2015-01-19,0
2015-01-20,0
2015-01-21,22
2015-01-22,0
2015-01-23,0
2015-01-24,0
2015-01-25,25
2015-01-26,0
2015-01-27,0
2015-01-28,43
2015-01-29,22
2015-01-30,22
2015-01-31,0
2015-02-01,0
2015-02-02,65
2015-02-03,42
2015-02-04,43
2015-02-05,22
2015-02-06,34
2015-02-07,26
2015-02-08,0
2015-02-09,32
2015-02-10,21
2015-02-11,22
2015-02-12,22
2015-02-13,46
2015-02-14,0
2015-02-15,0
2015-02-16,0
2015-02-17,22
2015-02-18,29
2015-02-19,22
2015-02-20,45
2015-02-21,26
2015-02-22,25
2015-02-23,64
2015-02-24,43
2015-02-25,58
2015-02-26,43
2015-02-27,45
2015-02-28,25
2015-03-01,24
2015-03-02,64
2015-03-03,32
2015-03-04,21
2015-03-05,43
2015-03-06,0
2015-03-07,0
2015-03-08,25
2015-03-09,21
2015-03-10,36
2015-03-11,32
2015-03-12,32
2015-03-13,22
2015-03-14,50
2015-03-15,0
2015-03-16,0
2015-03-17,21
2015-03-18,21
2015-03-19,32
2015-03-20,22
2015-03-21,25
2015-03-22,0
2015-03-23,21
2015-03-24,21
2015-03-25,31
2015-03-26,49
2015-03-27,0
2015-03-28,0
2015-03-29,26
2015-03-30,21
2015-03-31,0
2015-04-01,22
2015-04-02,0
2015-04-03,24
2015-04-04,26
2015-04-05,27
2015-04-06,23
2015-04-07,0
2015-04-08,32
2015-04-09,44
2015-04-10,0
2015-04-11,26
2015-04-12,0
2015-04-13,0
2015-04-14,21
2015-04-15,0
2015-04-16,0
2015-04-17,22
2015-04-18,0
2015-04-19,0
2015-04-20,0
2015-04-21,0
2015-04-22,42
2015-04-23,22
2015-04-24,0
2015-04-25,38
2015-04-26,0
2015-04-27,43
2015-04-28,0
2015-04-29,86
2015-04-30,22
2015-05-01,24
2015-05-02,0
2015-05-03,25
2015-05-04,44
2015-05-05,35
2015-05-06,21
2015-05-07,43
2015-05-08,23
2015-05-09,26
2015-05-10,26
2015-05-11,21
2015-05-12,85
2015-05-13,22
2015-05-14,22
2015-05-15,0
2015-05-16,0
2015-05-17,25
2015-05-18,21
2015-05-19,32
2015-05-20,0
2015-05-21,43
2015-05-22,22
2015-05-23,0
2015-05-24,26
2015-05-25,0
2015-05-26,21
2015-05-27,21
2015-05-28,0
2015-05-29,22
2015-05-30,25
2015-05-31,0
2015-06-01,21
2015-06-02,0
2015-06-03,22
2015-06-04,0
2015-06-05,0
2015-06-06,0
2015-06-07,51
2015-06-08,41
2015-06-09,21
2015-06-10,43
2015-06-11,65
2015-06-12,23
2015-06-13,0
2015-06-14,0
2015-06-15,0
2015-06-16,0
2015-06-17,0
2015-06-18,22
2015-06-19,23
2015-06-20,0
2015-06-21,51
2015-06-22,21
2015-06-23,21
2015-06-24,22
2015-06-25,22
2015-06-26,0
2015-06-27,26
2015-06-28,25
2015-06-29,0
2015-06-30,0
2015-07-01,22
2015-07-02,22
2015-07-03,0
2015-07-04,26
2015-07-05,0
2015-07-06,21
2015-07-07,21
2015-07-08,21
2015-07-09,33
2015-07-10,23
2015-07-11,0
2015-07-12,0
2015-07-13,43
2015-07-14,0
2015-07-15,32
2015-07-16,22
2015-07-17,23
2015-07-18,27
2015-07-19,27
2015-07-20,23
2015-07-21,32
2015-07-22,22
2015-07-23,22
2015-07-24,45
2015-07-25,25
2015-07-26,0
2015-07-27,42
2015-07-28,53
2015-07-29,100
2015-07-30,58
2015-07-31,22
2015-08-01,26
2015-08-02,0
2015-08-03,22
2015-08-04,0
2015-08-05,22
2015-08-06,0
2015-08-07,23
2015-08-08,26
2015-08-09,0
2015-08-10,21
2015-08-11,21
2015-08-12,54
2015-08-13,0
2015-08-14,22
2015-08-15,0
2015-08-16,50
2015-08-17,21
2015-08-18,0
