date,VRSK
2014-03-16,0
2014-03-17,46
2014-03-18,91
2014-03-19,46
2014-03-20,35
2014-03-21,24
2014-03-22,0
2014-03-23,0
2014-03-24,46
2014-03-25,69
2014-03-26,57
2014-03-27,58
2014-03-28,36
2014-03-29,27
2014-03-30,27
2014-03-31,68
2014-04-01,69
2014-04-02,23
2014-04-03,23
2014-04-04,48
2014-04-05,27
2014-04-06,0
2014-04-07,45
2014-04-08,57
2014-04-09,93
2014-04-10,47
2014-04-11,36
2014-04-12,0
2014-04-13,0
2014-04-14,59
2014-04-15,35
2014-04-16,24
2014-04-17,25
2014-04-18,79
2014-04-19,0
2014-04-20,0
2014-04-21,25
2014-04-22,57
2014-04-23,70
2014-04-24,35
2014-04-25,49
2014-04-26,0
2014-04-27,0
2014-04-28,23
2014-04-29,79
2014-04-30,92
2014-05-01,63
2014-05-02,0
2014-05-03,28
2014-05-04,0
2014-05-05,23
2014-05-06,23
2014-05-07,45
2014-05-08,46
2014-05-09,36
2014-05-10,0
2014-05-11,0
2014-05-12,22
2014-05-13,23
2014-05-14,34
2014-05-15,0
2014-05-16,72
2014-05-17,28
2014-05-18,28
2014-05-19,46
2014-05-20,0
2014-05-21,25
2014-05-22,0
2014-05-23,27
2014-05-24,0
2014-05-25,0
2014-05-26,0
2014-05-27,50
2014-05-28,25
2014-05-29,26
2014-05-30,53
2014-05-31,0
2014-06-01,0
2014-06-02,25
2014-06-03,50
2014-06-04,25
2014-06-05,52
2014-06-06,0
2014-06-07,32
2014-06-08,32
2014-06-09,26
2014-06-10,26
2014-06-11,25
2014-06-12,26
2014-06-13,27
2014-06-14,0
2014-06-15,0
2014-06-16,76
2014-06-17,26
2014-06-18,39
2014-06-19,0
2014-06-20,55
2014-06-21,0
2014-06-22,32
2014-06-23,26
2014-06-24,26
2014-06-25,51
2014-06-26,26
2014-06-27,54
2014-06-28,0
2014-06-29,0
2014-06-30,0
2014-07-01,0
2014-07-02,26
2014-07-03,0
2014-07-04,0
2014-07-05,0
2014-07-06,0
2014-07-07,25
2014-07-08,51
2014-07-09,52
2014-07-10,0
2014-07-11,27
2014-07-12,0
2014-07-13,0
2014-07-14,26
2014-07-15,51
2014-07-16,27
2014-07-17,26
2014-07-18,55
2014-07-19,32
2014-07-20,0
2014-07-21,26
2014-07-22,26
2014-07-23,27
2014-07-24,0
2014-07-25,55
2014-07-26,32
2014-07-27,32
2014-07-28,80
2014-07-29,53
2014-07-30,52
2014-07-31,26
2014-08-01,27
2014-08-02,0
2014-08-03,0
2014-08-04,26
2014-08-05,39
2014-08-06,52
2014-08-07,74
2014-08-08,69
2014-08-09,0
2014-08-10,0
2014-08-11,51
2014-08-12,51
2014-08-13,51
2014-08-14,0
2014-08-15,56
2014-08-16,32
2014-08-17,31
2014-08-18,51
2014-08-19,0
2014-08-20,26
2014-08-21,26
2014-08-22,66
2014-08-23,30
2014-08-24,0
2014-08-25,100
2014-08-26,100
2014-08-27,75
2014-08-28,25
2014-08-29,26
2014-08-30,0
2014-08-31,0
2014-09-01,0
2014-09-02,25
2014-09-03,24
2014-09-04,73
2014-09-05,51
2014-09-06,0
2014-09-07,0
2014-09-08,24
2014-09-09,48
2014-09-10,0
2014-09-11,49
2014-09-12,51
2014-09-13,0
2014-09-14,0
2014-09-15,73
2014-09-16,49
2014-09-17,37
2014-09-18,61
2014-09-19,25
2014-09-20,0
2014-09-21,0
2014-09-22,24
2014-09-23,24
2014-09-24,37
2014-09-25,25
2014-09-26,26
2014-09-27,0
2014-09-28,0
2014-09-29,24
2014-09-30,0
2014-10-01,0
2014-10-02,0
2014-10-03,78
2014-10-04,0
2014-10-05,0
2014-10-06,0
2014-10-07,24
2014-10-08,24
2014-10-09,25
2014-10-10,0
2014-10-11,29
2014-10-12,29
2014-10-13,24
2014-10-14,24
2014-10-15,47
2014-10-16,24
2014-10-17,0
2014-10-18,0
2014-10-19,28
2014-10-20,24
2014-10-21,24
2014-10-22,0
2014-10-23,25
2014-10-24,0
2014-10-25,0
2014-10-26,28
2014-10-27,58
2014-10-28,35
2014-10-29,47
2014-10-30,24
2014-10-31,25
2014-11-01,29
2014-11-02,0
2014-11-03,24
2014-11-04,23
2014-11-05,94
2014-11-06,24
2014-11-07,50
2014-11-08,0
2014-11-09,0
2014-11-10,35
2014-11-11,47
2014-11-12,47
2014-11-13,24
2014-11-14,37
2014-11-15,0
2014-11-16,0
2014-11-17,23
2014-11-18,0
2014-11-19,49
2014-11-20,48
2014-11-21,49
2014-11-22,0
2014-11-23,0
2014-11-24,23
2014-11-25,23
2014-11-26,23
2014-11-27,24
2014-11-28,24
2014-11-29,0
2014-11-30,0
2014-12-01,23
