date,VRSK
2016-05-04,35
2016-05-05,0
2016-05-06,24
2016-05-07,0
2016-05-08,0
2016-05-09,0
2016-05-10,23
2016-05-11,23
2016-05-12,24
2016-05-13,48
2016-05-14,27
2016-05-15,0
2016-05-16,23
2016-05-17,23
2016-05-18,23
2016-05-19,0
2016-05-20,0
2016-05-21,28
2016-05-22,0
2016-05-23,0
2016-05-24,23
2016-05-25,46
2016-05-26,48
2016-05-27,49
2016-05-28,0
2016-05-29,0
2016-05-30,0
2016-05-31,23
2016-06-01,23
2016-06-02,0
2016-06-03,0
2016-06-04,0
2016-06-05,27
2016-06-06,35
2016-06-07,23
2016-06-08,47
2016-06-09,48
2016-06-10,74
2016-06-11,27
2016-06-12,0
2016-06-13,23
2016-06-14,46
2016-06-15,46
2016-06-16,70
2016-06-17,0
2016-06-18,28
2016-06-19,28
2016-06-20,23
2016-06-21,47
2016-06-22,0
2016-06-23,0
2016-06-24,37
2016-06-25,0
2016-06-26,27
2016-06-27,69
2016-06-28,23
2016-06-29,23
2016-06-30,0
2016-07-01,25
2016-07-02,28
2016-07-03,0
2016-07-04,25
2016-07-05,49
2016-07-06,37
2016-07-07,24
2016-07-08,100
2016-07-09,0
2016-07-10,28
2016-07-11,24
2016-07-12,47
2016-07-13,24
2016-07-14,36
2016-07-15,61
2016-07-16,0
2016-07-17,56
2016-07-18,24
2016-07-19,24
2016-07-20,24
2016-07-21,72
2016-07-22,24
2016-07-23,28
2016-07-24,0
2016-07-25,71
2016-07-26,23
2016-07-27,24
2016-07-28,0
2016-07-29,0
2016-07-30,0
2016-07-31,0
2016-08-01,47
2016-08-02,23
2016-08-03,48
2016-08-04,48
2016-08-05,25
2016-08-06,0
2016-08-07,0
2016-08-08,24
2016-08-09,47
2016-08-10,0
2016-08-11,24
2016-08-12,0
2016-08-13,0
2016-08-14,0
2016-08-15,50
2016-08-16,24
2016-08-17,0
2016-08-18,24
2016-08-19,25
2016-08-20,0
2016-08-21,0
2016-08-22,23
2016-08-23,36
2016-08-24,24
2016-08-25,47
2016-08-26,49
2016-08-27,0
2016-08-28,0
2016-08-29,46
2016-08-30,68
2016-08-31,0
2016-09-01,0
2016-09-02,24
2016-09-03,0
2016-09-04,27
2016-09-05,24
2016-09-06,23
2016-09-07,23
2016-09-08,34
2016-09-09,0
2016-09-10,0
2016-09-11,0
2016-09-12,69
2016-09-13,23
2016-09-14,46
2016-09-15,0
2016-09-16,0
2016-09-17,0
2016-09-18,0
2016-09-19,0
2016-09-20,45
2016-09-21,23
2016-09-22,0
2016-09-23,0
2016-09-24,0
2016-09-25,0
2016-09-26,0
2016-09-27,0
2016-09-28,67
2016-09-29,34
2016-09-30,23
2016-10-01,26
2016-10-02,25
2016-10-03,22
2016-10-04,55
2016-10-05,22
2016-10-06,0
2016-10-07,0
2016-10-08,26
2016-10-09,0
2016-10-10,0
2016-10-11,34
2016-10-12,22
2016-10-13,22
2016-10-14,0
2016-10-15,0
2016-10-16,26
2016-10-17,65
2016-10-18,0
2016-10-19,22
2016-10-20,0
2016-10-21,46
2016-10-22,26
2016-10-23,0
2016-10-24,22
2016-10-25,22
2016-10-26,22
2016-10-27,22
2016-10-28,23
2016-10-29,0
2016-10-30,0
2016-10-31,0
2016-11-01,45
2016-11-02,44
2016-11-03,22
2016-11-04,45
2016-11-05,25
2016-11-06,25
2016-11-07,32
2016-11-08,43
2016-11-09,0
2016-11-10,0
2016-11-11,34
2016-11-12,25
2016-11-13,0
2016-11-14,32
2016-11-15,44
2016-11-16,65
2016-11-17,0
2016-11-18,68
2016-11-19,25
2016-11-20,25
2016-11-21,21
2016-11-22,22
2016-11-23,66
2016-11-24,0
2016-11-25,22
2016-11-26,0
2016-11-27,49
2016-11-28,42
2016-11-29,32
2016-11-30,54
2016-12-01,44
2016-12-02,44
2016-12-03,25
2016-12-04,0
2016-12-05,0
2016-12-06,64
2016-12-07,0
2016-12-08,67
2016-12-09,70
2016-12-10,29
2016-12-11,0
2016-12-12,21
2016-12-13,32
2016-12-14,22
2016-12-15,0
2016-12-16,35
2016-12-17,0
2016-12-18,0
2016-12-19,33
2016-12-20,22
2016-12-21,23
2016-12-22,0
2016-12-23,0
2016-12-24,27
2016-12-25,0
2016-12-26,0
2016-12-27,0
2016-12-28,23
2016-12-29,46
2016-12-30,72
2016-12-31,0
2017-01-01,28
2017-01-02,23
2017-01-03,0
2017-01-04,22
2017-01-05,22
2017-01-06,0
2017-01-07,0
2017-01-08,0
2017-01-09,21
2017-01-10,0
2017-01-11,21
2017-01-12,0
2017-01-13,22
2017-01-14,0
2017-01-15,0
2017-01-16,0
2017-01-17,0
2017-01-18,0
2017-01-19,0
