date,VRSK
2016-08-02,22
2016-08-03,59
2016-08-04,0
2016-08-05,46
2016-08-06,0
2016-08-07,0
2016-08-08,22
2016-08-09,29
2016-08-10,22
2016-08-11,44
2016-08-12,34
2016-08-13,26
2016-08-14,0
2016-08-15,45
2016-08-16,22
2016-08-17,22
2016-08-18,22
2016-08-19,23
2016-08-20,25
2016-08-21,0
2016-08-22,22
2016-08-23,44
2016-08-24,22
2016-08-25,22
2016-08-26,23
2016-08-27,25
2016-08-28,0
2016-08-29,21
2016-08-30,21
2016-08-31,21
2016-09-01,22
2016-09-02,22
2016-09-03,0
2016-09-04,0
2016-09-05,22
2016-09-06,21
2016-09-07,22
2016-09-08,64
2016-09-09,0
2016-09-10,0
2016-09-11,0
2016-09-12,0
2016-09-13,0
2016-09-14,21
2016-09-15,0
2016-09-16,21
2016-09-17,0
2016-09-18,23
2016-09-19,21
2016-09-20,20
2016-09-21,21
2016-09-22,0
2016-09-23,0
2016-09-24,24
2016-09-25,0
2016-09-26,21
2016-09-27,0
2016-09-28,63
2016-09-29,28
2016-09-30,22
2016-10-01,48
2016-10-02,0
2016-10-03,21
2016-10-04,61
2016-10-05,31
2016-10-06,31
2016-10-07,43
2016-10-08,24
2016-10-09,0
2016-10-10,21
2016-10-11,48
2016-10-12,42
2016-10-13,20
2016-10-14,0
2016-10-15,0
2016-10-16,24
2016-10-17,27
2016-10-18,61
2016-10-19,20
2016-10-20,20
2016-10-21,42
2016-10-22,47
2016-10-23,0
2016-10-24,20
2016-10-25,30
2016-10-26,27
2016-10-27,48
2016-10-28,43
2016-10-29,24
2016-10-30,0
2016-10-31,42
2016-11-01,35
2016-11-02,47
2016-11-03,27
2016-11-04,82
2016-11-05,0
2016-11-06,23
2016-11-07,30
2016-11-08,100
2016-11-09,25
2016-11-10,30
2016-11-11,21
2016-11-12,23
2016-11-13,0
2016-11-14,39
2016-11-15,27
2016-11-16,40
2016-11-17,0
2016-11-18,52
2016-11-19,0
2016-11-20,0
2016-11-21,20
2016-11-22,40
2016-11-23,40
2016-11-24,0
2016-11-25,21
2016-11-26,23
2016-11-27,23
2016-11-28,39
2016-11-29,19
2016-11-30,33
2016-12-01,20
2016-12-02,81
2016-12-03,46
2016-12-04,0
2016-12-05,19
2016-12-06,29
2016-12-07,40
2016-12-08,41
2016-12-09,42
2016-12-10,26
2016-12-11,0
2016-12-12,19
2016-12-13,30
2016-12-14,0
2016-12-15,0
2016-12-16,0
2016-12-17,0
2016-12-18,0
2016-12-19,40
2016-12-20,21
2016-12-21,21
2016-12-22,0
2016-12-23,22
2016-12-24,0
2016-12-25,26
2016-12-26,0
2016-12-27,0
2016-12-28,22
2016-12-29,32
2016-12-30,45
2016-12-31,0
2017-01-01,25
2017-01-02,21
2017-01-03,20
2017-01-04,20
2017-01-05,20
2017-01-06,21
2017-01-07,0
2017-01-08,0
2017-01-09,0
2017-01-10,19
2017-01-11,29
2017-01-12,20
2017-01-13,20
2017-01-14,0
2017-01-15,0
2017-01-16,0
2017-01-17,39
2017-01-18,20
2017-01-19,20
2017-01-20,30
2017-01-21,0
2017-01-22,22
2017-01-23,19
2017-01-24,0
2017-01-25,58
2017-01-26,20
2017-01-27,0
2017-01-28,22
2017-01-29,0
2017-01-30,19
2017-01-31,0
2017-02-01,38
2017-02-02,19
2017-02-03,30
2017-02-04,0
2017-02-05,43
2017-02-06,19
2017-02-07,19
2017-02-08,38
2017-02-09,19
2017-02-10,29
2017-02-11,0
2017-02-12,0
2017-02-13,25
2017-02-14,32
2017-02-15,39
2017-02-16,45
2017-02-17,40
2017-02-18,0
2017-02-19,0
2017-02-20,0
2017-02-21,38
2017-02-22,32
2017-02-23,38
2017-02-24,41
2017-02-25,0
2017-02-26,0
2017-02-27,29
2017-02-28,20
2017-03-01,19
2017-03-02,0
2017-03-03,26
2017-03-04,22
2017-03-05,0
2017-03-06,19
2017-03-07,19
2017-03-08,0
2017-03-09,19
2017-03-10,26
2017-03-11,0
2017-03-12,0
2017-03-13,32
2017-03-14,0
2017-03-15,38
2017-03-16,0
2017-03-17,20
2017-03-18,0
2017-03-19,0
2017-03-20,48
2017-03-21,19
2017-03-22,0
2017-03-23,29
2017-03-24,0
2017-03-25,0
2017-03-26,0
2017-03-27,19
2017-03-28,19
2017-03-29,19
2017-03-30,32
2017-03-31,20
2017-04-01,0
2017-04-02,0
2017-04-03,19
2017-04-04,58
2017-04-05,0
2017-04-06,59
2017-04-07,41
2017-04-08,23
2017-04-09,0
2017-04-10,30
2017-04-11,20
2017-04-12,30
2017-04-13,21
2017-04-14,22
2017-04-15,0
2017-04-16,0
2017-04-17,41
2017-04-18,19
