date,VRSK
2011-01-01,0
2011-01-02,43
2011-01-03,0
2011-01-04,100
2011-01-05,33
2011-01-06,34
2011-01-07,34
2011-01-08,81
2011-01-09,0
2011-01-10,32
2011-01-11,32
2011-01-12,32
2011-01-13,65
2011-01-14,33
2011-01-15,0
2011-01-16,39
2011-01-17,0
2011-01-18,31
2011-01-19,32
2011-01-20,96
2011-01-21,33
2011-01-22,0
2011-01-23,0
2011-01-24,31
2011-01-25,31
2011-01-26,31
2011-01-27,0
2011-01-28,50
2011-01-29,39
2011-01-30,0
2011-01-31,30
2011-02-01,90
2011-02-02,0
2011-02-03,31
2011-02-04,32
2011-02-05,38
2011-02-06,0
2011-02-07,30
2011-02-08,31
2011-02-09,62
2011-02-10,32
2011-02-11,66
2011-02-12,0
2011-02-13,0
2011-02-14,47
2011-02-15,40
2011-02-16,0
2011-02-17,32
2011-02-18,0
2011-02-19,0
2011-02-20,38
2011-02-21,0
2011-02-22,61
2011-02-23,61
2011-02-24,31
2011-02-25,32
2011-02-26,0
2011-02-27,0
2011-02-28,30
2011-03-01,45
2011-03-02,31
2011-03-03,31
2011-03-04,0
2011-03-05,0
2011-03-06,0
2011-03-07,63
2011-03-08,62
2011-03-09,31
2011-03-10,61
2011-03-11,31
2011-03-12,39
2011-03-13,0
2011-03-14,64
2011-03-15,0
2011-03-16,0
2011-03-17,62
2011-03-18,32
2011-03-19,38
2011-03-20,0
2011-03-21,31
2011-03-22,61
2011-03-23,30
2011-03-24,0
2011-03-25,33
2011-03-26,0
2011-03-27,0
2011-03-28,30
2011-03-29,30
2011-03-30,0
2011-03-31,0
2011-04-01,32
2011-04-02,39
2011-04-03,0
2011-04-04,0
2011-04-05,30
2011-04-06,0
2011-04-07,31
2011-04-08,33
2011-04-09,0
2011-04-10,0
2011-04-11,0
2011-04-12,0
2011-04-13,31
2011-04-14,47
2011-04-15,33
2011-04-16,0
2011-04-17,39
2011-04-18,0
2011-04-19,31
2011-04-20,48
2011-04-21,0
2011-04-22,37
2011-04-23,0
2011-04-24,0
2011-04-25,34
2011-04-26,0
2011-04-27,30
2011-04-28,31
2011-04-29,33
2011-04-30,0
2011-05-01,0
2011-05-02,31
2011-05-03,0
2011-05-04,0
2011-05-05,0
2011-05-06,32
2011-05-07,0
2011-05-08,0
2011-05-09,0
2011-05-10,0
2011-05-11,30
2011-05-12,30
2011-05-13,32
2011-05-14,38
2011-05-15,0
2011-05-16,0
2011-05-17,0
2011-05-18,61
2011-05-19,31
2011-05-20,0
2011-05-21,0
2011-05-22,0
2011-05-23,0
2011-05-24,30
2011-05-25,0
2011-05-26,30
2011-05-27,0
2011-05-28,77
2011-05-29,0
2011-05-30,0
2011-05-31,0
2011-06-01,0
2011-06-02,0
2011-06-03,33
2011-06-04,0
2011-06-05,0
2011-06-06,30
2011-06-07,30
2011-06-08,0
2011-06-09,30
2011-06-10,32
2011-06-11,0
2011-06-12,39
2011-06-13,0
2011-06-14,29
2011-06-15,30
2011-06-16,0
2011-06-17,32
2011-06-18,0
2011-06-19,0
2011-06-20,0
2011-06-21,0
2011-06-22,60
2011-06-23,0
2011-06-24,33
2011-06-25,0
2011-06-26,0
2011-06-27,0
2011-06-28,0
2011-06-29,30
2011-06-30,0
2011-07-01,33
2011-07-02,0
2011-07-03,0
2011-07-04,0
2011-07-05,0
2011-07-06,30
2011-07-07,31
2011-07-08,0
2011-07-09,0
2011-07-10,0
2011-07-11,0
2011-07-12,0
2011-07-13,0
2011-07-14,31
2011-07-15,33
2011-07-16,0
2011-07-17,0
2011-07-18,30
2011-07-19,30
2011-07-20,30
2011-07-21,0
2011-07-22,32
2011-07-23,0
2011-07-24,0
2011-07-25,0
2011-07-26,0
2011-07-27,30
2011-07-28,0
2011-07-29,0
2011-07-30,0
2011-07-31,0
2011-08-01,0
2011-08-02,30
2011-08-03,30
2011-08-04,30
2011-08-05,32
2011-08-06,0
2011-08-07,0
2011-08-08,29
2011-08-09,0
2011-08-10,30
2011-08-11,0
2011-08-12,32
2011-08-13,0
2011-08-14,0
2011-08-15,63
2011-08-16,30
2011-08-17,30
2011-08-18,0
2011-08-19,0
2011-08-20,0
2011-08-21,0
2011-08-22,0
2011-08-23,58
2011-08-24,29
2011-08-25,30
2011-08-26,61
2011-08-27,0
2011-08-28,0
2011-08-29,29
2011-08-30,29
2011-08-31,29
2011-09-01,0
2011-09-02,0
2011-09-03,0
2011-09-04,0
2011-09-05,29
2011-09-06,0
2011-09-07,28
2011-09-08,42
2011-09-09,0
2011-09-10,0
2011-09-11,0
2011-09-12,0
2011-09-13,27
2011-09-14,0
2011-09-15,0
2011-09-16,30
2011-09-17,35
2011-09-18,33
