date,symbol
2014-12-01,87
2014-12-02,96
2014-12-03,94
2014-12-04,95
2014-12-05,90
2014-12-06,69
2014-12-07,76
2014-12-08,95
2014-12-09,96
2014-12-10,94
2014-12-11,93
2014-12-12,88
2014-12-13,68
2014-12-14,73
2014-12-15,89
2014-12-16,88
2014-12-17,87
2014-12-18,85
2014-12-19,77
2014-12-20,63
2014-12-21,63
2014-12-22,70
2014-12-23,71
2014-12-24,68
2014-12-25,62
2014-12-26,65
2014-12-27,64
2014-12-28,63
2014-12-29,68
2014-12-30,73
2014-12-31,73
2015-01-01,64
2015-01-02,73
2015-01-03,68
2015-01-04,71
2015-01-05,82
2015-01-06,90
2015-01-07,90
2015-01-08,91
2015-01-09,86
2015-01-10,69
2015-01-11,77
2015-01-12,90
2015-01-13,91
2015-01-14,93
2015-01-15,91
2015-01-16,87
2015-01-17,69
2015-01-18,73
2015-01-19,83
2015-01-20,94
2015-01-21,93
2015-01-22,97
2015-01-23,87
2015-01-24,71
2015-01-25,76
2015-01-26,87
2015-01-27,94
2015-01-28,95
2015-01-29,96
2015-01-30,88
2015-01-31,70
2015-02-01,75
2015-02-02,91
2015-02-03,95
2015-02-04,97
2015-02-05,98
2015-02-06,91
2015-02-07,70
2015-02-08,76
2015-02-09,93
2015-02-10,97
2015-02-11,99
2015-02-12,95
2015-02-13,89
2015-02-14,69
2015-02-15,72
2015-02-16,83
2015-02-17,90
2015-02-18,91
2015-02-19,95
2015-02-20,87
2015-02-21,71
2015-02-22,77
2015-02-23,90
2015-02-24,94
2015-02-25,99
2015-02-26,95
2015-02-27,87
2015-02-28,69
2015-03-01,76
2015-03-02,92
2015-03-03,94
2015-03-04,97
2015-03-05,96
2015-03-06,88
2015-03-07,69
2015-03-08,76
2015-03-09,91
2015-03-10,95
2015-03-11,96
2015-03-12,95
2015-03-13,92
2015-03-14,78
2015-03-15,76
2015-03-16,93
2015-03-17,94
2015-03-18,94
2015-03-19,91
2015-03-20,86
2015-03-21,69
2015-03-22,75
2015-03-23,92
2015-03-24,94
2015-03-25,93
2015-03-26,91
2015-03-27,85
2015-03-28,66
2015-03-29,72
2015-03-30,88
2015-03-31,91
2015-04-01,89
2015-04-02,87
2015-04-03,76
2015-04-04,68
2015-04-05,70
2015-04-06,83
2015-04-07,89
2015-04-08,91
2015-04-09,90
2015-04-10,86
2015-04-11,70
2015-04-12,75
2015-04-13,90
2015-04-14,93
2015-04-15,95
2015-04-16,97
2015-04-17,87
2015-04-18,72
2015-04-19,75
2015-04-20,93
2015-04-21,96
2015-04-22,96
2015-04-23,95
2015-04-24,90
2015-04-25,70
2015-04-26,75
2015-04-27,94
2015-04-28,94
2015-04-29,100
2015-04-30,97
2015-05-01,89
2015-05-02,67
2015-05-03,72
2015-05-04,90
2015-05-05,94
2015-05-06,94
2015-05-07,94
2015-05-08,86
2015-05-09,70
2015-05-10,74
2015-05-11,92
2015-05-12,93
2015-05-13,92
2015-05-14,91
2015-05-15,84
2015-05-16,68
2015-05-17,73
2015-05-18,89
2015-05-19,91
2015-05-20,91
2015-05-21,91
2015-05-22,84
2015-05-23,64
2015-05-24,68
2015-05-25,74
2015-05-26,86
2015-05-27,89
2015-05-28,87
2015-05-29,81
2015-05-30,69
2015-05-31,73
2015-06-01,88
2015-06-02,91
2015-06-03,88
2015-06-04,89
2015-06-05,80
2015-06-06,67
2015-06-07,68
2015-06-08,83
2015-06-09,86
2015-06-10,86
2015-06-11,85
2015-06-12,77
2015-06-13,68
2015-06-14,72
2015-06-15,82
2015-06-16,84
2015-06-17,82
2015-06-18,85
2015-06-19,78
2015-06-20,68
2015-06-21,75
2015-06-22,83
2015-06-23,85
2015-06-24,84
2015-06-25,86
2015-06-26,81
2015-06-27,73
2015-06-28,75
2015-06-29,81
2015-06-30,83
2015-07-01,81
2015-07-02,80
2015-07-03,72
2015-07-04,66
2015-07-05,66
2015-07-06,78
2015-07-07,80
2015-07-08,82
2015-07-09,83
2015-07-10,78
2015-07-11,68
2015-07-12,70
2015-07-13,80
2015-07-14,81
2015-07-15,80
2015-07-16,80
2015-07-17,77
2015-07-18,67
2015-07-19,71
2015-07-20,80
2015-07-21,82
2015-07-22,82
2015-07-23,80
2015-07-24,77
2015-07-25,68
2015-07-26,72
2015-07-27,78
2015-07-28,80
2015-07-29,82
2015-07-30,81
2015-07-31,76
2015-08-01,66
2015-08-02,69
2015-08-03,79
2015-08-04,80
2015-08-05,86
2015-08-06,85
2015-08-07,76
2015-08-08,67
2015-08-09,70
2015-08-10,80
2015-08-11,85
2015-08-12,83
2015-08-13,83
2015-08-14,78
2015-08-15,70
2015-08-16,70
2015-08-17,80
2015-08-18,86
