date,symbol
2013-06-29,66
2013-06-30,68
2013-07-01,75
2013-07-02,79
2013-07-03,77
2013-07-04,69
2013-07-05,67
2013-07-06,63
2013-07-07,66
2013-07-08,73
2013-07-09,77
2013-07-10,77
2013-07-11,80
2013-07-12,73
2013-07-13,67
2013-07-14,66
2013-07-15,76
2013-07-16,76
2013-07-17,79
2013-07-18,79
2013-07-19,74
2013-07-20,66
2013-07-21,66
2013-07-22,72
2013-07-23,78
2013-07-24,78
2013-07-25,77
2013-07-26,72
2013-07-27,66
2013-07-28,69
2013-07-29,73
2013-07-30,79
2013-07-31,81
2013-08-01,78
2013-08-02,73
2013-08-03,63
2013-08-04,68
2013-08-05,76
2013-08-06,79
2013-08-07,79
2013-08-08,77
2013-08-09,74
2013-08-10,63
2013-08-11,67
2013-08-12,77
2013-08-13,78
2013-08-14,79
2013-08-15,76
2013-08-16,74
2013-08-17,64
2013-08-18,70
2013-08-19,76
2013-08-20,80
2013-08-21,80
2013-08-22,80
2013-08-23,76
2013-08-24,66
2013-08-25,68
2013-08-26,76
2013-08-27,80
2013-08-28,84
2013-08-29,85
2013-08-30,77
2013-08-31,67
2013-09-01,67
2013-09-02,75
2013-09-03,86
2013-09-04,90
2013-09-05,88
2013-09-06,83
2013-09-07,70
2013-09-08,77
2013-09-09,90
2013-09-10,91
2013-09-11,93
2013-09-12,93
2013-09-13,86
2013-09-14,68
2013-09-15,77
2013-09-16,92
2013-09-17,93
2013-09-18,94
2013-09-19,92
2013-09-20,84
2013-09-21,69
2013-09-22,75
2013-09-23,88
2013-09-24,93
2013-09-25,93
2013-09-26,94
2013-09-27,82
2013-09-28,69
2013-09-29,76
2013-09-30,87
2013-10-01,89
2013-10-02,92
2013-10-03,91
2013-10-04,85
2013-10-05,69
2013-10-06,76
2013-10-07,87
2013-10-08,95
2013-10-09,93
2013-10-10,93
2013-10-11,85
2013-10-12,68
2013-10-13,73
2013-10-14,87
2013-10-15,92
2013-10-16,90
2013-10-17,93
2013-10-18,84
2013-10-19,70
2013-10-20,79
2013-10-21,91
2013-10-22,95
2013-10-23,94
2013-10-24,93
2013-10-25,87
2013-10-26,71
2013-10-27,78
2013-10-28,90
2013-10-29,95
2013-10-30,96
2013-10-31,98
2013-11-01,81
2013-11-02,69
2013-11-03,74
2013-11-04,90
2013-11-05,90
2013-11-06,94
2013-11-07,100
2013-11-08,86
2013-11-09,70
2013-11-10,73
2013-11-11,88
2013-11-12,93
2013-11-13,96
2013-11-14,92
2013-11-15,86
2013-11-16,68
2013-11-17,77
2013-11-18,91
2013-11-19,92
2013-11-20,95
2013-11-21,94
2013-11-22,84
2013-11-23,66
2013-11-24,73
2013-11-25,88
2013-11-26,87
2013-11-27,82
2013-11-28,71
2013-11-29,65
2013-11-30,69
2013-12-01,74
2013-12-02,86
2013-12-03,91
2013-12-04,93
2013-12-05,93
2013-12-06,85
2013-12-07,70
2013-12-08,74
2013-12-09,88
2013-12-10,91
2013-12-11,89
2013-12-12,92
2013-12-13,84
2013-12-14,67
2013-12-15,71
2013-12-16,84
2013-12-17,85
2013-12-18,82
2013-12-19,80
2013-12-20,71
2013-12-21,63
2013-12-22,62
2013-12-23,67
2013-12-24,69
2013-12-25,64
2013-12-26,61
2013-12-27,64
2013-12-28,63
2013-12-29,66
2013-12-30,68
2013-12-31,72
2014-01-01,64
2014-01-02,71
2014-01-03,72
2014-01-04,68
2014-01-05,70
2014-01-06,78
2014-01-07,84
2014-01-08,86
2014-01-09,87
2014-01-10,84
2014-01-11,66
2014-01-12,79
2014-01-13,84
2014-01-14,88
2014-01-15,90
2014-01-16,89
2014-01-17,84
2014-01-18,68
2014-01-19,73
2014-01-20,82
2014-01-21,87
2014-01-22,89
2014-01-23,90
2014-01-24,83
2014-01-25,69
2014-01-26,74
2014-01-27,86
2014-01-28,90
2014-01-29,87
2014-01-30,92
2014-01-31,87
2014-02-01,69
2014-02-02,72
2014-02-03,87
2014-02-04,92
2014-02-05,91
2014-02-06,89
2014-02-07,85
2014-02-08,72
2014-02-09,76
2014-02-10,89
2014-02-11,93
2014-02-12,95
2014-02-13,92
2014-02-14,88
2014-02-15,68
2014-02-16,70
2014-02-17,81
2014-02-18,90
2014-02-19,92
2014-02-20,89
2014-02-21,85
2014-02-22,71
2014-02-23,76
2014-02-24,90
2014-02-25,95
2014-02-26,95
2014-02-27,92
2014-02-28,86
2014-03-01,69
2014-03-02,74
2014-03-03,87
2014-03-04,90
2014-03-05,93
2014-03-06,92
2014-03-07,87
2014-03-08,73
2014-03-09,76
2014-03-10,87
2014-03-11,90
2014-03-12,91
2014-03-13,92
2014-03-14,94
2014-03-15,72
2014-03-16,77
