date,NCLH
2013-11-06,44
2013-11-07,0
2013-11-08,0
2013-11-09,0
2013-11-10,0
2013-11-11,0
2013-11-12,0
2013-11-13,44
2013-11-14,0
2013-11-15,0
2013-11-16,0
2013-11-17,51
2013-11-18,0
2013-11-19,0
2013-11-20,0
2013-11-21,43
2013-11-22,0
2013-11-23,0
2013-11-24,100
2013-11-25,0
2013-11-26,43
2013-11-27,0
2013-11-28,0
2013-11-29,0
2013-11-30,0
2013-12-01,0
2013-12-02,42
2013-12-03,85
2013-12-04,86
2013-12-05,44
2013-12-06,0
2013-12-07,0
2013-12-08,0
2013-12-09,0
2013-12-10,0
2013-12-11,44
2013-12-12,0
2013-12-13,0
2013-12-14,0
2013-12-15,0
2013-12-16,0
2013-12-17,0
2013-12-18,0
2013-12-19,0
2013-12-20,47
2013-12-21,0
2013-12-22,0
2013-12-23,49
2013-12-24,53
2013-12-25,0
2013-12-26,50
2013-12-27,0
2013-12-28,0
2013-12-29,0
2013-12-30,0
2013-12-31,0
2014-01-01,0
2014-01-02,0
2014-01-03,0
2014-01-04,49
2014-01-05,0
2014-01-06,44
2014-01-07,0
2014-01-08,0
2014-01-09,42
2014-01-10,44
2014-01-11,0
2014-01-12,0
2014-01-13,41
2014-01-14,42
2014-01-15,0
2014-01-16,42
2014-01-17,65
2014-01-18,50
2014-01-19,0
2014-01-20,0
2014-01-21,0
2014-01-22,0
2014-01-23,0
2014-01-24,0
2014-01-25,49
2014-01-26,0
2014-01-27,40
2014-01-28,0
2014-01-29,0
2014-01-30,0
2014-01-31,0
2014-02-01,0
2014-02-02,48
2014-02-03,41
2014-02-04,0
2014-02-05,0
2014-02-06,56
2014-02-07,47
2014-02-08,48
2014-02-09,0
2014-02-10,0
2014-02-11,0
2014-02-12,0
2014-02-13,0
2014-02-14,0
2014-02-15,0
2014-02-16,0
2014-02-17,83
2014-02-18,41
2014-02-19,0
2014-02-20,0
2014-02-21,0
2014-02-22,0
2014-02-23,0
2014-02-24,0
2014-02-25,0
2014-02-26,0
2014-02-27,0
2014-02-28,0
2014-03-01,0
2014-03-02,48
2014-03-03,0
2014-03-04,0
2014-03-05,41
2014-03-06,42
2014-03-07,0
2014-03-08,0
2014-03-09,0
2014-03-10,0
2014-03-11,0
2014-03-12,83
2014-03-13,42
2014-03-14,0
2014-03-15,0
2014-03-16,0
2014-03-17,0
2014-03-18,61
2014-03-19,62
2014-03-20,42
2014-03-21,0
2014-03-22,0
2014-03-23,47
2014-03-24,0
2014-03-25,0
2014-03-26,0
2014-03-27,0
2014-03-28,43
2014-03-29,0
2014-03-30,48
2014-03-31,0
2014-04-01,0
2014-04-02,0
2014-04-03,42
2014-04-04,0
2014-04-05,0
2014-04-06,0
2014-04-07,0
2014-04-08,40
2014-04-09,41
2014-04-10,0
2014-04-11,0
2014-04-12,0
2014-04-13,0
2014-04-14,42
2014-04-15,0
2014-04-16,0
2014-04-17,45
2014-04-18,47
2014-04-19,0
2014-04-20,0
2014-04-21,45
2014-04-22,0
2014-04-23,0
2014-04-24,0
2014-04-25,0
2014-04-26,0
2014-04-27,0
2014-04-28,82
2014-04-29,40
2014-04-30,0
2014-05-01,0
2014-05-02,44
2014-05-03,0
2014-05-04,0
2014-05-05,0
2014-05-06,41
2014-05-07,0
2014-05-08,82
2014-05-09,43
2014-05-10,49
2014-05-11,0
2014-05-12,40
2014-05-13,40
2014-05-14,0
2014-05-15,0
2014-05-16,0
2014-05-17,0
2014-05-18,0
2014-05-19,41
2014-05-20,0
2014-05-21,0
2014-05-22,0
2014-05-23,47
2014-05-24,0
2014-05-25,0
2014-05-26,0
2014-05-27,0
2014-05-28,0
2014-05-29,46
2014-05-30,48
2014-05-31,0
2014-06-01,56
2014-06-02,91
2014-06-03,0
2014-06-04,45
2014-06-05,0
2014-06-06,48
2014-06-07,0
2014-06-08,0
2014-06-09,0
2014-06-10,0
2014-06-11,0
2014-06-12,0
2014-06-13,0
2014-06-14,55
2014-06-15,0
2014-06-16,0
2014-06-17,0
2014-06-18,0
2014-06-19,0
2014-06-20,0
2014-06-21,0
2014-06-22,0
2014-06-23,0
2014-06-24,0
2014-06-25,46
2014-06-26,0
2014-06-27,0
2014-06-28,0
2014-06-29,0
2014-06-30,0
2014-07-01,0
2014-07-02,0
2014-07-03,0
2014-07-04,0
2014-07-05,0
2014-07-06,0
2014-07-07,46
2014-07-08,46
2014-07-09,46
2014-07-10,0
2014-07-11,0
2014-07-12,0
2014-07-13,0
2014-07-14,0
2014-07-15,0
2014-07-16,0
2014-07-17,0
2014-07-18,0
2014-07-19,0
2014-07-20,0
2014-07-21,0
2014-07-22,0
2014-07-23,0
2014-07-24,46
