date,NCLH
2016-05-04,21
2016-05-05,15
2016-05-06,15
2016-05-07,0
2016-05-08,17
2016-05-09,19
2016-05-10,64
2016-05-11,19
2016-05-12,14
2016-05-13,29
2016-05-14,0
2016-05-15,16
2016-05-16,28
2016-05-17,21
2016-05-18,21
2016-05-19,29
2016-05-20,44
2016-05-21,0
2016-05-22,0
2016-05-23,14
2016-05-24,23
2016-05-25,14
2016-05-26,22
2016-05-27,15
2016-05-28,0
2016-05-29,0
2016-05-30,0
2016-05-31,14
2016-06-01,14
2016-06-02,29
2016-06-03,15
2016-06-04,0
2016-06-05,17
2016-06-06,14
2016-06-07,21
2016-06-08,21
2016-06-09,14
2016-06-10,15
2016-06-11,17
2016-06-12,16
2016-06-13,21
2016-06-14,14
2016-06-15,21
2016-06-16,28
2016-06-17,15
2016-06-18,0
2016-06-19,34
2016-06-20,14
2016-06-21,21
2016-06-22,0
2016-06-23,0
2016-06-24,35
2016-06-25,0
2016-06-26,33
2016-06-27,49
2016-06-28,21
2016-06-29,21
2016-06-30,36
2016-07-01,15
2016-07-02,0
2016-07-03,17
2016-07-04,23
2016-07-05,22
2016-07-06,22
2016-07-07,15
2016-07-08,25
2016-07-09,34
2016-07-10,26
2016-07-11,14
2016-07-12,24
2016-07-13,19
2016-07-14,29
2016-07-15,15
2016-07-16,17
2016-07-17,17
2016-07-18,15
2016-07-19,22
2016-07-20,15
2016-07-21,29
2016-07-22,25
2016-07-23,17
2016-07-24,17
2016-07-25,22
2016-07-26,14
2016-07-27,22
2016-07-28,15
2016-07-29,25
2016-07-30,26
2016-07-31,0
2016-08-01,29
2016-08-02,14
2016-08-03,29
2016-08-04,14
2016-08-05,38
2016-08-06,0
2016-08-07,26
2016-08-08,14
2016-08-09,100
2016-08-10,58
2016-08-11,44
2016-08-12,23
2016-08-13,29
2016-08-14,0
2016-08-15,30
2016-08-16,14
2016-08-17,72
2016-08-18,24
2016-08-19,30
2016-08-20,17
2016-08-21,17
2016-08-22,29
2016-08-23,14
2016-08-24,14
2016-08-25,63
2016-08-26,30
2016-08-27,17
2016-08-28,17
2016-08-29,33
2016-08-30,14
2016-08-31,35
2016-09-01,47
2016-09-02,54
2016-09-03,22
2016-09-04,33
2016-09-05,14
2016-09-06,37
2016-09-07,47
2016-09-08,56
2016-09-09,57
2016-09-10,16
2016-09-11,16
2016-09-12,37
2016-09-13,35
2016-09-14,47
2016-09-15,28
2016-09-16,51
2016-09-17,16
2016-09-18,16
2016-09-19,36
2016-09-20,54
2016-09-21,50
2016-09-22,28
2016-09-23,38
2016-09-24,16
2016-09-25,0
2016-09-26,14
2016-09-27,14
2016-09-28,41
2016-09-29,34
2016-09-30,36
2016-10-01,32
2016-10-02,0
2016-10-03,31
2016-10-04,31
2016-10-05,36
2016-10-06,34
2016-10-07,42
2016-10-08,16
2016-10-09,16
2016-10-10,34
2016-10-11,36
2016-10-12,34
2016-10-13,41
2016-10-14,21
2016-10-15,16
2016-10-16,0
2016-10-17,20
2016-10-18,20
2016-10-19,22
2016-10-20,31
2016-10-21,14
2016-10-22,0
2016-10-23,15
2016-10-24,22
2016-10-25,20
2016-10-26,33
2016-10-27,36
2016-10-28,33
2016-10-29,16
2016-10-30,16
2016-10-31,23
2016-11-01,14
2016-11-02,0
2016-11-03,27
2016-11-04,14
2016-11-05,15
2016-11-06,15
2016-11-07,20
2016-11-08,17
2016-11-09,45
2016-11-10,47
2016-11-11,28
2016-11-12,15
2016-11-13,0
2016-11-14,43
2016-11-15,40
2016-11-16,13
2016-11-17,27
2016-11-18,41
2016-11-19,0
2016-11-20,15
2016-11-21,26
2016-11-22,13
2016-11-23,13
2016-11-24,0
2016-11-25,14
2016-11-26,15
2016-11-27,30
2016-11-28,17
2016-11-29,13
2016-11-30,13
2016-12-01,33
2016-12-02,14
2016-12-03,15
2016-12-04,0
2016-12-05,26
2016-12-06,13
2016-12-07,35
2016-12-08,36
2016-12-09,28
2016-12-10,0
2016-12-11,16
2016-12-12,32
2016-12-13,26
2016-12-14,53
2016-12-15,18
2016-12-16,28
2016-12-17,16
2016-12-18,16
2016-12-19,60
2016-12-20,20
2016-12-21,19
2016-12-22,14
2016-12-23,15
2016-12-24,0
2016-12-25,17
2016-12-26,15
2016-12-27,14
2016-12-28,14
2016-12-29,14
2016-12-30,30
2016-12-31,16
2017-01-01,0
2017-01-02,0
2017-01-03,26
2017-01-04,0
2017-01-05,20
2017-01-06,0
2017-01-07,30
2017-01-08,15
2017-01-09,13
2017-01-10,26
2017-01-11,26
2017-01-12,21
2017-01-13,13
2017-01-14,15
2017-01-15,15
2017-01-16,13
2017-01-17,13
2017-01-18,13
2017-01-19,13
