date,NCLH
2016-08-02,0
2016-08-03,20
2016-08-04,28
2016-08-05,56
2016-08-06,0
2016-08-07,0
2016-08-08,13
2016-08-09,60
2016-08-10,47
2016-08-11,95
2016-08-12,28
2016-08-13,32
2016-08-14,0
2016-08-15,56
2016-08-16,40
2016-08-17,41
2016-08-18,27
2016-08-19,28
2016-08-20,15
2016-08-21,0
2016-08-22,40
2016-08-23,40
2016-08-24,20
2016-08-25,34
2016-08-26,41
2016-08-27,0
2016-08-28,0
2016-08-29,26
2016-08-30,13
2016-08-31,45
2016-09-01,46
2016-09-02,34
2016-09-03,31
2016-09-04,23
2016-09-05,13
2016-09-06,26
2016-09-07,72
2016-09-08,20
2016-09-09,27
2016-09-10,45
2016-09-11,0
2016-09-12,39
2016-09-13,19
2016-09-14,26
2016-09-15,53
2016-09-16,20
2016-09-17,23
2016-09-18,0
2016-09-19,51
2016-09-20,19
2016-09-21,13
2016-09-22,0
2016-09-23,40
2016-09-24,15
2016-09-25,0
2016-09-26,13
2016-09-27,13
2016-09-28,19
2016-09-29,13
2016-09-30,20
2016-10-01,15
2016-10-02,0
2016-10-03,38
2016-10-04,25
2016-10-05,25
2016-10-06,38
2016-10-07,20
2016-10-08,15
2016-10-09,15
2016-10-10,26
2016-10-11,19
2016-10-12,32
2016-10-13,0
2016-10-14,20
2016-10-15,15
2016-10-16,0
2016-10-17,25
2016-10-18,25
2016-10-19,19
2016-10-20,31
2016-10-21,19
2016-10-22,0
2016-10-23,15
2016-10-24,12
2016-10-25,19
2016-10-26,37
2016-10-27,38
2016-10-28,53
2016-10-29,0
2016-10-30,0
2016-10-31,13
2016-11-01,20
2016-11-02,25
2016-11-03,25
2016-11-04,26
2016-11-05,14
2016-11-06,0
2016-11-07,12
2016-11-08,25
2016-11-09,46
2016-11-10,31
2016-11-11,46
2016-11-12,28
2016-11-13,0
2016-11-14,12
2016-11-15,31
2016-11-16,12
2016-11-17,13
2016-11-18,0
2016-11-19,0
2016-11-20,0
2016-11-21,12
2016-11-22,25
2016-11-23,25
2016-11-24,0
2016-11-25,25
2016-11-26,0
2016-11-27,0
2016-11-28,12
2016-11-29,0
2016-11-30,37
2016-12-01,19
2016-12-02,19
2016-12-03,0
2016-12-04,14
2016-12-05,12
2016-12-06,24
2016-12-07,12
2016-12-08,44
2016-12-09,13
2016-12-10,16
2016-12-11,0
2016-12-12,12
2016-12-13,18
2016-12-14,37
2016-12-15,13
2016-12-16,0
2016-12-17,15
2016-12-18,14
2016-12-19,13
2016-12-20,25
2016-12-21,20
2016-12-22,26
2016-12-23,14
2016-12-24,0
2016-12-25,16
2016-12-26,0
2016-12-27,13
2016-12-28,26
2016-12-29,26
2016-12-30,27
2016-12-31,15
2017-01-01,0
2017-01-02,13
2017-01-03,0
2017-01-04,12
2017-01-05,0
2017-01-06,0
2017-01-07,14
2017-01-08,0
2017-01-09,0
2017-01-10,24
2017-01-11,12
2017-01-12,0
2017-01-13,12
2017-01-14,14
2017-01-15,0
2017-01-16,0
2017-01-17,12
2017-01-18,12
2017-01-19,24
2017-01-20,12
2017-01-21,0
2017-01-22,0
2017-01-23,24
2017-01-24,24
2017-01-25,18
2017-01-26,12
2017-01-27,25
2017-01-28,28
2017-01-29,0
2017-01-30,36
2017-01-31,12
2017-02-01,18
2017-02-02,18
2017-02-03,12
2017-02-04,0
2017-02-05,0
2017-02-06,0
2017-02-07,23
2017-02-08,23
2017-02-09,0
2017-02-10,25
2017-02-11,14
2017-02-12,0
2017-02-13,17
2017-02-14,18
2017-02-15,12
2017-02-16,36
2017-02-17,0
2017-02-18,42
2017-02-19,14
2017-02-20,0
2017-02-21,23
2017-02-22,100
2017-02-23,24
2017-02-24,37
2017-02-25,28
2017-02-26,0
2017-02-27,18
2017-02-28,24
2017-03-01,12
2017-03-02,23
2017-03-03,12
2017-03-04,0
2017-03-05,0
2017-03-06,24
2017-03-07,12
2017-03-08,17
2017-03-09,23
2017-03-10,12
2017-03-11,27
2017-03-12,14
2017-03-13,18
2017-03-14,17
2017-03-15,12
2017-03-16,41
2017-03-17,12
2017-03-18,0
2017-03-19,13
2017-03-20,18
2017-03-21,12
2017-03-22,23
2017-03-23,12
2017-03-24,0
2017-03-25,14
2017-03-26,0
2017-03-27,23
2017-03-28,12
2017-03-29,12
2017-03-30,12
2017-03-31,25
2017-04-01,14
2017-04-02,0
2017-04-03,36
2017-04-04,60
2017-04-05,12
2017-04-06,12
2017-04-07,37
2017-04-08,14
2017-04-09,0
2017-04-10,12
2017-04-11,0
2017-04-12,24
2017-04-13,13
2017-04-14,0
2017-04-15,0
2017-04-16,14
2017-04-17,19
2017-04-18,12
