date,NCLH
2017-01-19,0
2017-01-20,16
2017-01-21,0
2017-01-22,0
2017-01-23,25
2017-01-24,15
2017-01-25,0
2017-01-26,31
2017-01-27,16
2017-01-28,24
2017-01-29,0
2017-01-30,23
2017-01-31,0
2017-02-01,0
2017-02-02,31
2017-02-03,31
2017-02-04,0
2017-02-05,0
2017-02-06,15
2017-02-07,20
2017-02-08,30
2017-02-09,30
2017-02-10,23
2017-02-11,0
2017-02-12,17
2017-02-13,22
2017-02-14,60
2017-02-15,23
2017-02-16,30
2017-02-17,31
2017-02-18,35
2017-02-19,18
2017-02-20,30
2017-02-21,35
2017-02-22,100
2017-02-23,35
2017-02-24,32
2017-02-25,27
2017-02-26,0
2017-02-27,30
2017-02-28,36
2017-03-01,60
2017-03-02,15
2017-03-03,23
2017-03-04,0
2017-03-05,25
2017-03-06,44
2017-03-07,15
2017-03-08,25
2017-03-09,30
2017-03-10,15
2017-03-11,17
2017-03-12,17
2017-03-13,20
2017-03-14,30
2017-03-15,35
2017-03-16,35
2017-03-17,31
2017-03-18,17
2017-03-19,34
2017-03-20,15
2017-03-21,15
2017-03-22,15
2017-03-23,23
2017-03-24,16
2017-03-25,18
2017-03-26,0
2017-03-27,35
2017-03-28,15
2017-03-29,15
2017-03-30,31
2017-03-31,16
2017-04-01,0
