date,NCLH
2016-09-11,18
2016-09-12,21
2016-09-13,31
2016-09-14,47
2016-09-15,16
2016-09-16,41
2016-09-17,18
2016-09-18,18
2016-09-19,21
2016-09-20,31
2016-09-21,31
2016-09-22,31
2016-09-23,33
2016-09-24,18
2016-09-25,0
2016-09-26,31
2016-09-27,36
2016-09-28,20
2016-09-29,31
2016-09-30,49
2016-10-01,36
2016-10-02,17
2016-10-03,31
2016-10-04,25
2016-10-05,36
2016-10-06,31
2016-10-07,16
2016-10-08,36
2016-10-09,18
2016-10-10,23
2016-10-11,31
2016-10-12,31
2016-10-13,46
2016-10-14,32
2016-10-15,18
2016-10-16,0
2016-10-17,15
2016-10-18,30
2016-10-19,25
2016-10-20,25
2016-10-21,23
2016-10-22,0
2016-10-23,18
2016-10-24,30
2016-10-25,37
2016-10-26,45
2016-10-27,38
2016-10-28,16
2016-10-29,0
2016-10-30,18
2016-10-31,23
2016-11-01,26
2016-11-02,15
2016-11-03,30
2016-11-04,21
2016-11-05,17
2016-11-06,17
2016-11-07,22
2016-11-08,22
2016-11-09,56
2016-11-10,30
2016-11-11,31
2016-11-12,17
2016-11-13,17
2016-11-14,30
2016-11-15,37
2016-11-16,15
2016-11-17,30
2016-11-18,39
2016-11-19,17
2016-11-20,17
2016-11-21,22
2016-11-22,20
2016-11-23,23
2016-11-24,15
2016-11-25,16
2016-11-26,17
2016-11-27,17
2016-11-28,15
2016-11-29,29
2016-11-30,15
2016-12-01,20
2016-12-02,21
2016-12-03,0
2016-12-04,0
2016-12-05,15
2016-12-06,30
2016-12-07,35
2016-12-08,56
2016-12-09,31
2016-12-10,0
2016-12-11,18
2016-12-12,29
2016-12-13,29
2016-12-14,37
2016-12-15,15
2016-12-16,32
2016-12-17,18
2016-12-18,18
2016-12-19,35
2016-12-20,46
2016-12-21,47
2016-12-22,16
2016-12-23,17
2016-12-24,0
2016-12-25,20
2016-12-26,0
2016-12-27,0
2016-12-28,24
2016-12-29,16
2016-12-30,25
2016-12-31,19
2017-01-01,0
2017-01-02,0
2017-01-03,15
2017-01-04,0
2017-01-05,30
2017-01-06,0
2017-01-07,25
2017-01-08,0
2017-01-09,14
2017-01-10,14
2017-01-11,14
2017-01-12,15
2017-01-13,30
2017-01-14,17
2017-01-15,0
2017-01-16,14
2017-01-17,15
2017-01-18,14
2017-01-19,36
2017-01-20,0
2017-01-21,0
2017-01-22,0
2017-01-23,33
2017-01-24,36
2017-01-25,24
2017-01-26,15
2017-01-27,0
2017-01-28,25
2017-01-29,0
2017-01-30,29
2017-01-31,29
2017-02-01,19
2017-02-02,22
2017-02-03,44
2017-02-04,17
2017-02-05,0
2017-02-06,21
2017-02-07,0
2017-02-08,29
2017-02-09,21
2017-02-10,30
2017-02-11,17
2017-02-12,0
2017-02-13,14
2017-02-14,22
2017-02-15,14
2017-02-16,29
2017-02-17,15
2017-02-18,17
2017-02-19,17
2017-02-20,22
2017-02-21,29
2017-02-22,100
2017-02-23,38
2017-02-24,53
2017-02-25,25
2017-02-26,0
2017-02-27,29
2017-02-28,24
2017-03-01,43
2017-03-02,14
2017-03-03,15
2017-03-04,0
2017-03-05,0
2017-03-06,35
2017-03-07,14
2017-03-08,23
2017-03-09,56
2017-03-10,15
2017-03-11,33
2017-03-12,0
2017-03-13,14
2017-03-14,28
2017-03-15,28
2017-03-16,38
2017-03-17,15
2017-03-18,16
2017-03-19,32
2017-03-20,28
2017-03-21,36
2017-03-22,19
2017-03-23,14
2017-03-24,15
2017-03-25,17
2017-03-26,0
2017-03-27,24
2017-03-28,14
2017-03-29,22
2017-03-30,0
2017-03-31,23
2017-04-01,17
