date,NCLH
2015-08-18,40
2015-08-19,49
2015-08-20,25
2015-08-21,43
2015-08-22,88
2015-08-23,29
2015-08-24,40
2015-08-25,24
2015-08-26,49
2015-08-27,49
2015-08-28,51
2015-08-29,30
2015-08-30,29
2015-08-31,24
2015-09-01,40
2015-09-02,32
2015-09-03,49
2015-09-04,34
2015-09-05,28
2015-09-06,28
2015-09-07,25
2015-09-08,24
2015-09-09,95
2015-09-10,84
2015-09-11,50
2015-09-12,0
2015-09-13,0
2015-09-14,47
2015-09-15,59
2015-09-16,47
2015-09-17,32
2015-09-18,62
2015-09-19,28
2015-09-20,0
2015-09-21,23
2015-09-22,47
2015-09-23,24
2015-09-24,24
2015-09-25,50
2015-09-26,0
2015-09-27,28
2015-09-28,46
2015-09-29,54
2015-09-30,23
2015-10-01,32
2015-10-02,25
2015-10-03,28
2015-10-04,27
2015-10-05,35
2015-10-06,47
2015-10-07,47
2015-10-08,35
2015-10-09,24
2015-10-10,0
2015-10-11,0
2015-10-12,47
2015-10-13,23
2015-10-14,47
2015-10-15,70
2015-10-16,0
2015-10-17,28
2015-10-18,0
2015-10-19,23
2015-10-20,23
2015-10-21,34
2015-10-22,47
2015-10-23,41
2015-10-24,0
2015-10-25,0
2015-10-26,0
2015-10-27,23
2015-10-28,45
2015-10-29,58
2015-10-30,24
2015-10-31,0
2015-11-01,0
2015-11-02,0
2015-11-03,61
2015-11-04,23
2015-11-05,46
2015-11-06,24
2015-11-07,27
2015-11-08,26
2015-11-09,23
2015-11-10,23
2015-11-11,24
2015-11-12,0
2015-11-13,24
2015-11-14,26
2015-11-15,0
2015-11-16,0
2015-11-17,46
2015-11-18,31
2015-11-19,35
2015-11-20,24
2015-11-21,27
2015-11-22,0
2015-11-23,0
2015-11-24,0
2015-11-25,23
2015-11-26,48
2015-11-27,0
2015-11-28,27
2015-11-29,26
2015-11-30,22
2015-12-01,0
2015-12-02,23
2015-12-03,23
2015-12-04,0
2015-12-05,0
2015-12-06,27
2015-12-07,46
2015-12-08,35
2015-12-09,68
2015-12-10,58
2015-12-11,36
2015-12-12,27
2015-12-13,26
2015-12-14,23
2015-12-15,59
2015-12-16,24
2015-12-17,49
2015-12-18,26
2015-12-19,0
2015-12-20,28
2015-12-21,74
2015-12-22,25
2015-12-23,26
2015-12-24,29
2015-12-25,0
2015-12-26,29
2015-12-27,0
2015-12-28,25
2015-12-29,25
2015-12-30,38
2015-12-31,28
2016-01-01,32
2016-01-02,0
2016-01-03,0
2016-01-04,23
2016-01-05,0
2016-01-06,24
2016-01-07,39
2016-01-08,48
2016-01-09,26
2016-01-10,0
2016-01-11,44
2016-01-12,22
2016-01-13,23
2016-01-14,34
2016-01-15,23
2016-01-16,26
2016-01-17,0
2016-01-18,22
2016-01-19,34
2016-01-20,22
2016-01-21,92
2016-01-22,58
2016-01-23,26
2016-01-24,26
2016-01-25,55
2016-01-26,0
2016-01-27,23
2016-01-28,0
2016-01-29,23
2016-01-30,0
2016-01-31,0
2016-02-01,28
2016-02-02,35
2016-02-03,32
2016-02-04,65
2016-02-05,45
2016-02-06,26
2016-02-07,0
2016-02-08,22
2016-02-09,22
2016-02-10,0
2016-02-11,33
2016-02-12,0
2016-02-13,0
2016-02-14,0
2016-02-15,33
2016-02-16,29
2016-02-17,22
2016-02-18,22
2016-02-19,22
2016-02-20,25
2016-02-21,50
2016-02-22,22
2016-02-23,100
2016-02-24,43
2016-02-25,54
2016-02-26,33
2016-02-27,49
2016-02-28,0
2016-02-29,21
2016-03-01,31
2016-03-02,32
2016-03-03,21
2016-03-04,22
2016-03-05,0
2016-03-06,24
2016-03-07,21
2016-03-08,32
2016-03-09,32
2016-03-10,0
2016-03-11,22
2016-03-12,0
2016-03-13,24
2016-03-14,21
2016-03-15,21
2016-03-16,21
2016-03-17,54
2016-03-18,37
2016-03-19,25
2016-03-20,25
2016-03-21,22
2016-03-22,21
2016-03-23,22
2016-03-24,34
2016-03-25,24
2016-03-26,0
2016-03-27,26
2016-03-28,22
2016-03-29,21
2016-03-30,22
2016-03-31,22
2016-04-01,0
2016-04-02,25
2016-04-03,25
2016-04-04,0
2016-04-05,42
2016-04-06,42
2016-04-07,0
2016-04-08,29
2016-04-09,0
2016-04-10,25
2016-04-11,35
2016-04-12,21
2016-04-13,29
2016-04-14,22
2016-04-15,22
2016-04-16,25
2016-04-17,0
2016-04-18,21
2016-04-19,21
2016-04-20,0
2016-04-21,66
2016-04-22,22
2016-04-23,0
2016-04-24,25
2016-04-25,21
2016-04-26,21
2016-04-27,0
2016-04-28,22
2016-04-29,22
2016-04-30,0
2016-05-01,0
2016-05-02,32
2016-05-03,21
2016-05-04,42
