date,online trading
2010-08-24,70
2010-08-25,75
2010-08-26,77
2010-08-27,73
2010-08-28,58
2010-08-29,59
2010-08-30,78
2010-08-31,74
2010-09-01,63
2010-09-02,78
2010-09-03,72
2010-09-04,59
2010-09-05,56
2010-09-06,68
2010-09-07,74
2010-09-08,78
2010-09-09,81
2010-09-10,61
2010-09-11,68
2010-09-12,54
2010-09-13,82
2010-09-14,78
2010-09-15,75
2010-09-16,74
2010-09-17,81
2010-09-18,62
2010-09-19,73
2010-09-20,79
2010-09-21,84
2010-09-22,78
2010-09-23,88
2010-09-24,99
2010-09-25,97
2010-09-26,79
2010-09-27,83
2010-09-28,83
2010-09-29,77
2010-09-30,78
2010-10-01,77
2010-10-02,66
2010-10-03,50
2010-10-04,93
2010-10-05,87
2010-10-06,81
2010-10-07,71
2010-10-08,75
2010-10-09,62
2010-10-10,71
2010-10-11,90
2010-10-12,74
2010-10-13,80
2010-10-14,85
2010-10-15,72
2010-10-16,61
2010-10-17,74
2010-10-18,85
2010-10-19,96
2010-10-20,92
2010-10-21,95
2010-10-22,82
2010-10-23,63
2010-10-24,65
2010-10-25,85
2010-10-26,71
2010-10-27,83
2010-10-28,78
2010-10-29,65
2010-10-30,72
2010-10-31,77
2010-11-01,82
2010-11-02,80
2010-11-03,79
2010-11-04,98
2010-11-05,74
2010-11-06,78
2010-11-07,75
2010-11-08,87
2010-11-09,84
2010-11-10,89
2010-11-11,97
2010-11-12,82
2010-11-13,77
2010-11-14,52
2010-11-15,90
2010-11-16,90
2010-11-17,70
2010-11-18,83
2010-11-19,74
2010-11-20,70
2010-11-21,79
2010-11-22,81
2010-11-23,83
2010-11-24,82
2010-11-25,85
2010-11-26,90
2010-11-27,59
2010-11-28,69
2010-11-29,88
2010-11-30,81
2010-12-01,76
2010-12-02,79
2010-12-03,70
2010-12-04,58
2010-12-05,67
2010-12-06,70
2010-12-07,73
2010-12-08,88
2010-12-09,77
2010-12-10,92
2010-12-11,74
2010-12-12,66
2010-12-13,92
2010-12-14,76
2010-12-15,75
2010-12-16,67
2010-12-17,70
2010-12-18,67
2010-12-19,54
2010-12-20,94
2010-12-21,71
2010-12-22,70
2010-12-23,77
2010-12-24,74
2010-12-25,57
2010-12-26,75
2010-12-27,90
2010-12-28,100
2010-12-29,95
2010-12-30,80
2010-12-31,76
2011-01-01,69
2011-01-02,60
2011-01-03,91
2011-01-04,92
2011-01-05,98
2011-01-06,80
2011-01-07,73
2011-01-08,71
2011-01-09,61
2011-01-10,81
2011-01-11,76
2011-01-12,83
2011-01-13,76
2011-01-14,70
2011-01-15,62
2011-01-16,55
2011-01-17,78
2011-01-18,81
2011-01-19,90
2011-01-20,82
2011-01-21,76
2011-01-22,68
2011-01-23,66
2011-01-24,80
2011-01-25,78
2011-01-26,59
2011-01-27,82
2011-01-28,75
2011-01-29,79
2011-01-30,73
2011-01-31,77
2011-02-01,69
2011-02-02,74
2011-02-03,71
2011-02-04,73
2011-02-05,56
2011-02-06,68
2011-02-07,71
2011-02-08,77
2011-02-09,80
2011-02-10,71
2011-02-11,75
2011-02-12,71
2011-02-13,64
2011-02-14,78
2011-02-15,76
2011-02-16,72
2011-02-17,80
2011-02-18,75
2011-02-19,70
2011-02-20,62
2011-02-21,63
2011-02-22,69
2011-02-23,74
2011-02-24,71
2011-02-25,67
2011-02-26,67
2011-02-27,60
2011-02-28,68
2011-03-01,70
2011-03-02,74
2011-03-03,75
2011-03-04,63
2011-03-05,63
2011-03-06,62
2011-03-07,77
2011-03-08,69
2011-03-09,71
2011-03-10,81
2011-03-11,72
2011-03-12,55
2011-03-13,61
2011-03-14,63
2011-03-15,63
2011-03-16,66
2011-03-17,66
2011-03-18,58
2011-03-19,54
2011-03-20,50
2011-03-21,86
2011-03-22,87
2011-03-23,58
2011-03-24,68
2011-03-25,71
2011-03-26,71
2011-03-27,66
2011-03-28,75
2011-03-29,76
2011-03-30,68
2011-03-31,63
2011-04-01,70
2011-04-02,59
2011-04-03,61
2011-04-04,68
2011-04-05,75
2011-04-06,76
2011-04-07,76
2011-04-08,67
2011-04-09,59
2011-04-10,70
2011-04-11,82
2011-04-12,73
2011-04-13,68
2011-04-14,74
2011-04-15,76
2011-04-16,60
2011-04-17,74
2011-04-18,78
2011-04-19,84
2011-04-20,75
2011-04-21,89
2011-04-22,66
2011-04-23,68
2011-04-24,79
2011-04-25,81
2011-04-26,75
2011-04-27,81
2011-04-28,78
2011-04-29,68
2011-04-30,68
2011-05-01,72
2011-05-02,74
2011-05-03,78
2011-05-04,69
2011-05-05,74
2011-05-06,67
2011-05-07,74
2011-05-08,75
2011-05-09,88
2011-05-10,80
2011-05-11,79
