date,online trading
2012-10-12,88
2012-10-13,56
2012-10-14,61
2012-10-15,69
2012-10-16,84
2012-10-17,71
2012-10-18,74
2012-10-19,76
2012-10-20,65
2012-10-21,73
2012-10-22,68
2012-10-23,74
2012-10-24,81
2012-10-25,71
2012-10-26,73
2012-10-27,65
2012-10-28,58
2012-10-29,69
2012-10-30,59
2012-10-31,77
2012-11-01,63
2012-11-02,62
2012-11-03,68
2012-11-04,54
2012-11-05,80
2012-11-06,68
2012-11-07,73
2012-11-08,68
2012-11-09,64
2012-11-10,68
2012-11-11,68
2012-11-12,76
2012-11-13,56
2012-11-14,65
2012-11-15,72
2012-11-16,78
2012-11-17,64
2012-11-18,75
2012-11-19,67
2012-11-20,66
2012-11-21,72
2012-11-22,67
2012-11-23,81
2012-11-24,65
2012-11-25,70
2012-11-26,73
2012-11-27,79
2012-11-28,73
2012-11-29,73
2012-11-30,76
2012-12-01,63
2012-12-02,53
2012-12-03,68
2012-12-04,76
2012-12-05,71
2012-12-06,74
2012-12-07,76
2012-12-08,68
2012-12-09,72
2012-12-10,77
2012-12-11,96
2012-12-12,75
2012-12-13,73
2012-12-14,68
2012-12-15,68
2012-12-16,65
2012-12-17,71
2012-12-18,71
2012-12-19,80
2012-12-20,70
2012-12-21,68
2012-12-22,55
2012-12-23,83
2012-12-24,85
2012-12-25,75
2012-12-26,96
2012-12-27,88
2012-12-28,89
2012-12-29,57
2012-12-30,75
2012-12-31,89
2013-01-01,82
2013-01-02,81
2013-01-03,95
2013-01-04,100
2013-01-05,80
2013-01-06,56
2013-01-07,86
2013-01-08,82
2013-01-09,72
2013-01-10,79
2013-01-11,75
2013-01-12,71
2013-01-13,66
2013-01-14,77
2013-01-15,87
2013-01-16,83
2013-01-17,92
2013-01-18,89
2013-01-19,72
2013-01-20,64
2013-01-21,86
2013-01-22,75
2013-01-23,70
2013-01-24,76
2013-01-25,73
2013-01-26,78
2013-01-27,57
2013-01-28,75
2013-01-29,77
2013-01-30,84
2013-01-31,74
2013-02-01,85
2013-02-02,75
2013-02-03,68
2013-02-04,71
2013-02-05,87
2013-02-06,86
2013-02-07,79
2013-02-08,79
2013-02-09,68
2013-02-10,86
2013-02-11,70
2013-02-12,67
2013-02-13,82
2013-02-14,77
2013-02-15,71
2013-02-16,70
2013-02-17,63
2013-02-18,82
2013-02-19,70
2013-02-20,77
2013-02-21,74
2013-02-22,66
2013-02-23,69
2013-02-24,72
2013-02-25,76
2013-02-26,72
2013-02-27,81
2013-02-28,83
2013-03-01,77
2013-03-02,73
2013-03-03,70
2013-03-04,72
2013-03-05,78
2013-03-06,82
2013-03-07,74
2013-03-08,76
2013-03-09,63
2013-03-10,71
2013-03-11,95
2013-03-12,76
2013-03-13,85
2013-03-14,72
2013-03-15,81
2013-03-16,61
2013-03-17,64
2013-03-18,75
2013-03-19,69
2013-03-20,76
2013-03-21,58
2013-03-22,72
2013-03-23,82
2013-03-24,78
2013-03-25,90
2013-03-26,94
2013-03-27,75
2013-03-28,83
2013-03-29,72
2013-03-30,68
2013-03-31,81
2013-04-01,82
2013-04-02,78
2013-04-03,88
2013-04-04,69
2013-04-05,92
2013-04-06,68
2013-04-07,69
2013-04-08,78
2013-04-09,77
2013-04-10,89
2013-04-11,79
2013-04-12,71
2013-04-13,80
2013-04-14,69
2013-04-15,76
2013-04-16,82
2013-04-17,88
2013-04-18,73
2013-04-19,77
2013-04-20,62
2013-04-21,63
2013-04-22,62
2013-04-23,68
2013-04-24,91
2013-04-25,76
2013-04-26,72
2013-04-27,74
2013-04-28,67
2013-04-29,84
2013-04-30,84
2013-05-01,65
2013-05-02,66
2013-05-03,70
2013-05-04,76
2013-05-05,67
2013-05-06,98
2013-05-07,66
2013-05-08,75
2013-05-09,77
2013-05-10,76
2013-05-11,74
2013-05-12,64
2013-05-13,78
2013-05-14,75
2013-05-15,87
2013-05-16,87
2013-05-17,72
2013-05-18,78
2013-05-19,80
2013-05-20,85
2013-05-21,82
2013-05-22,73
2013-05-23,87
2013-05-24,75
2013-05-25,60
2013-05-26,64
2013-05-27,74
2013-05-28,83
2013-05-29,82
2013-05-30,82
2013-05-31,63
2013-06-01,68
2013-06-02,62
2013-06-03,84
2013-06-04,80
2013-06-05,80
2013-06-06,82
2013-06-07,75
2013-06-08,74
2013-06-09,66
2013-06-10,67
2013-06-11,70
2013-06-12,69
2013-06-13,84
2013-06-14,71
2013-06-15,72
2013-06-16,50
2013-06-17,65
2013-06-18,72
2013-06-19,64
2013-06-20,69
2013-06-21,71
2013-06-22,69
2013-06-23,66
2013-06-24,71
2013-06-25,69
2013-06-26,70
2013-06-27,80
2013-06-28,83
2013-06-29,70
