date,online trading
2015-12-26,73
2015-12-27,60
2015-12-28,75
2015-12-29,79
2015-12-30,72
2015-12-31,73
2016-01-01,74
2016-01-02,54
2016-01-03,56
2016-01-04,100
2016-01-05,94
2016-01-06,88
2016-01-07,77
2016-01-08,84
2016-01-09,63
2016-01-10,59
2016-01-11,70
2016-01-12,78
2016-01-13,82
2016-01-14,71
2016-01-15,81
2016-01-16,65
2016-01-17,60
2016-01-18,83
2016-01-19,82
2016-01-20,82
2016-01-21,78
2016-01-22,76
2016-01-23,66
2016-01-24,64
2016-01-25,74
2016-01-26,62
2016-01-27,73
2016-01-28,80
2016-01-29,59
2016-01-30,72
2016-01-31,63
2016-02-01,78
2016-02-02,60
2016-02-03,78
2016-02-04,70
2016-02-05,75
2016-02-06,65
2016-02-07,56
2016-02-08,72
2016-02-09,69
2016-02-10,71
2016-02-11,74
2016-02-12,82
2016-02-13,72
2016-02-14,64
2016-02-15,89
2016-02-16,74
2016-02-17,83
2016-02-18,71
2016-02-19,78
2016-02-20,57
2016-02-21,71
2016-02-22,72
2016-02-23,74
2016-02-24,67
2016-02-25,71
2016-02-26,71
2016-02-27,61
2016-02-28,73
2016-02-29,67
2016-03-01,69
2016-03-02,72
2016-03-03,83
2016-03-04,80
2016-03-05,63
2016-03-06,63
2016-03-07,74
2016-03-08,77
2016-03-09,69
2016-03-10,73
2016-03-11,78
2016-03-12,63
2016-03-13,65
2016-03-14,74
2016-03-15,76
2016-03-16,75
2016-03-17,75
2016-03-18,76
2016-03-19,65
2016-03-20,58
2016-03-21,79
2016-03-22,62
2016-03-23,72
2016-03-24,69
2016-03-25,62
2016-03-26,65
2016-03-27,61
2016-03-28,66
2016-03-29,64
2016-03-30,69
2016-03-31,65
2016-04-01,72
2016-04-02,52
2016-04-03,59
2016-04-04,73
2016-04-05,65
2016-04-06,73
2016-04-07,67
2016-04-08,65
2016-04-09,60
2016-04-10,65
2016-04-11,71
2016-04-12,80
2016-04-13,65
2016-04-14,70
2016-04-15,67
2016-04-16,60
2016-04-17,65
2016-04-18,83
2016-04-19,78
2016-04-20,77
2016-04-21,71
2016-04-22,70
2016-04-23,69
2016-04-24,66
2016-04-25,68
2016-04-26,85
2016-04-27,73
2016-04-28,67
2016-04-29,75
2016-04-30,63
2016-05-01,70
2016-05-02,79
2016-05-03,73
2016-05-04,62
2016-05-05,60
2016-05-06,55
2016-05-07,58
2016-05-08,54
2016-05-09,69
2016-05-10,65
2016-05-11,65
2016-05-12,70
2016-05-13,67
2016-05-14,60
2016-05-15,66
2016-05-16,67
2016-05-17,70
2016-05-18,68
2016-05-19,68
2016-05-20,73
2016-05-21,65
2016-05-22,50
2016-05-23,68
2016-05-24,76
2016-05-25,73
2016-05-26,68
2016-05-27,73
2016-05-28,61
2016-05-29,46
2016-05-30,66
2016-05-31,75
2016-06-01,70
2016-06-02,73
2016-06-03,76
2016-06-04,57
2016-06-05,65
2016-06-06,68
2016-06-07,81
2016-06-08,81
2016-06-09,74
2016-06-10,71
2016-06-11,62
2016-06-12,69
2016-06-13,69
2016-06-14,67
2016-06-15,63
2016-06-16,62
2016-06-17,63
2016-06-18,59
2016-06-19,58
2016-06-20,76
2016-06-21,67
2016-06-22,77
2016-06-23,69
2016-06-24,97
2016-06-25,67
2016-06-26,68
2016-06-27,93
2016-06-28,81
2016-06-29,69
2016-06-30,75
2016-07-01,77
2016-07-02,68
2016-07-03,69
2016-07-04,89
2016-07-05,71
2016-07-06,70
2016-07-07,66
2016-07-08,71
2016-07-09,72
2016-07-10,63
2016-07-11,86
2016-07-12,81
2016-07-13,75
2016-07-14,86
2016-07-15,76
2016-07-16,71
2016-07-17,78
2016-07-18,86
2016-07-19,87
2016-07-20,81
2016-07-21,87
2016-07-22,70
2016-07-23,67
2016-07-24,69
2016-07-25,89
2016-07-26,83
2016-07-27,78
2016-07-28,85
2016-07-29,66
2016-07-30,76
2016-07-31,78
2016-08-01,85
2016-08-02,86
2016-08-03,92
2016-08-04,90
2016-08-05,74
2016-08-06,75
2016-08-07,75
2016-08-08,80
2016-08-09,79
2016-08-10,80
2016-08-11,72
2016-08-12,64
2016-08-13,83
2016-08-14,72
2016-08-15,67
2016-08-16,82
2016-08-17,80
2016-08-18,90
2016-08-19,76
2016-08-20,68
2016-08-21,72
2016-08-22,90
2016-08-23,85
2016-08-24,89
2016-08-25,80
2016-08-26,72
2016-08-27,67
2016-08-28,73
2016-08-29,84
2016-08-30,80
2016-08-31,81
2016-09-01,68
2016-09-02,74
2016-09-03,79
2016-09-04,59
2016-09-05,68
2016-09-06,70
2016-09-07,61
2016-09-08,75
2016-09-09,80
2016-09-10,80
2016-09-11,57
