date,NXPI
2012-01-26,37
2012-01-27,38
2012-01-28,44
2012-01-29,0
2012-01-30,18
2012-01-31,36
2012-02-01,29
2012-02-02,18
2012-02-03,37
2012-02-04,0
2012-02-05,14
2012-02-06,18
2012-02-07,29
2012-02-08,24
2012-02-09,36
2012-02-10,37
2012-02-11,21
2012-02-12,0
2012-02-13,23
2012-02-14,24
2012-02-15,36
2012-02-16,48
2012-02-17,38
2012-02-18,14
2012-02-19,43
2012-02-20,31
2012-02-21,30
2012-02-22,30
2012-02-23,12
2012-02-24,24
2012-02-25,29
2012-02-26,14
2012-02-27,18
2012-02-28,35
2012-02-29,35
2012-03-01,19
2012-03-02,39
2012-03-03,15
2012-03-04,15
2012-03-05,12
2012-03-06,29
2012-03-07,29
2012-03-08,24
2012-03-09,25
2012-03-10,14
2012-03-11,0
2012-03-12,23
2012-03-13,17
2012-03-14,29
2012-03-15,48
2012-03-16,31
2012-03-17,29
2012-03-18,0
2012-03-19,12
2012-03-20,23
2012-03-21,24
2012-03-22,24
2012-03-23,31
2012-03-24,44
2012-03-25,36
2012-03-26,65
2012-03-27,24
2012-03-28,24
2012-03-29,24
2012-03-30,38
2012-03-31,0
2012-04-01,0
2012-04-02,48
2012-04-03,60
2012-04-04,37
2012-04-05,25
2012-04-06,35
2012-04-07,30
2012-04-08,15
2012-04-09,21
2012-04-10,37
2012-04-11,18
2012-04-12,36
2012-04-13,37
2012-04-14,0
2012-04-15,0
2012-04-16,12
2012-04-17,29
2012-04-18,12
2012-04-19,23
2012-04-20,12
2012-04-21,56
2012-04-22,28
2012-04-23,64
2012-04-24,58
2012-04-25,35
2012-04-26,53
2012-04-27,50
2012-04-28,22
2012-04-29,15
2012-04-30,25
2012-05-01,58
2012-05-02,12
2012-05-03,12
2012-05-04,12
2012-05-05,14
2012-05-06,14
2012-05-07,29
2012-05-08,23
2012-05-09,23
2012-05-10,18
2012-05-11,31
2012-05-12,14
2012-05-13,0
2012-05-14,12
2012-05-15,17
2012-05-16,46
2012-05-17,18
2012-05-18,43
2012-05-19,0
2012-05-20,14
2012-05-21,34
2012-05-22,11
2012-05-23,29
2012-05-24,12
2012-05-25,12
2012-05-26,30
2012-05-27,30
2012-05-28,12
2012-05-29,45
2012-05-30,12
2012-05-31,29
2012-06-01,37
2012-06-02,15
2012-06-03,28
2012-06-04,34
2012-06-05,34
2012-06-06,23
2012-06-07,12
2012-06-08,37
2012-06-09,21
2012-06-10,14
2012-06-11,11
2012-06-12,34
2012-06-13,12
2012-06-14,24
2012-06-15,25
2012-06-16,14
2012-06-17,0
2012-06-18,23
2012-06-19,11
2012-06-20,23
2012-06-21,41
2012-06-22,12
2012-06-23,15
2012-06-24,29
2012-06-25,29
2012-06-26,40
2012-06-27,23
2012-06-28,24
2012-06-29,56
2012-06-30,15
2012-07-01,29
2012-07-02,35
2012-07-03,12
2012-07-04,12
2012-07-05,30
2012-07-06,12
2012-07-07,0
2012-07-08,29
2012-07-09,23
2012-07-10,46
2012-07-11,23
2012-07-12,36
2012-07-13,37
2012-07-14,0
2012-07-15,0
2012-07-16,23
2012-07-17,35
2012-07-18,12
2012-07-19,30
2012-07-20,12
2012-07-21,30
2012-07-22,15
2012-07-23,41
2012-07-24,100
2012-07-25,36
2012-07-26,36
2012-07-27,31
2012-07-28,15
2012-07-29,0
2012-07-30,23
2012-07-31,35
2012-08-01,18
2012-08-02,18
2012-08-03,25
2012-08-04,15
2012-08-05,0
2012-08-06,23
2012-08-07,47
2012-08-08,24
2012-08-09,24
2012-08-10,44
2012-08-11,29
2012-08-12,15
2012-08-13,18
2012-08-14,29
2012-08-15,49
2012-08-16,30
2012-08-17,25
2012-08-18,30
2012-08-19,30
2012-08-20,49
2012-08-21,41
2012-08-22,18
2012-08-23,66
2012-08-24,37
2012-08-25,42
2012-08-26,14
2012-08-27,29
2012-08-28,46
2012-08-29,17
2012-08-30,29
2012-08-31,18
2012-09-01,56
2012-09-02,14
2012-09-03,18
2012-09-04,17
2012-09-05,68
2012-09-06,52
2012-09-07,61
2012-09-08,49
2012-09-09,21
2012-09-10,22
2012-09-11,33
2012-09-12,50
2012-09-13,56
2012-09-14,30
2012-09-15,28
2012-09-16,14
2012-09-17,39
2012-09-18,17
2012-09-19,11
2012-09-20,0
2012-09-21,12
2012-09-22,14
2012-09-23,27
2012-09-24,33
2012-09-25,11
2012-09-26,28
2012-09-27,28
2012-09-28,30
2012-09-29,0
2012-09-30,0
2012-10-01,17
2012-10-02,50
2012-10-03,17
2012-10-04,11
2012-10-05,45
2012-10-06,26
2012-10-07,0
2012-10-08,16
2012-10-09,16
2012-10-10,11
2012-10-11,16
2012-10-12,0
