date,NXPI
2013-02-19,15
2013-02-20,30
2013-02-21,15
2013-02-22,0
2013-02-23,0
2013-02-24,0
2013-02-25,22
2013-02-26,29
2013-02-27,44
2013-02-28,38
2013-03-01,46
2013-03-02,0
2013-03-03,0
2013-03-04,29
2013-03-05,22
2013-03-06,15
2013-03-07,15
2013-03-08,39
2013-03-09,0
2013-03-10,17
2013-03-11,14
2013-03-12,100
2013-03-13,43
2013-03-14,14
2013-03-15,30
2013-03-16,0
2013-03-17,0
2013-03-18,22
2013-03-19,29
2013-03-20,36
2013-03-21,15
2013-03-22,15
2013-03-23,34
2013-03-24,17
2013-03-25,15
2013-03-26,15
2013-03-27,15
2013-03-28,16
2013-03-29,17
2013-03-30,0
2013-03-31,0
2013-04-01,23
2013-04-02,43
2013-04-03,14
2013-04-04,29
2013-04-05,15
2013-04-06,17
2013-04-07,0
2013-04-08,43
2013-04-09,22
2013-04-10,36
2013-04-11,15
2013-04-12,0
2013-04-13,0
2013-04-14,0
2013-04-15,29
2013-04-16,22
2013-04-17,44
2013-04-18,22
2013-04-19,38
2013-04-20,17
2013-04-21,17
2013-04-22,43
2013-04-23,79
2013-04-24,15
2013-04-25,37
2013-04-26,15
2013-04-27,0
2013-04-28,0
2013-04-29,22
2013-04-30,37
2013-05-01,47
2013-05-02,15
2013-05-03,0
2013-05-04,18
2013-05-05,36
2013-05-06,15
2013-05-07,29
2013-05-08,52
2013-05-09,23
2013-05-10,15
2013-05-11,18
2013-05-12,18
2013-05-13,29
2013-05-14,0
2013-05-15,50
2013-05-16,37
2013-05-17,30
2013-05-18,17
2013-05-19,17
2013-05-20,14
2013-05-21,21
2013-05-22,57
2013-05-23,22
2013-05-24,23
2013-05-25,0
2013-05-26,17
2013-05-27,15
2013-05-28,14
2013-05-29,14
2013-05-30,44
2013-05-31,15
2013-06-01,17
2013-06-02,17
2013-06-03,28
2013-06-04,0
2013-06-05,22
2013-06-06,22
2013-06-07,23
2013-06-08,0
2013-06-09,0
2013-06-10,35
2013-06-11,42
2013-06-12,28
2013-06-13,0
2013-06-14,15
2013-06-15,0
2013-06-16,36
2013-06-17,14
2013-06-18,14
2013-06-19,14
2013-06-20,14
2013-06-21,38
2013-06-22,0
2013-06-23,18
2013-06-24,0
2013-06-25,14
2013-06-26,43
2013-06-27,15
2013-06-28,45
2013-06-29,0
2013-06-30,0
2013-07-01,22
2013-07-02,15
2013-07-03,44
2013-07-04,15
2013-07-05,16
2013-07-06,0
2013-07-07,0
2013-07-08,15
2013-07-09,15
2013-07-10,15
2013-07-11,0
2013-07-12,15
2013-07-13,0
2013-07-14,0
2013-07-15,15
2013-07-16,22
2013-07-17,22
2013-07-18,59
2013-07-19,31
2013-07-20,0
2013-07-21,18
2013-07-22,58
2013-07-23,44
2013-07-24,37
2013-07-25,22
2013-07-26,39
2013-07-27,18
2013-07-28,0
2013-07-29,14
2013-07-30,22
2013-07-31,60
2013-08-01,90
2013-08-02,31
2013-08-03,18
2013-08-04,0
2013-08-05,15
2013-08-06,29
2013-08-07,22
2013-08-08,0
2013-08-09,47
2013-08-10,18
2013-08-11,18
2013-08-12,15
2013-08-13,29
2013-08-14,22
2013-08-15,46
2013-08-16,23
2013-08-17,0
2013-08-18,17
2013-08-19,29
2013-08-20,14
2013-08-21,14
2013-08-22,44
2013-08-23,15
2013-08-24,0
2013-08-25,17
2013-08-26,14
2013-08-27,14
2013-08-28,43
2013-08-29,14
2013-08-30,45
2013-08-31,17
2013-09-01,17
2013-09-02,14
2013-09-03,21
2013-09-04,14
2013-09-05,35
2013-09-06,29
2013-09-07,25
2013-09-08,0
2013-09-09,14
2013-09-10,27
2013-09-11,21
2013-09-12,28
2013-09-13,29
2013-09-14,17
2013-09-15,0
2013-09-16,69
2013-09-17,41
2013-09-18,28
2013-09-19,28
2013-09-20,44
2013-09-21,16
2013-09-22,0
2013-09-23,14
2013-09-24,14
2013-09-25,14
2013-09-26,28
2013-09-27,15
2013-09-28,0
2013-09-29,0
2013-09-30,14
2013-10-01,14
2013-10-02,28
2013-10-03,14
2013-10-04,29
2013-10-05,16
2013-10-06,16
2013-10-07,27
2013-10-08,28
2013-10-09,0
2013-10-10,49
2013-10-11,43
2013-10-12,0
2013-10-13,0
2013-10-14,35
2013-10-15,21
2013-10-16,28
2013-10-17,21
2013-10-18,15
2013-10-19,16
2013-10-20,16
2013-10-21,34
2013-10-22,54
2013-10-23,81
2013-10-24,89
2013-10-25,57
2013-10-26,24
2013-10-27,0
2013-10-28,40
2013-10-29,100
2013-10-30,55
2013-10-31,56
2013-11-01,89
2013-11-02,16
2013-11-03,16
2013-11-04,61
2013-11-05,47
2013-11-06,27
