date,NXPI
2016-05-04,10
2016-05-05,10
2016-05-06,10
2016-05-07,5
2016-05-08,2
2016-05-09,14
2016-05-10,15
2016-05-11,10
2016-05-12,10
2016-05-13,5
2016-05-14,6
2016-05-15,6
2016-05-16,12
2016-05-17,17
2016-05-18,14
2016-05-19,12
2016-05-20,10
2016-05-21,5
2016-05-22,4
2016-05-23,8
2016-05-24,12
2016-05-25,16
2016-05-26,14
2016-05-27,8
2016-05-28,7
2016-05-29,4
2016-05-30,3
2016-05-31,8
2016-06-01,16
2016-06-02,15
2016-06-03,14
2016-06-04,10
2016-06-05,5
2016-06-06,13
2016-06-07,11
2016-06-08,13
2016-06-09,15
2016-06-10,11
2016-06-11,3
2016-06-12,3
2016-06-13,10
2016-06-14,18
2016-06-15,16
2016-06-16,13
2016-06-17,10
2016-06-18,5
2016-06-19,0
2016-06-20,11
2016-06-21,12
2016-06-22,11
2016-06-23,8
2016-06-24,26
2016-06-25,6
2016-06-26,2
2016-06-27,23
2016-06-28,24
2016-06-29,23
2016-06-30,11
2016-07-01,21
2016-07-02,11
2016-07-03,6
2016-07-04,4
2016-07-05,8
2016-07-06,8
2016-07-07,6
2016-07-08,16
2016-07-09,4
2016-07-10,3
2016-07-11,6
2016-07-12,10
2016-07-13,16
2016-07-14,15
2016-07-15,13
2016-07-16,2
2016-07-17,2
2016-07-18,15
2016-07-19,10
2016-07-20,8
2016-07-21,13
2016-07-22,9
2016-07-23,6
2016-07-24,6
2016-07-25,18
2016-07-26,20
2016-07-27,39
2016-07-28,43
2016-07-29,18
2016-07-30,6
2016-07-31,2
2016-08-01,11
2016-08-02,15
2016-08-03,13
2016-08-04,13
2016-08-05,8
2016-08-06,5
2016-08-07,2
2016-08-08,7
2016-08-09,11
2016-08-10,9
2016-08-11,10
2016-08-12,8
2016-08-13,6
2016-08-14,2
2016-08-15,13
2016-08-16,7
2016-08-17,5
2016-08-18,7
2016-08-19,7
2016-08-20,5
2016-08-21,2
2016-08-22,9
2016-08-23,16
2016-08-24,7
2016-08-25,7
2016-08-26,8
2016-08-27,4
2016-08-28,3
2016-08-29,5
2016-08-30,11
2016-08-31,9
2016-09-01,15
2016-09-02,12
2016-09-03,5
2016-09-04,3
2016-09-05,3
2016-09-06,10
2016-09-07,14
2016-09-08,14
2016-09-09,13
2016-09-10,5
2016-09-11,2
2016-09-12,12
2016-09-13,14
2016-09-14,11
2016-09-15,10
2016-09-16,13
2016-09-17,4
2016-09-18,1
2016-09-19,13
2016-09-20,9
2016-09-21,18
2016-09-22,11
2016-09-23,4
2016-09-24,5
2016-09-25,7
2016-09-26,5
2016-09-27,8
2016-09-28,13
2016-09-29,74
2016-09-30,100
2016-10-01,17
2016-10-02,10
2016-10-03,36
2016-10-04,34
2016-10-05,26
2016-10-06,35
2016-10-07,20
2016-10-08,11
2016-10-09,7
2016-10-10,20
2016-10-11,16
2016-10-12,23
2016-10-13,15
2016-10-14,15
2016-10-15,6
2016-10-16,7
2016-10-17,11
2016-10-18,18
2016-10-19,16
2016-10-20,23
2016-10-21,49
2016-10-22,18
2016-10-23,9
2016-10-24,24
2016-10-25,27
2016-10-26,43
2016-10-27,96
2016-10-28,35
2016-10-29,11
2016-10-30,4
2016-10-31,19
2016-11-01,12
2016-11-02,9
2016-11-03,14
2016-11-04,9
2016-11-05,6
2016-11-06,4
2016-11-07,10
2016-11-08,4
2016-11-09,15
2016-11-10,14
2016-11-11,8
2016-11-12,3
2016-11-13,2
2016-11-14,12
2016-11-15,11
2016-11-16,11
2016-11-17,9
2016-11-18,12
2016-11-19,4
2016-11-20,1
2016-11-21,7
2016-11-22,10
2016-11-23,9
2016-11-24,8
2016-11-25,6
2016-11-26,3
2016-11-27,2
2016-11-28,6
2016-11-29,7
2016-11-30,12
2016-12-01,7
2016-12-02,6
2016-12-03,3
2016-12-04,3
2016-12-05,12
2016-12-06,9
2016-12-07,7
2016-12-08,6
2016-12-09,5
2016-12-10,5
2016-12-11,2
2016-12-12,7
2016-12-13,9
2016-12-14,6
2016-12-15,9
2016-12-16,5
2016-12-17,4
2016-12-18,1
2016-12-19,2
2016-12-20,10
2016-12-21,9
2016-12-22,5
2016-12-23,5
2016-12-24,5
2016-12-25,3
2016-12-26,1
2016-12-27,11
2016-12-28,7
2016-12-29,5
2016-12-30,6
2016-12-31,2
2017-01-01,4
2017-01-02,4
2017-01-03,6
2017-01-04,2
2017-01-05,12
2017-01-06,10
2017-01-07,2
2017-01-08,3
2017-01-09,6
2017-01-10,7
2017-01-11,7
2017-01-12,6
2017-01-13,6
2017-01-14,6
2017-01-15,3
2017-01-16,2
2017-01-17,7
2017-01-18,5
2017-01-19,9
