date,NXPI
2017-01-19,47
2017-01-20,20
2017-01-21,19
2017-01-22,14
2017-01-23,31
2017-01-24,33
2017-01-25,33
2017-01-26,41
2017-01-27,57
2017-01-28,28
2017-01-29,8
2017-01-30,57
2017-01-31,31
2017-02-01,61
2017-02-02,100
2017-02-03,49
2017-02-04,11
2017-02-05,13
2017-02-06,37
2017-02-07,40
2017-02-08,49
2017-02-09,47
2017-02-10,32
2017-02-11,19
2017-02-12,16
2017-02-13,19
2017-02-14,26
2017-02-15,24
2017-02-16,24
2017-02-17,44
2017-02-18,11
2017-02-19,16
2017-02-20,16
2017-02-21,35
2017-02-22,16
2017-02-23,33
2017-02-24,22
2017-02-25,14
2017-02-26,8
2017-02-27,33
2017-02-28,45
2017-03-01,21
2017-03-02,49
2017-03-03,19
2017-03-04,13
2017-03-05,13
2017-03-06,23
2017-03-07,35
2017-03-08,35
2017-03-09,33
2017-03-10,29
2017-03-11,11
2017-03-12,5
2017-03-13,26
2017-03-14,30
2017-03-15,42
2017-03-16,14
2017-03-17,24
2017-03-18,27
2017-03-19,0
2017-03-20,19
2017-03-21,23
2017-03-22,14
2017-03-23,21
2017-03-24,15
2017-03-25,17
2017-03-26,5
2017-03-27,12
2017-03-28,26
2017-03-29,12
2017-03-30,14
2017-03-31,20
2017-04-01,8
