date,NXPI
2016-09-11,2
2016-09-12,12
2016-09-13,10
2016-09-14,12
2016-09-15,8
2016-09-16,11
2016-09-17,2
2016-09-18,3
2016-09-19,10
2016-09-20,9
2016-09-21,12
2016-09-22,10
2016-09-23,8
2016-09-24,3
2016-09-25,3
2016-09-26,7
2016-09-27,10
2016-09-28,6
2016-09-29,71
2016-09-30,98
2016-10-01,23
2016-10-02,11
2016-10-03,36
2016-10-04,35
2016-10-05,30
2016-10-06,31
2016-10-07,27
2016-10-08,11
2016-10-09,7
2016-10-10,23
2016-10-11,23
2016-10-12,21
2016-10-13,17
2016-10-14,17
2016-10-15,5
2016-10-16,6
2016-10-17,12
2016-10-18,19
2016-10-19,17
2016-10-20,27
2016-10-21,44
2016-10-22,10
2016-10-23,11
2016-10-24,22
2016-10-25,31
2016-10-26,57
2016-10-27,100
2016-10-28,32
2016-10-29,12
2016-10-30,7
2016-10-31,20
2016-11-01,15
2016-11-02,12
2016-11-03,14
2016-11-04,16
2016-11-05,5
2016-11-06,3
2016-11-07,13
2016-11-08,9
2016-11-09,19
2016-11-10,11
2016-11-11,7
2016-11-12,4
2016-11-13,5
2016-11-14,12
2016-11-15,9
2016-11-16,12
2016-11-17,9
2016-11-18,10
2016-11-19,2
2016-11-20,7
2016-11-21,10
2016-11-22,9
2016-11-23,9
2016-11-24,8
2016-11-25,8
2016-11-26,4
2016-11-27,4
2016-11-28,7
2016-11-29,8
2016-11-30,12
2016-12-01,10
2016-12-02,9
2016-12-03,3
2016-12-04,2
2016-12-05,12
2016-12-06,9
2016-12-07,7
2016-12-08,7
2016-12-09,7
2016-12-10,4
2016-12-11,3
2016-12-12,9
2016-12-13,10
2016-12-14,7
2016-12-15,7
2016-12-16,9
2016-12-17,4
2016-12-18,2
2016-12-19,7
2016-12-20,9
2016-12-21,6
2016-12-22,7
2016-12-23,6
2016-12-24,6
2016-12-25,2
2016-12-26,2
2016-12-27,11
2016-12-28,8
2016-12-29,5
2016-12-30,7
2016-12-31,4
2017-01-01,3
2017-01-02,3
2017-01-03,8
2017-01-04,6
2017-01-05,10
2017-01-06,9
2017-01-07,4
2017-01-08,3
2017-01-09,7
2017-01-10,6
2017-01-11,9
2017-01-12,5
2017-01-13,9
2017-01-14,8
2017-01-15,5
2017-01-16,9
2017-01-17,11
2017-01-18,6
2017-01-19,7
2017-01-20,5
2017-01-21,4
2017-01-22,3
2017-01-23,13
2017-01-24,14
2017-01-25,8
2017-01-26,9
2017-01-27,15
2017-01-28,4
2017-01-29,2
2017-01-30,10
2017-01-31,9
2017-02-01,15
2017-02-02,24
2017-02-03,15
2017-02-04,5
2017-02-05,4
2017-02-06,17
2017-02-07,12
2017-02-08,16
2017-02-09,10
2017-02-10,11
2017-02-11,5
2017-02-12,3
2017-02-13,5
2017-02-14,8
2017-02-15,12
2017-02-16,5
2017-02-17,8
2017-02-18,5
2017-02-19,3
2017-02-20,4
2017-02-21,10
2017-02-22,6
2017-02-23,8
2017-02-24,6
2017-02-25,2
2017-02-26,5
2017-02-27,6
2017-02-28,7
2017-03-01,7
2017-03-02,10
2017-03-03,6
2017-03-04,4
2017-03-05,3
2017-03-06,9
2017-03-07,9
2017-03-08,7
2017-03-09,6
2017-03-10,7
2017-03-11,4
2017-03-12,1
2017-03-13,9
2017-03-14,7
2017-03-15,7
2017-03-16,5
2017-03-17,9
2017-03-18,4
2017-03-19,3
2017-03-20,6
2017-03-21,8
2017-03-22,3
2017-03-23,6
2017-03-24,3
2017-03-25,3
2017-03-26,2
2017-03-27,6
2017-03-28,5
2017-03-29,3
2017-03-30,4
2017-03-31,4
2017-04-01,2
