date,AMZN,isPartial
2011-01-01,9,False
2011-01-02,8,False
2011-01-03,20,False
2011-01-04,17,False
2011-01-05,21,False
2011-01-06,17,False
2011-01-07,22,False
2011-01-08,15,False
2011-01-09,10,False
2011-01-10,14,False
2011-01-11,22,False
2011-01-12,22,False
2011-01-13,14,False
2011-01-14,19,False
2011-01-15,5,False
2011-01-16,22,False
2011-01-17,16,False
2011-01-18,22,False
2011-01-19,30,False
2011-01-20,24,False
2011-01-21,31,False
2011-01-22,5,False
2011-01-23,5,False
2011-01-24,22,False
2011-01-25,30,False
2011-01-26,28,False
2011-01-27,85,False
2011-01-28,100,False
2011-01-29,17,False
2011-01-30,9,False
2011-01-31,36,False
2011-02-01,32,False
2011-02-02,25,False
2011-02-03,22,False
2011-02-04,33,False
2011-02-05,10,False
2011-02-06,2,False
2011-02-07,17,False
2011-02-08,33,False
2011-02-09,29,False
2011-02-10,44,False
2011-02-11,31,False
2011-02-12,12,False
2011-02-13,14,False
2011-02-14,18,False
2011-02-15,27,False
2011-02-16,29,False
2011-02-17,22,False
2011-02-18,25,False
2011-02-19,10,False
2011-02-20,7,False
2011-02-21,12,False
2011-02-22,21,False
2011-02-23,28,False
2011-02-24,12,False
2011-02-25,21,False
2011-02-26,24,False
2011-02-27,14,False
2011-02-28,30,False
2011-03-01,33,False
2011-03-02,27,False
2011-03-03,26,False
2011-03-04,29,False
2011-03-05,15,False
2011-03-06,12,False
2011-03-07,8,False
2011-03-08,24,False
2011-03-09,21,False
2011-03-10,12,False
2011-03-11,18,False
2011-03-12,15,False
2011-03-13,2,False
2011-03-14,16,False
2011-03-15,19,False
2011-03-16,35,False
2011-03-17,24,False
2011-03-18,23,False
2011-03-19,7,False
2011-03-20,2,False
2011-03-21,15,False
2011-03-22,23,False
2011-03-23,25,False
2011-03-24,20,False
2011-03-25,12,False
2011-03-26,10,False
2011-03-27,10,False
2011-03-28,15,False
2011-03-29,33,False
2011-03-30,19,False
2011-03-31,20,False
2011-04-01,25,False
2011-04-02,10,False
2011-04-03,5,False
2011-04-04,25,False
2011-04-05,27,False
2011-04-06,33,False
2011-04-07,22,False
