date,AMZN
2015-08-18,11
2015-08-19,12
2015-08-20,12
2015-08-21,18
2015-08-22,6
2015-08-23,4
2015-08-24,28
2015-08-25,25
2015-08-26,21
2015-08-27,20
2015-08-28,16
2015-08-29,5
2015-08-30,4
2015-08-31,10
2015-09-01,14
2015-09-02,12
2015-09-03,10
2015-09-04,9
2015-09-05,4
2015-09-06,3
2015-09-07,4
2015-09-08,10
2015-09-09,12
2015-09-10,9
2015-09-11,9
2015-09-12,4
2015-09-13,3
2015-09-14,9
2015-09-15,10
2015-09-16,8
2015-09-17,11
2015-09-18,10
2015-09-19,4
2015-09-20,3
2015-09-21,11
2015-09-22,11
2015-09-23,10
2015-09-24,10
2015-09-25,10
2015-09-26,4
2015-09-27,3
2015-09-28,10
2015-09-29,12
2015-09-30,11
2015-10-01,8
2015-10-02,10
2015-10-03,4
2015-10-04,3
2015-10-05,10
2015-10-06,11
2015-10-07,11
2015-10-08,12
2015-10-09,11
2015-10-10,4
2015-10-11,3
2015-10-12,11
2015-10-13,11
2015-10-14,11
2015-10-15,14
2015-10-16,16
2015-10-17,6
2015-10-18,3
2015-10-19,15
2015-10-20,16
2015-10-21,15
2015-10-22,53
2015-10-23,66
2015-10-24,14
2015-10-25,7
2015-10-26,19
2015-10-27,17
2015-10-28,17
2015-10-29,16
2015-10-30,17
2015-10-31,7
2015-11-01,4
2015-11-02,15
2015-11-03,16
2015-11-04,18
2015-11-05,20
2015-11-06,20
2015-11-07,7
2015-11-08,5
2015-11-09,16
2015-11-10,16
2015-11-11,20
2015-11-12,20
2015-11-13,19
2015-11-14,8
2015-11-15,5
2015-11-16,18
2015-11-17,16
2015-11-18,17
2015-11-19,18
2015-11-20,20
2015-11-21,7
2015-11-22,5
2015-11-23,16
2015-11-24,16
2015-11-25,15
2015-11-26,8
2015-11-27,14
2015-11-28,6
2015-11-29,6
2015-11-30,18
2015-12-01,20
2015-12-02,16
2015-12-03,18
2015-12-04,17
2015-12-05,7
2015-12-06,4
2015-12-07,13
2015-12-08,16
2015-12-09,16
2015-12-10,15
2015-12-11,16
2015-12-12,6
2015-12-13,4
2015-12-14,14
2015-12-15,16
2015-12-16,15
2015-12-17,18
2015-12-18,14
2015-12-19,8
2015-12-20,5
2015-12-21,13
2015-12-22,13
2015-12-23,13
2015-12-24,10
2015-12-25,6
2015-12-26,5
2015-12-27,4
2015-12-28,15
2015-12-29,23
2015-12-30,22
2015-12-31,17
2016-01-01,7
2016-01-02,5
2016-01-03,5
2016-01-04,24
2016-01-05,25
2016-01-06,20
2016-01-07,26
2016-01-08,22
2016-01-09,8
2016-01-10,5
2016-01-11,16
2016-01-12,17
2016-01-13,25
2016-01-14,25
2016-01-15,27
2016-01-16,10
2016-01-17,6
2016-01-18,10
2016-01-19,19
2016-01-20,23
2016-01-21,20
2016-01-22,22
2016-01-23,7
2016-01-24,5
2016-01-25,19
2016-01-26,20
2016-01-27,24
2016-01-28,84
2016-01-29,100
2016-01-30,18
2016-01-31,8
2016-02-01,27
2016-02-02,27
2016-02-03,27
2016-02-04,23
2016-02-05,29
2016-02-06,12
2016-02-07,6
2016-02-08,27
2016-02-09,29
2016-02-10,28
2016-02-11,27
2016-02-12,21
2016-02-13,8
2016-02-14,4
2016-02-15,12
2016-02-16,21
2016-02-17,21
2016-02-18,20
2016-02-19,19
2016-02-20,6
2016-02-21,4
2016-02-22,18
2016-02-23,19
2016-02-24,18
2016-02-25,18
2016-02-26,17
2016-02-27,4
2016-02-28,3
2016-02-29,15
2016-03-01,18
2016-03-02,18
2016-03-03,16
2016-03-04,15
2016-03-05,5
2016-03-06,4
2016-03-07,13
2016-03-08,16
2016-03-09,15
2016-03-10,16
2016-03-11,14
2016-03-12,6
2016-03-13,3
2016-03-14,14
2016-03-15,13
2016-03-16,12
2016-03-17,16
2016-03-18,14
2016-03-19,6
2016-03-20,4
2016-03-21,14
2016-03-22,15
2016-03-23,13
2016-03-24,14
2016-03-25,11
2016-03-26,4
2016-03-27,3
2016-03-28,15
2016-03-29,16
2016-03-30,15
2016-03-31,14
2016-04-01,13
2016-04-02,5
2016-04-03,4
2016-04-04,13
2016-04-05,12
2016-04-06,15
2016-04-07,15
2016-04-08,16
2016-04-09,6
2016-04-10,4
2016-04-11,14
2016-04-12,14
2016-04-13,17
2016-04-14,17
2016-04-15,16
2016-04-16,6
2016-04-17,5
2016-04-18,19
2016-04-19,18
2016-04-20,16
2016-04-21,17
2016-04-22,17
2016-04-23,5
2016-04-24,5
2016-04-25,14
2016-04-26,17
2016-04-27,21
2016-04-28,72
2016-04-29,81
2016-04-30,15
2016-05-01,8
2016-05-02,31
2016-05-03,28
2016-05-04,21
