date,AMZN,isPartial
2014-03-16,5,False
2014-03-17,17,False
2014-03-18,15,False
2014-03-19,14,False
2014-03-20,14,False
2014-03-21,14,False
2014-03-22,6,False
2014-03-23,3,False
2014-03-24,12,False
2014-03-25,14,False
2014-03-26,14,False
2014-03-27,19,False
2014-03-28,18,False
2014-03-29,5,False
2014-03-30,5,False
2014-03-31,15,False
2014-04-01,19,False
2014-04-02,28,False
2014-04-03,20,False
2014-04-04,23,False
2014-04-05,8,False
2014-04-06,7,False
2014-04-07,20,False
2014-04-08,20,False
2014-04-09,19,False
2014-04-10,24,False
2014-04-11,24,False
2014-04-12,7,False
2014-04-13,7,False
2014-04-14,19,False
2014-04-15,21,False
2014-04-16,17,False
2014-04-17,18,False
2014-04-18,11,False
2014-04-19,6,False
2014-04-20,4,False
2014-04-21,18,False
2014-04-22,19,False
2014-04-23,23,False
2014-04-24,63,False
2014-04-25,82,False
2014-04-26,23,False
2014-04-27,12,False
2014-04-28,41,False
2014-04-29,37,False
2014-04-30,29,False
2014-05-01,29,False
2014-05-02,25,False
2014-05-03,8,False
2014-05-04,5,False
2014-05-05,24,False
2014-05-06,25,False
2014-05-07,25,False
2014-05-08,23,False
2014-05-09,28,False
2014-05-10,9,False
2014-05-11,6,False
2014-05-12,22,False
2014-05-13,25,False
2014-05-14,22,False
2014-05-15,21,False
2014-05-16,20,False
2014-05-17,7,False
2014-05-18,5,False
2014-05-19,18,False
2014-05-20,20,False
2014-05-21,18,False
2014-05-22,17,False
2014-05-23,18,False
2014-05-24,9,False
2014-05-25,5,False
2014-05-26,4,False
2014-05-27,16,False
2014-05-28,20,False
2014-05-29,17,False
2014-05-30,16,False
2014-05-31,5,False
2014-06-01,5,False
2014-06-02,15,False
2014-06-03,14,False
2014-06-04,14,False
2014-06-05,26,False
2014-06-06,29,False
2014-06-07,6,False
2014-06-08,4,False
2014-06-09,20,False
2014-06-10,25,False
2014-06-11,29,False
2014-06-12,27,False
2014-06-13,20,False
2014-06-14,7,False
2014-06-15,5,False
2014-06-16,20,False
2014-06-17,22,False
2014-06-18,55,False
2014-06-19,43,False
2014-06-20,25,False
2014-06-21,7,False
2014-06-22,4,False
2014-06-23,13,False
2014-06-24,19,False
2014-06-25,18,False
2014-06-26,15,False
2014-06-27,12,False
2014-06-28,6,False
2014-06-29,3,False
2014-06-30,14,False
2014-07-01,19,False
2014-07-02,16,False
2014-07-03,18,False
2014-07-04,7,False
2014-07-05,4,False
2014-07-06,3,False
