date,LRCX,isPartial
2017-05-29,10,False
2017-05-30,5,False
2017-05-31,16,False
2017-06-01,5,False
2017-06-02,12,False
2017-06-03,3,False
2017-06-04,0,False
2017-06-05,9,False
2017-06-06,16,False
2017-06-07,16,False
2017-06-08,16,False
2017-06-09,12,False
2017-06-10,8,False
2017-06-11,5,False
2017-06-12,11,False
2017-06-13,18,False
2017-06-14,16,False
2017-06-15,12,False
2017-06-16,7,False
2017-06-17,8,False
2017-06-18,0,False
2017-06-19,2,False
2017-06-20,13,False
2017-06-21,9,False
2017-06-22,11,False
2017-06-23,19,False
2017-06-24,5,False
2017-06-25,3,False
2017-06-26,19,False
2017-06-27,7,False
2017-06-28,17,False
2017-06-29,10,False
2017-06-30,22,False
2017-07-01,0,False
2017-07-02,3,False
2017-07-03,0,False
2017-07-04,5,False
2017-07-05,12,False
2017-07-06,17,False
2017-07-07,2,False
2017-07-08,6,False
2017-07-09,3,False
2017-07-10,9,False
2017-07-11,7,False
2017-07-12,9,False
2017-07-13,7,False
2017-07-14,7,False
2017-07-15,5,False
2017-07-16,3,False
2017-07-17,14,False
2017-07-18,24,False
2017-07-19,19,False
2017-07-20,14,False
2017-07-21,22,False
2017-07-22,3,False
2017-07-23,8,False
2017-07-24,28,False
2017-07-25,21,False
2017-07-26,55,False
2017-07-27,28,False
2017-07-28,20,False
2017-07-29,5,False
2017-07-30,3,False
2017-07-31,18,False
2017-08-01,22,False
2017-08-02,17,False
2017-08-03,14,False
2017-08-04,9,False
2017-08-05,5,False
2017-08-06,0,False
2017-08-07,11,False
2017-08-08,24,False
2017-08-09,16,False
2017-08-10,21,False
2017-08-11,9,False
2017-08-12,11,False
2017-08-13,11,False
2017-08-14,23,False
2017-08-15,19,False
2017-08-16,23,False
2017-08-17,21,False
2017-08-18,26,False
2017-08-19,0,False
2017-08-20,0,False
2017-08-21,9,False
2017-08-22,16,False
2017-08-23,16,False
2017-08-24,7,False
2017-08-25,5,False
2017-08-26,0,False
2017-08-27,5,False
2017-08-28,21,False
2017-08-29,13,False
2017-08-30,11,False
2017-08-31,11,False
2017-09-01,5,False
2017-09-02,8,False
2017-09-03,0,False
2017-09-04,2,False
2017-09-05,11,False
2017-09-06,9,False
2017-09-07,14,False
2017-09-08,12,False
2017-09-09,5,False
2017-09-10,5,False
2017-09-11,11,False
2017-09-12,13,False
2017-09-13,11,False
2017-09-14,13,False
2017-09-15,16,False
2017-09-16,3,False
2017-09-17,0,False
2017-09-18,31,False
2017-09-19,31,False
2017-09-20,24,False
2017-09-21,13,False
