date,LRCX
2016-09-11,23
2016-09-12,27
2016-09-13,33
2016-09-14,15
2016-09-15,40
2016-09-16,38
2016-09-17,23
2016-09-18,11
2016-09-19,19
2016-09-20,48
2016-09-21,19
2016-09-22,33
2016-09-23,26
2016-09-24,12
2016-09-25,0
2016-09-26,26
2016-09-27,15
2016-09-28,19
2016-09-29,26
2016-09-30,24
2016-10-01,17
2016-10-02,11
2016-10-03,24
2016-10-04,24
2016-10-05,51
2016-10-06,100
2016-10-07,53
2016-10-08,26
2016-10-09,15
2016-10-10,13
2016-10-11,23
2016-10-12,26
2016-10-13,39
2016-10-14,10
2016-10-15,11
2016-10-16,11
2016-10-17,34
2016-10-18,35
2016-10-19,54
2016-10-20,57
2016-10-21,23
2016-10-22,22
2016-10-23,11
2016-10-24,29
2016-10-25,14
2016-10-26,28
2016-10-27,22
2016-10-28,33
2016-10-29,11
2016-10-30,11
2016-10-31,15
2016-11-01,10
2016-11-02,19
2016-11-03,19
2016-11-04,10
2016-11-05,11
2016-11-06,0
2016-11-07,37
2016-11-08,12
2016-11-09,50
2016-11-10,19
2016-11-11,16
2016-11-12,22
2016-11-13,0
2016-11-14,22
2016-11-15,19
2016-11-16,14
2016-11-17,42
2016-11-18,39
2016-11-19,11
2016-11-20,21
2016-11-21,16
2016-11-22,28
2016-11-23,22
2016-11-24,20
2016-11-25,10
2016-11-26,11
2016-11-27,11
2016-11-28,18
2016-11-29,18
2016-11-30,25
2016-12-01,66
2016-12-02,39
2016-12-03,16
2016-12-04,21
2016-12-05,46
2016-12-06,34
2016-12-07,14
2016-12-08,45
2016-12-09,66
2016-12-10,25
2016-12-11,11
2016-12-12,31
2016-12-13,14
2016-12-14,31
2016-12-15,44
2016-12-16,33
2016-12-17,11
2016-12-18,11
2016-12-19,41
2016-12-20,32
2016-12-21,23
2016-12-22,20
2016-12-23,11
2016-12-24,24
2016-12-25,25
2016-12-26,11
2016-12-27,30
2016-12-28,27
2016-12-29,27
2016-12-30,28
2016-12-31,35
2017-01-01,18
2017-01-02,23
2017-01-03,28
2017-01-04,37
2017-01-05,25
2017-01-06,20
2017-01-07,42
2017-01-08,26
2017-01-09,21
2017-01-10,18
2017-01-11,51
2017-01-12,43
2017-01-13,31
2017-01-14,16
2017-01-15,14
2017-01-16,18
2017-01-17,24
2017-01-18,46
2017-01-19,43
2017-01-20,59
2017-01-21,21
2017-01-22,24
2017-01-23,39
2017-01-24,64
2017-01-25,66
2017-01-26,55
2017-01-27,73
2017-01-28,39
2017-01-29,28
2017-01-30,42
2017-01-31,33
2017-02-01,39
2017-02-02,24
2017-02-03,41
2017-02-04,10
2017-02-05,10
2017-02-06,54
2017-02-07,39
2017-02-08,30
2017-02-09,36
2017-02-10,50
2017-02-11,16
2017-02-12,21
2017-02-13,40
2017-02-14,63
2017-02-15,42
2017-02-16,33
2017-02-17,38
2017-02-18,42
2017-02-19,16
2017-02-20,14
2017-02-21,30
2017-02-22,33
2017-02-23,48
2017-02-24,44
2017-02-25,42
2017-02-26,21
2017-02-27,18
2017-02-28,46
2017-03-01,36
2017-03-02,57
2017-03-03,9
2017-03-04,15
2017-03-05,10
2017-03-06,27
2017-03-07,15
2017-03-08,21
2017-03-09,24
2017-03-10,49
2017-03-11,24
2017-03-12,15
2017-03-13,33
2017-03-14,30
2017-03-15,33
2017-03-16,48
2017-03-17,44
2017-03-18,24
2017-03-19,10
2017-03-20,33
2017-03-21,30
2017-03-22,47
2017-03-23,27
2017-03-24,25
2017-03-25,32
2017-03-26,10
2017-03-27,33
2017-03-28,27
2017-03-29,27
2017-03-30,22
2017-03-31,28
2017-04-01,21
