date,LRCX
2014-12-01,11
2014-12-02,17
2014-12-03,22
2014-12-04,11
2014-12-05,35
2014-12-06,13
2014-12-07,0
2014-12-08,11
2014-12-09,28
2014-12-10,17
2014-12-11,11
2014-12-12,18
2014-12-13,0
2014-12-14,13
2014-12-15,11
2014-12-16,11
2014-12-17,17
2014-12-18,12
2014-12-19,50
2014-12-20,14
2014-12-21,0
2014-12-22,30
2014-12-23,25
2014-12-24,14
2014-12-25,30
2014-12-26,27
2014-12-27,14
2014-12-28,0
2014-12-29,36
2014-12-30,12
2014-12-31,27
2015-01-01,0
2015-01-02,0
2015-01-03,13
2015-01-04,0
2015-01-05,28
2015-01-06,11
2015-01-07,16
2015-01-08,22
2015-01-09,22
2015-01-10,38
2015-01-11,13
2015-01-12,16
2015-01-13,32
2015-01-14,22
2015-01-15,16
2015-01-16,34
2015-01-17,0
2015-01-18,0
2015-01-19,11
2015-01-20,32
2015-01-21,21
2015-01-22,27
2015-01-23,17
2015-01-24,0
2015-01-25,13
2015-01-26,32
2015-01-27,16
2015-01-28,37
2015-01-29,49
2015-01-30,28
2015-01-31,0
2015-02-01,12
2015-02-02,21
2015-02-03,21
2015-02-04,11
2015-02-05,21
2015-02-06,23
2015-02-07,38
2015-02-08,13
2015-02-09,11
2015-02-10,32
2015-02-11,32
2015-02-12,11
2015-02-13,23
2015-02-14,13
2015-02-15,13
2015-02-16,11
2015-02-17,11
2015-02-18,16
2015-02-19,11
2015-02-20,23
2015-02-21,0
2015-02-22,12
2015-02-23,21
2015-02-24,16
2015-02-25,21
2015-02-26,38
2015-02-27,22
2015-02-28,12
2015-03-01,0
2015-03-02,16
2015-03-03,42
2015-03-04,11
2015-03-05,16
2015-03-06,11
2015-03-07,13
2015-03-08,0
2015-03-09,27
2015-03-10,11
2015-03-11,11
2015-03-12,21
2015-03-13,17
2015-03-14,12
2015-03-15,0
2015-03-16,26
2015-03-17,10
2015-03-18,32
2015-03-19,32
2015-03-20,22
2015-03-21,0
2015-03-22,12
2015-03-23,42
2015-03-24,26
2015-03-25,62
2015-03-26,49
2015-03-27,28
2015-03-28,13
2015-03-29,0
2015-03-30,21
2015-03-31,21
2015-04-01,11
2015-04-02,23
2015-04-03,48
2015-04-04,19
2015-04-05,13
2015-04-06,23
2015-04-07,32
2015-04-08,21
2015-04-09,16
2015-04-10,28
2015-04-11,13
2015-04-12,19
2015-04-13,11
2015-04-14,16
2015-04-15,21
2015-04-16,27
2015-04-17,11
2015-04-18,13
2015-04-19,12
2015-04-20,100
2015-04-21,49
2015-04-22,32
2015-04-23,54
2015-04-24,22
2015-04-25,13
2015-04-26,12
2015-04-27,21
2015-04-28,42
2015-04-29,21
2015-04-30,22
2015-05-01,24
2015-05-02,25
2015-05-03,0
2015-05-04,27
2015-05-05,10
2015-05-06,26
2015-05-07,21
2015-05-08,34
2015-05-09,0
2015-05-10,0
2015-05-11,16
2015-05-12,31
2015-05-13,27
2015-05-14,44
2015-05-15,17
2015-05-16,0
2015-05-17,0
2015-05-18,37
2015-05-19,16
2015-05-20,16
2015-05-21,27
2015-05-22,11
2015-05-23,26
2015-05-24,0
2015-05-25,0
2015-05-26,16
2015-05-27,16
2015-05-28,16
2015-05-29,39
2015-05-30,13
2015-05-31,0
2015-06-01,31
2015-06-02,10
2015-06-03,16
2015-06-04,33
2015-06-05,22
2015-06-06,0
2015-06-07,0
2015-06-08,21
2015-06-09,16
2015-06-10,53
2015-06-11,16
2015-06-12,11
2015-06-13,0
2015-06-14,0
2015-06-15,10
2015-06-16,10
2015-06-17,10
2015-06-18,38
2015-06-19,17
2015-06-20,0
2015-06-21,13
2015-06-22,32
2015-06-23,16
2015-06-24,21
2015-06-25,22
2015-06-26,0
2015-06-27,13
2015-06-28,0
2015-06-29,21
2015-06-30,32
2015-07-01,22
2015-07-02,33
2015-07-03,11
2015-07-04,0
2015-07-05,0
2015-07-06,11
2015-07-07,21
2015-07-08,16
2015-07-09,21
2015-07-10,11
2015-07-11,0
2015-07-12,0
2015-07-13,16
2015-07-14,32
2015-07-15,32
2015-07-16,27
2015-07-17,34
2015-07-18,0
2015-07-19,14
2015-07-20,11
2015-07-21,53
2015-07-22,21
2015-07-23,0
2015-07-24,11
2015-07-25,0
2015-07-26,0
2015-07-27,10
2015-07-28,0
2015-07-29,27
2015-07-30,21
2015-07-31,39
2015-08-01,13
2015-08-02,0
2015-08-03,21
2015-08-04,16
2015-08-05,43
2015-08-06,11
2015-08-07,17
2015-08-08,13
2015-08-09,13
2015-08-10,16
2015-08-11,16
2015-08-12,37
2015-08-13,11
2015-08-14,22
2015-08-15,13
2015-08-16,0
2015-08-17,16
2015-08-18,21
