date,SBUX
2012-01-26,53
2012-01-27,41
2012-01-28,11
2012-01-29,12
2012-01-30,25
2012-01-31,22
2012-02-01,16
2012-02-02,16
2012-02-03,16
2012-02-04,10
2012-02-05,7
2012-02-06,15
2012-02-07,17
2012-02-08,20
2012-02-09,23
2012-02-10,13
2012-02-11,13
2012-02-12,4
2012-02-13,22
2012-02-14,30
2012-02-15,20
2012-02-16,20
2012-02-17,20
2012-02-18,18
2012-02-19,8
2012-02-20,8
2012-02-21,23
2012-02-22,20
2012-02-23,26
2012-02-24,20
2012-02-25,10
2012-02-26,7
2012-02-27,24
2012-02-28,17
2012-02-29,17
2012-03-01,21
2012-03-02,24
2012-03-03,12
2012-03-04,8
2012-03-05,31
2012-03-06,26
2012-03-07,34
2012-03-08,54
2012-03-09,57
2012-03-10,16
2012-03-11,15
2012-03-12,18
2012-03-13,28
2012-03-14,37
2012-03-15,29
2012-03-16,39
2012-03-17,9
2012-03-18,9
2012-03-19,27
2012-03-20,48
2012-03-21,33
2012-03-22,45
2012-03-23,39
2012-03-24,8
2012-03-25,14
2012-03-26,32
2012-03-27,39
2012-03-28,52
2012-03-29,29
2012-03-30,26
2012-03-31,21
2012-04-01,8
2012-04-02,24
2012-04-03,25
2012-04-04,39
2012-04-05,33
2012-04-06,33
2012-04-07,16
2012-04-08,14
2012-04-09,38
2012-04-10,40
2012-04-11,40
2012-04-12,61
2012-04-13,70
2012-04-14,22
2012-04-15,22
2012-04-16,52
2012-04-17,65
2012-04-18,47
2012-04-19,55
2012-04-20,36
2012-04-21,19
2012-04-22,19
2012-04-23,28
2012-04-24,30
2012-04-25,38
2012-04-26,100
2012-04-27,80
2012-04-28,30
2012-04-29,18
2012-04-30,53
2012-05-01,33
2012-05-02,40
2012-05-03,47
2012-05-04,37
2012-05-05,15
2012-05-06,16
2012-05-07,31
2012-05-08,42
2012-05-09,30
2012-05-10,36
2012-05-11,41
2012-05-12,17
2012-05-13,10
2012-05-14,34
2012-05-15,37
2012-05-16,36
2012-05-17,29
2012-05-18,37
2012-05-19,24
2012-05-20,12
2012-05-21,35
2012-05-22,37
2012-05-23,37
2012-05-24,46
2012-05-25,26
2012-05-26,11
2012-05-27,14
2012-05-28,14
2012-05-29,26
2012-05-30,32
2012-05-31,40
2012-06-01,28
2012-06-02,20
2012-06-03,10
2012-06-04,37
2012-06-05,34
2012-06-06,40
2012-06-07,36
2012-06-08,36
2012-06-09,15
2012-06-10,6
2012-06-11,26
2012-06-12,24
2012-06-13,24
2012-06-14,22
2012-06-15,27
2012-06-16,9
2012-06-17,3
2012-06-18,30
2012-06-19,29
2012-06-20,26
2012-06-21,24
2012-06-22,24
2012-06-23,14
2012-06-24,15
2012-06-25,19
2012-06-26,20
2012-06-27,24
2012-06-28,31
2012-06-29,35
2012-06-30,18
2012-07-01,17
2012-07-02,18
2012-07-03,17
2012-07-04,9
2012-07-05,15
2012-07-06,22
2012-07-07,14
2012-07-08,12
2012-07-09,22
2012-07-10,18
2012-07-11,26
2012-07-12,32
2012-07-13,22
2012-07-14,6
2012-07-15,15
2012-07-16,17
2012-07-17,10
2012-07-18,15
2012-07-19,17
2012-07-20,28
2012-07-21,20
2012-07-22,12
2012-07-23,31
2012-07-24,36
2012-07-25,33
2012-07-26,73
2012-07-27,92
2012-07-28,24
2012-07-29,6
2012-07-30,42
2012-07-31,39
2012-08-01,36
2012-08-02,36
2012-08-03,25
2012-08-04,11
2012-08-05,17
2012-08-06,32
2012-08-07,29
2012-08-08,43
2012-08-09,35
2012-08-10,36
2012-08-11,17
2012-08-12,6
2012-08-13,37
2012-08-14,34
2012-08-15,29
2012-08-16,35
2012-08-17,31
2012-08-18,5
2012-08-19,17
2012-08-20,31
2012-08-21,23
2012-08-22,33
2012-08-23,29
2012-08-24,32
2012-08-25,18
2012-08-26,10
2012-08-27,27
2012-08-28,46
2012-08-29,38
2012-08-30,30
2012-08-31,17
2012-09-01,22
2012-09-02,16
2012-09-03,10
2012-09-04,23
2012-09-05,29
2012-09-06,37
2012-09-07,31
2012-09-08,12
2012-09-09,13
2012-09-10,36
2012-09-11,28
2012-09-12,29
2012-09-13,29
2012-09-14,37
2012-09-15,29
2012-09-16,10
2012-09-17,23
2012-09-18,40
2012-09-19,28
2012-09-20,43
2012-09-21,35
2012-09-22,17
2012-09-23,14
2012-09-24,20
2012-09-25,21
2012-09-26,21
2012-09-27,26
2012-09-28,22
2012-09-29,21
2012-09-30,17
2012-10-01,27
2012-10-02,24
2012-10-03,36
2012-10-04,34
2012-10-05,35
2012-10-06,14
2012-10-07,5
2012-10-08,22
2012-10-09,21
2012-10-10,26
2012-10-11,24
2012-10-12,22
