date,SBUX
2014-12-01,20
2014-12-02,23
2014-12-03,30
2014-12-04,25
2014-12-05,36
2014-12-06,13
2014-12-07,10
2014-12-08,23
2014-12-09,28
2014-12-10,22
2014-12-11,19
2014-12-12,24
2014-12-13,10
2014-12-14,7
2014-12-15,19
2014-12-16,23
2014-12-17,22
2014-12-18,26
2014-12-19,27
2014-12-20,13
2014-12-21,9
2014-12-22,16
2014-12-23,26
2014-12-24,21
2014-12-25,9
2014-12-26,12
2014-12-27,7
2014-12-28,6
2014-12-29,17
2014-12-30,17
2014-12-31,17
2015-01-01,10
2015-01-02,15
2015-01-03,10
2015-01-04,10
2015-01-05,24
2015-01-06,21
2015-01-07,18
2015-01-08,23
2015-01-09,24
2015-01-10,16
2015-01-11,9
2015-01-12,18
2015-01-13,26
2015-01-14,17
2015-01-15,19
2015-01-16,19
2015-01-17,11
2015-01-18,4
2015-01-19,13
2015-01-20,18
2015-01-21,27
2015-01-22,45
2015-01-23,75
2015-01-24,28
2015-01-25,17
2015-01-26,22
2015-01-27,25
2015-01-28,31
2015-01-29,27
2015-01-30,22
2015-01-31,13
2015-02-01,9
2015-02-02,18
2015-02-03,19
2015-02-04,25
2015-02-05,21
2015-02-06,28
2015-02-07,12
2015-02-08,10
2015-02-09,20
2015-02-10,25
2015-02-11,26
2015-02-12,24
2015-02-13,32
2015-02-14,13
2015-02-15,9
2015-02-16,13
2015-02-17,22
2015-02-18,20
2015-02-19,22
2015-02-20,24
2015-02-21,11
2015-02-22,8
2015-02-23,20
2015-02-24,30
2015-02-25,21
2015-02-26,27
2015-02-27,27
2015-02-28,12
2015-03-01,8
2015-03-02,22
2015-03-03,26
2015-03-04,20
2015-03-05,19
2015-03-06,22
2015-03-07,12
2015-03-08,8
2015-03-09,27
2015-03-10,21
2015-03-11,19
2015-03-12,26
2015-03-13,22
2015-03-14,12
2015-03-15,8
2015-03-16,22
2015-03-17,25
2015-03-18,52
2015-03-19,68
2015-03-20,53
2015-03-21,18
2015-03-22,12
2015-03-23,50
2015-03-24,34
2015-03-25,24
2015-03-26,32
2015-03-27,34
2015-03-28,16
2015-03-29,9
2015-03-30,29
2015-03-31,27
2015-04-01,33
2015-04-02,28
2015-04-03,21
2015-04-04,11
2015-04-05,9
2015-04-06,26
2015-04-07,32
2015-04-08,31
2015-04-09,91
2015-04-10,63
2015-04-11,22
2015-04-12,18
2015-04-13,50
2015-04-14,41
2015-04-15,47
2015-04-16,44
2015-04-17,42
2015-04-18,14
2015-04-19,11
2015-04-20,33
2015-04-21,47
2015-04-22,46
2015-04-23,82
2015-04-24,100
2015-04-25,28
2015-04-26,19
2015-04-27,44
2015-04-28,50
2015-04-29,45
2015-04-30,42
2015-05-01,39
2015-05-02,16
2015-05-03,9
2015-05-04,35
2015-05-05,35
2015-05-06,33
2015-05-07,34
2015-05-08,31
2015-05-09,12
2015-05-10,10
2015-05-11,25
2015-05-12,29
2015-05-13,30
2015-05-14,35
2015-05-15,35
2015-05-16,16
2015-05-17,11
2015-05-18,29
2015-05-19,34
2015-05-20,32
2015-05-21,25
2015-05-22,30
2015-05-23,11
2015-05-24,8
2015-05-25,14
2015-05-26,26
2015-05-27,25
2015-05-28,25
2015-05-29,25
2015-05-30,8
2015-05-31,8
2015-06-01,27
2015-06-02,24
2015-06-03,33
2015-06-04,23
2015-06-05,32
2015-06-06,12
2015-06-07,17
2015-06-08,28
2015-06-09,20
2015-06-10,26
2015-06-11,25
2015-06-12,26
2015-06-13,14
2015-06-14,9
2015-06-15,23
2015-06-16,21
2015-06-17,32
2015-06-18,27
2015-06-19,37
2015-06-20,14
2015-06-21,11
2015-06-22,31
2015-06-23,39
2015-06-24,31
2015-06-25,31
2015-06-26,27
2015-06-27,19
2015-06-28,9
2015-06-29,34
2015-06-30,34
2015-07-01,31
2015-07-02,33
2015-07-03,16
2015-07-04,7
2015-07-05,8
2015-07-06,27
2015-07-07,39
2015-07-08,30
2015-07-09,35
2015-07-10,31
2015-07-11,12
2015-07-12,11
2015-07-13,33
2015-07-14,38
2015-07-15,30
2015-07-16,33
2015-07-17,35
2015-07-18,11
2015-07-19,10
2015-07-20,37
2015-07-21,39
2015-07-22,42
2015-07-23,97
2015-07-24,99
2015-07-25,27
2015-07-26,16
2015-07-27,38
2015-07-28,31
2015-07-29,35
2015-07-30,34
2015-07-31,37
2015-08-01,14
2015-08-02,11
2015-08-03,34
2015-08-04,37
2015-08-05,45
2015-08-06,45
2015-08-07,41
2015-08-08,17
2015-08-09,9
2015-08-10,46
2015-08-11,51
2015-08-12,38
2015-08-13,39
2015-08-14,43
2015-08-15,18
2015-08-16,13
2015-08-17,36
2015-08-18,44
