date,SBUX
2013-11-06,51
2013-11-07,44
2013-11-08,40
2013-11-09,19
2013-11-10,13
2013-11-11,36
2013-11-12,46
2013-11-13,91
2013-11-14,63
2013-11-15,44
2013-11-16,21
2013-11-17,6
2013-11-18,49
2013-11-19,43
2013-11-20,23
2013-11-21,47
2013-11-22,36
2013-11-23,14
2013-11-24,15
2013-11-25,36
2013-11-26,34
2013-11-27,34
2013-11-28,13
2013-11-29,21
2013-11-30,20
2013-12-01,19
2013-12-02,39
2013-12-03,36
2013-12-04,41
2013-12-05,49
2013-12-06,46
2013-12-07,19
2013-12-08,10
2013-12-09,32
2013-12-10,68
2013-12-11,40
2013-12-12,50
2013-12-13,38
2013-12-14,18
2013-12-15,16
2013-12-16,40
2013-12-17,38
2013-12-18,34
2013-12-19,32
2013-12-20,47
2013-12-21,22
2013-12-22,11
2013-12-23,27
2013-12-24,40
2013-12-25,18
2013-12-26,31
2013-12-27,31
2013-12-28,12
2013-12-29,11
2013-12-30,24
2013-12-31,37
2014-01-01,14
2014-01-02,37
2014-01-03,31
2014-01-04,17
2014-01-05,16
2014-01-06,30
2014-01-07,36
2014-01-08,38
2014-01-09,31
2014-01-10,27
2014-01-11,15
2014-01-12,7
2014-01-13,31
2014-01-14,38
2014-01-15,41
2014-01-16,37
2014-01-17,34
2014-01-18,18
2014-01-19,11
2014-01-20,16
2014-01-21,30
2014-01-22,40
2014-01-23,100
2014-01-24,89
2014-01-25,22
2014-01-26,15
2014-01-27,31
2014-01-28,54
2014-01-29,36
2014-01-30,46
2014-01-31,47
2014-02-01,17
2014-02-02,9
2014-02-03,38
2014-02-04,51
2014-02-05,36
2014-02-06,39
2014-02-07,39
2014-02-08,20
2014-02-09,12
2014-02-10,37
2014-02-11,38
2014-02-12,37
2014-02-13,37
2014-02-14,31
2014-02-15,18
2014-02-16,5
2014-02-17,19
2014-02-18,33
2014-02-19,32
2014-02-20,40
2014-02-21,43
2014-02-22,11
2014-02-23,8
2014-02-24,28
2014-02-25,32
2014-02-26,40
2014-02-27,26
2014-02-28,38
2014-03-01,16
2014-03-02,12
2014-03-03,28
2014-03-04,37
2014-03-05,28
2014-03-06,41
2014-03-07,24
2014-03-08,22
2014-03-09,9
2014-03-10,33
2014-03-11,36
2014-03-12,28
2014-03-13,41
2014-03-14,29
2014-03-15,17
2014-03-16,8
2014-03-17,35
2014-03-18,33
2014-03-19,41
2014-03-20,57
2014-03-21,51
2014-03-22,24
2014-03-23,8
2014-03-24,44
2014-03-25,35
2014-03-26,34
2014-03-27,46
2014-03-28,40
2014-03-29,12
2014-03-30,9
2014-03-31,24
2014-04-01,28
2014-04-02,27
2014-04-03,33
2014-04-04,27
2014-04-05,18
2014-04-06,12
2014-04-07,21
2014-04-08,23
2014-04-09,26
2014-04-10,24
2014-04-11,33
2014-04-12,16
2014-04-13,16
2014-04-14,41
2014-04-15,33
2014-04-16,30
2014-04-17,25
2014-04-18,19
2014-04-19,12
2014-04-20,12
2014-04-21,20
2014-04-22,36
2014-04-23,38
2014-04-24,64
2014-04-25,63
2014-04-26,20
2014-04-27,15
2014-04-28,31
2014-04-29,39
2014-04-30,43
2014-05-01,42
2014-05-02,34
2014-05-03,16
2014-05-04,13
2014-05-05,22
2014-05-06,32
2014-05-07,39
2014-05-08,32
2014-05-09,35
2014-05-10,16
2014-05-11,14
2014-05-12,32
2014-05-13,39
2014-05-14,36
2014-05-15,38
2014-05-16,35
2014-05-17,23
2014-05-18,10
2014-05-19,24
2014-05-20,24
2014-05-21,21
2014-05-22,26
2014-05-23,32
2014-05-24,9
2014-05-25,5
2014-05-26,11
2014-05-27,30
2014-05-28,25
2014-05-29,28
2014-05-30,24
2014-05-31,6
2014-06-01,15
2014-06-02,27
2014-06-03,26
2014-06-04,39
2014-06-05,25
2014-06-06,27
2014-06-07,14
2014-06-08,13
2014-06-09,36
2014-06-10,22
2014-06-11,27
2014-06-12,22
2014-06-13,34
2014-06-14,9
2014-06-15,7
2014-06-16,41
2014-06-17,28
2014-06-18,26
2014-06-19,46
2014-06-20,39
2014-06-21,18
2014-06-22,15
2014-06-23,17
2014-06-24,24
2014-06-25,20
2014-06-26,23
2014-06-27,31
2014-06-28,18
2014-06-29,4
2014-06-30,25
2014-07-01,18
2014-07-02,25
2014-07-03,22
2014-07-04,17
2014-07-05,8
2014-07-06,8
2014-07-07,17
2014-07-08,25
2014-07-09,28
2014-07-10,29
2014-07-11,30
2014-07-12,4
2014-07-13,9
2014-07-14,23
2014-07-15,21
2014-07-16,28
2014-07-17,28
2014-07-18,21
2014-07-19,14
2014-07-20,12
2014-07-21,28
2014-07-22,30
2014-07-23,45
2014-07-24,78
