date,SBUX
2014-03-16,11
2014-03-17,37
2014-03-18,35
2014-03-19,56
2014-03-20,70
2014-03-21,69
2014-03-22,20
2014-03-23,12
2014-03-24,53
2014-03-25,33
2014-03-26,43
2014-03-27,52
2014-03-28,35
2014-03-29,13
2014-03-30,10
2014-03-31,40
2014-04-01,33
2014-04-02,42
2014-04-03,40
2014-04-04,38
2014-04-05,23
2014-04-06,14
2014-04-07,53
2014-04-08,29
2014-04-09,37
2014-04-10,52
2014-04-11,40
2014-04-12,21
2014-04-13,18
2014-04-14,35
2014-04-15,36
2014-04-16,34
2014-04-17,45
2014-04-18,26
2014-04-19,16
2014-04-20,19
2014-04-21,52
2014-04-22,41
2014-04-23,49
2014-04-24,69
2014-04-25,72
2014-04-26,22
2014-04-27,23
2014-04-28,33
2014-04-29,31
2014-04-30,48
2014-05-01,43
2014-05-02,39
2014-05-03,10
2014-05-04,11
2014-05-05,39
2014-05-06,34
2014-05-07,33
2014-05-08,24
2014-05-09,25
2014-05-10,20
2014-05-11,8
2014-05-12,29
2014-05-13,37
2014-05-14,33
2014-05-15,43
2014-05-16,34
2014-05-17,13
2014-05-18,9
2014-05-19,29
2014-05-20,34
2014-05-21,32
2014-05-22,26
2014-05-23,34
2014-05-24,7
2014-05-25,9
2014-05-26,8
2014-05-27,39
2014-05-28,35
2014-05-29,30
2014-05-30,30
2014-05-31,13
2014-06-01,6
2014-06-02,24
2014-06-03,48
2014-06-04,26
2014-06-05,29
2014-06-06,38
2014-06-07,18
2014-06-08,9
2014-06-09,39
2014-06-10,27
2014-06-11,31
2014-06-12,27
2014-06-13,30
2014-06-14,10
2014-06-15,7
2014-06-16,53
2014-06-17,35
2014-06-18,22
2014-06-19,51
2014-06-20,42
2014-06-21,21
2014-06-22,22
2014-06-23,38
2014-06-24,29
2014-06-25,26
2014-06-26,41
2014-06-27,31
2014-06-28,12
2014-06-29,13
2014-06-30,28
2014-07-01,29
2014-07-02,27
2014-07-03,37
2014-07-04,15
2014-07-05,7
2014-07-06,7
2014-07-07,22
2014-07-08,40
2014-07-09,24
2014-07-10,43
2014-07-11,37
2014-07-12,13
2014-07-13,7
2014-07-14,25
2014-07-15,21
2014-07-16,31
2014-07-17,31
2014-07-18,32
2014-07-19,12
2014-07-20,15
2014-07-21,31
2014-07-22,36
2014-07-23,43
2014-07-24,88
2014-07-25,74
2014-07-26,19
2014-07-27,13
2014-07-28,42
2014-07-29,34
2014-07-30,28
2014-07-31,33
2014-08-01,23
2014-08-02,13
2014-08-03,15
2014-08-04,40
2014-08-05,41
2014-08-06,25
2014-08-07,30
2014-08-08,30
2014-08-09,16
2014-08-10,12
2014-08-11,36
2014-08-12,37
2014-08-13,37
2014-08-14,43
2014-08-15,37
2014-08-16,18
2014-08-17,7
2014-08-18,33
2014-08-19,26
2014-08-20,32
2014-08-21,35
2014-08-22,34
2014-08-23,14
2014-08-24,13
2014-08-25,33
2014-08-26,36
2014-08-27,37
2014-08-28,13
2014-08-29,28
2014-08-30,13
2014-08-31,6
2014-09-01,11
2014-09-02,19
2014-09-03,35
2014-09-04,31
2014-09-05,37
2014-09-06,10
2014-09-07,7
2014-09-08,24
2014-09-09,40
2014-09-10,33
2014-09-11,33
2014-09-12,31
2014-09-13,16
2014-09-14,18
2014-09-15,32
2014-09-16,28
2014-09-17,33
2014-09-18,34
2014-09-19,37
2014-09-20,11
2014-09-21,8
2014-09-22,19
2014-09-23,19
2014-09-24,31
2014-09-25,17
2014-09-26,26
2014-09-27,8
2014-09-28,15
2014-09-29,27
2014-09-30,25
2014-10-01,24
2014-10-02,38
2014-10-03,39
2014-10-04,19
2014-10-05,9
2014-10-06,24
2014-10-07,25
2014-10-08,30
2014-10-09,32
2014-10-10,31
2014-10-11,13
2014-10-12,13
2014-10-13,20
2014-10-14,32
2014-10-15,30
2014-10-16,31
2014-10-17,45
2014-10-18,24
2014-10-19,13
2014-10-20,29
2014-10-21,32
2014-10-22,36
2014-10-23,27
2014-10-24,33
2014-10-25,19
2014-10-26,18
2014-10-27,29
2014-10-28,38
2014-10-29,41
2014-10-30,70
2014-10-31,100
2014-11-01,20
2014-11-02,9
2014-11-03,41
2014-11-04,27
2014-11-05,41
2014-11-06,41
2014-11-07,35
2014-11-08,11
2014-11-09,10
2014-11-10,24
2014-11-11,38
2014-11-12,27
2014-11-13,39
2014-11-14,37
2014-11-15,16
2014-11-16,11
2014-11-17,23
2014-11-18,24
2014-11-19,35
2014-11-20,32
2014-11-21,42
2014-11-22,21
2014-11-23,14
2014-11-24,35
2014-11-25,39
2014-11-26,44
2014-11-27,18
2014-11-28,24
2014-11-29,25
2014-11-30,11
2014-12-01,29
