date,SBUX
2016-09-11,9
2016-09-12,31
2016-09-13,27
2016-09-14,29
2016-09-15,28
2016-09-16,33
2016-09-17,12
2016-09-18,10
2016-09-19,31
2016-09-20,26
2016-09-21,27
2016-09-22,28
2016-09-23,24
2016-09-24,18
2016-09-25,9
2016-09-26,27
2016-09-27,30
2016-09-28,23
2016-09-29,27
2016-09-30,20
2016-10-01,11
2016-10-02,15
2016-10-03,20
2016-10-04,26
2016-10-05,24
2016-10-06,24
2016-10-07,27
2016-10-08,11
2016-10-09,7
2016-10-10,25
2016-10-11,24
2016-10-12,23
2016-10-13,23
2016-10-14,25
2016-10-15,11
2016-10-16,11
2016-10-17,22
2016-10-18,27
2016-10-19,38
2016-10-20,30
2016-10-21,30
2016-10-22,12
2016-10-23,13
2016-10-24,35
2016-10-25,34
2016-10-26,25
2016-10-27,23
2016-10-28,25
2016-10-29,14
2016-10-30,10
2016-10-31,27
2016-11-01,32
2016-11-02,39
2016-11-03,75
2016-11-04,70
2016-11-05,19
2016-11-06,15
2016-11-07,37
2016-11-08,36
2016-11-09,60
2016-11-10,41
2016-11-11,34
2016-11-12,17
2016-11-13,9
2016-11-14,30
2016-11-15,36
2016-11-16,37
2016-11-17,28
2016-11-18,30
2016-11-19,19
2016-11-20,8
2016-11-21,26
2016-11-22,38
2016-11-23,33
2016-11-24,19
2016-11-25,25
2016-11-26,20
2016-11-27,11
2016-11-28,33
2016-11-29,37
2016-11-30,36
2016-12-01,83
2016-12-02,100
2016-12-03,28
2016-12-04,14
2016-12-05,36
2016-12-06,30
2016-12-07,33
2016-12-08,42
2016-12-09,40
2016-12-10,14
2016-12-11,10
2016-12-12,33
2016-12-13,33
2016-12-14,35
2016-12-15,33
2016-12-16,32
2016-12-17,10
2016-12-18,8
2016-12-19,31
2016-12-20,28
2016-12-21,25
2016-12-22,32
2016-12-23,28
2016-12-24,9
2016-12-25,7
2016-12-26,13
2016-12-27,23
2016-12-28,26
2016-12-29,27
2016-12-30,25
2016-12-31,15
2017-01-01,8
2017-01-02,11
2017-01-03,23
2017-01-04,29
2017-01-05,28
2017-01-06,22
2017-01-07,13
2017-01-08,6
2017-01-09,30
2017-01-10,29
2017-01-11,24
2017-01-12,33
2017-01-13,28
2017-01-14,11
2017-01-15,8
2017-01-16,12
2017-01-17,24
2017-01-18,29
2017-01-19,29
2017-01-20,25
2017-01-21,10
2017-01-22,10
2017-01-23,20
2017-01-24,27
2017-01-25,39
2017-01-26,71
2017-01-27,83
2017-01-28,21
2017-01-29,13
2017-01-30,52
2017-01-31,60
2017-02-01,77
2017-02-02,59
2017-02-03,46
2017-02-04,18
2017-02-05,22
2017-02-06,32
2017-02-07,39
2017-02-08,34
2017-02-09,33
2017-02-10,31
2017-02-11,16
2017-02-12,16
2017-02-13,33
2017-02-14,29
2017-02-15,34
2017-02-16,28
2017-02-17,26
2017-02-18,15
2017-02-19,14
2017-02-20,24
2017-02-21,25
2017-02-22,34
2017-02-23,35
2017-02-24,35
2017-02-25,30
2017-02-26,11
2017-02-27,32
2017-02-28,35
2017-03-01,33
2017-03-02,28
2017-03-03,29
2017-03-04,10
2017-03-05,11
2017-03-06,29
2017-03-07,29
2017-03-08,26
2017-03-09,29
2017-03-10,32
2017-03-11,17
2017-03-12,11
2017-03-13,23
2017-03-14,33
2017-03-15,29
2017-03-16,31
2017-03-17,33
2017-03-18,9
2017-03-19,14
2017-03-20,27
2017-03-21,25
2017-03-22,43
2017-03-23,29
2017-03-24,35
2017-03-25,12
2017-03-26,14
2017-03-27,29
2017-03-28,31
2017-03-29,28
2017-03-30,32
2017-03-31,26
2017-04-01,12
