date,SBUX
2011-05-11,36
2011-05-12,29
2011-05-13,27
2011-05-14,16
2011-05-15,25
2011-05-16,45
2011-05-17,36
2011-05-18,13
2011-05-19,39
2011-05-20,35
2011-05-21,7
2011-05-22,26
2011-05-23,30
2011-05-24,31
2011-05-25,31
2011-05-26,41
2011-05-27,24
2011-05-28,27
2011-05-29,10
2011-05-30,16
2011-05-31,13
2011-06-01,23
2011-06-02,30
2011-06-03,36
2011-06-04,17
2011-06-05,23
2011-06-06,20
2011-06-07,22
2011-06-08,25
2011-06-09,28
2011-06-10,43
2011-06-11,23
2011-06-12,7
2011-06-13,28
2011-06-14,20
2011-06-15,20
2011-06-16,33
2011-06-17,29
2011-06-18,13
2011-06-19,7
2011-06-20,32
2011-06-21,30
2011-06-22,28
2011-06-23,29
2011-06-24,19
2011-06-25,13
2011-06-26,17
2011-06-27,46
2011-06-28,38
2011-06-29,46
2011-06-30,39
2011-07-01,36
2011-07-02,34
2011-07-03,13
2011-07-04,8
2011-07-05,52
2011-07-06,49
2011-07-07,26
2011-07-08,58
2011-07-09,24
2011-07-10,23
2011-07-11,36
2011-07-12,44
2011-07-13,36
2011-07-14,56
2011-07-15,31
2011-07-16,13
2011-07-17,10
2011-07-18,39
2011-07-19,28
2011-07-20,44
2011-07-21,26
2011-07-22,46
2011-07-23,19
2011-07-24,16
2011-07-25,46
2011-07-26,64
2011-07-27,31
2011-07-28,100
2011-07-29,60
2011-07-30,20
2011-07-31,23
2011-08-01,42
2011-08-02,55
2011-08-03,52
2011-08-04,67
2011-08-05,63
2011-08-06,26
2011-08-07,10
2011-08-08,97
2011-08-09,98
2011-08-10,33
2011-08-11,49
2011-08-12,78
2011-08-13,26
2011-08-14,23
2011-08-15,56
2011-08-16,38
2011-08-17,49
2011-08-18,59
2011-08-19,55
2011-08-20,22
2011-08-21,25
2011-08-22,37
2011-08-23,51
2011-08-24,52
2011-08-25,40
2011-08-26,44
2011-08-27,34
2011-08-28,12
2011-08-29,32
2011-08-30,25
2011-08-31,67
2011-09-01,30
2011-09-02,41
2011-09-03,6
2011-09-04,21
2011-09-05,12
2011-09-06,33
2011-09-07,41
2011-09-08,36
2011-09-09,25
2011-09-10,18
2011-09-11,14
2011-09-12,56
2011-09-13,42
2011-09-14,26
2011-09-15,48
2011-09-16,30
2011-09-17,27
2011-09-18,23
2011-09-19,44
2011-09-20,46
2011-09-21,30
2011-09-22,40
2011-09-23,40
2011-09-24,29
2011-09-25,20
2011-09-26,44
2011-09-27,39
2011-09-28,33
2011-09-29,33
2011-09-30,40
2011-10-01,15
2011-10-02,12
2011-10-03,33
2011-10-04,35
2011-10-05,49
2011-10-06,48
2011-10-07,44
2011-10-08,14
2011-10-09,14
2011-10-10,26
2011-10-11,44
2011-10-12,47
2011-10-13,32
2011-10-14,36
2011-10-15,28
2011-10-16,25
2011-10-17,39
2011-10-18,48
2011-10-19,30
2011-10-20,40
2011-10-21,48
2011-10-22,14
2011-10-23,14
2011-10-24,45
2011-10-25,52
2011-10-26,44
2011-10-27,46
2011-10-28,62
2011-10-29,23
2011-10-30,17
2011-10-31,33
2011-11-01,50
2011-11-02,37
2011-11-03,85
2011-11-04,61
2011-11-05,19
2011-11-06,22
2011-11-07,47
2011-11-08,43
2011-11-09,43
2011-11-10,46
2011-11-11,45
2011-11-12,28
2011-11-13,30
2011-11-14,56
2011-11-15,32
2011-11-16,47
2011-11-17,45
2011-11-18,54
2011-11-19,22
2011-11-20,30
2011-11-21,55
2011-11-22,42
2011-11-23,27
2011-11-24,12
2011-11-25,32
2011-11-26,14
2011-11-27,27
2011-11-28,35
2011-11-29,35
2011-11-30,44
2011-12-01,33
2011-12-02,42
2011-12-03,40
2011-12-04,13
2011-12-05,31
2011-12-06,53
2011-12-07,31
2011-12-08,50
2011-12-09,42
2011-12-10,24
2011-12-11,13
2011-12-12,31
2011-12-13,44
2011-12-14,35
2011-12-15,36
2011-12-16,40
2011-12-17,16
2011-12-18,19
2011-12-19,25
2011-12-20,52
2011-12-21,21
2011-12-22,31
2011-12-23,36
2011-12-24,33
2011-12-25,13
2011-12-26,16
2011-12-27,22
2011-12-28,38
2011-12-29,14
2011-12-30,30
2011-12-31,12
2012-01-01,9
2012-01-02,19
2012-01-03,68
2012-01-04,45
2012-01-05,51
2012-01-06,32
2012-01-07,16
2012-01-08,15
2012-01-09,23
2012-01-10,42
2012-01-11,25
2012-01-12,51
2012-01-13,24
2012-01-14,26
2012-01-15,23
2012-01-16,27
2012-01-17,31
2012-01-18,27
2012-01-19,44
2012-01-20,26
2012-01-21,17
2012-01-22,10
2012-01-23,39
2012-01-24,44
2012-01-25,46
2012-01-26,98
