date,EXPE,isPartial
2011-01-01,27,False
2011-01-02,47,False
2011-01-03,87,False
2011-01-04,54,False
2011-01-05,36,False
2011-01-06,62,False
2011-01-07,63,False
2011-01-08,66,False
2011-01-09,36,False
2011-01-10,41,False
2011-01-11,69,False
2011-01-12,80,False
2011-01-13,53,False
2011-01-14,54,False
2011-01-15,36,False
2011-01-16,42,False
2011-01-17,40,False
2011-01-18,74,False
2011-01-19,86,False
2011-01-20,63,False
2011-01-21,48,False
2011-01-22,42,False
2011-01-23,99,False
2011-01-24,62,False
2011-01-25,28,False
2011-01-26,46,False
2011-01-27,40,False
2011-01-28,60,False
2011-01-29,28,False
2011-01-30,67,False
2011-01-31,97,False
2011-02-01,65,False
2011-02-02,93,False
2011-02-03,45,False
2011-02-04,35,False
2011-02-05,54,False
2011-02-06,41,False
2011-02-07,49,False
2011-02-08,100,False
2011-02-09,62,False
2011-02-10,29,False
2011-02-11,95,False
2011-02-12,56,False
2011-02-13,55,False
2011-02-14,62,False
2011-02-15,66,False
2011-02-16,67,False
2011-02-17,62,False
2011-02-18,24,False
2011-02-19,62,False
2011-02-20,48,False
2011-02-21,73,False
2011-02-22,55,False
2011-02-23,45,False
2011-02-24,45,False
2011-02-25,70,False
2011-02-26,48,False
2011-02-27,68,False
2011-02-28,27,False
2011-03-01,44,False
2011-03-02,39,False
2011-03-03,62,False
2011-03-04,42,False
2011-03-05,56,False
2011-03-06,77,False
2011-03-07,68,False
2011-03-08,80,False
2011-03-09,39,False
2011-03-10,39,False
2011-03-11,63,False
2011-03-12,86,False
2011-03-13,49,False
2011-03-14,52,False
2011-03-15,72,False
2011-03-16,27,False
2011-03-17,22,False
2011-03-18,65,False
2011-03-19,28,False
2011-03-20,34,False
2011-03-21,33,False
2011-03-22,50,False
2011-03-23,16,False
2011-03-24,22,False
2011-03-25,53,False
2011-03-26,68,False
2011-03-27,69,False
2011-03-28,60,False
2011-03-29,55,False
2011-03-30,50,False
2011-03-31,50,False
2011-04-01,41,False
2011-04-02,29,False
2011-04-03,28,False
2011-04-04,22,False
2011-04-05,49,False
2011-04-06,33,False
2011-04-07,73,False
2011-04-08,77,False
2011-04-09,57,False
2011-04-10,77,False
2011-04-11,49,False
2011-04-12,33,False
2011-04-13,44,False
2011-04-14,40,False
2011-04-15,18,False
2011-04-16,57,False
2011-04-17,64,False
2011-04-18,34,False
2011-04-19,40,False
2011-04-20,64,False
2011-04-21,12,False
2011-04-22,27,False
2011-04-23,37,False
2011-04-24,46,False
2011-04-25,37,False
2011-04-26,44,False
2011-04-27,11,False
2011-04-28,72,False
2011-04-29,29,False
2011-04-30,43,False
2011-05-01,35,False
2011-05-02,33,False
2011-05-03,54,False
2011-05-04,78,False
2011-05-05,23,False
2011-05-06,82,False
2011-05-07,49,False
2011-05-08,29,False
2011-05-09,38,False
2011-05-10,49,False
2011-05-11,60,False
2011-05-12,60,False
2011-05-13,47,False
2011-05-14,63,False
2011-05-15,60,False
2011-05-16,48,False
2011-05-17,49,False
2011-05-18,55,False
2011-05-19,61,False
2011-05-20,58,False
2011-05-21,35,False
2011-05-22,14,False
2011-05-23,64,False
2011-05-24,27,False
2011-05-25,22,False
2011-05-26,39,False
2011-05-27,58,False
2011-05-28,77,False
2011-05-29,36,False
