date,EXPE,isPartial
2016-05-04,36,False
2016-05-05,41,False
2016-05-06,34,False
2016-05-07,38,False
2016-05-08,29,False
2016-05-09,58,False
2016-05-10,21,False
2016-05-11,57,False
2016-05-12,47,False
2016-05-13,11,False
2016-05-14,34,False
2016-05-15,29,False
2016-05-16,28,False
2016-05-17,28,False
2016-05-18,32,False
2016-05-19,54,False
2016-05-20,34,False
2016-05-21,42,False
2016-05-22,37,False
2016-05-23,49,False
2016-05-24,39,False
2016-05-25,32,False
2016-05-26,30,False
2016-05-27,31,False
2016-05-28,25,False
2016-05-29,46,False
2016-05-30,11,False
2016-05-31,53,False
2016-06-01,47,False
2016-06-02,62,False
2016-06-03,15,False
2016-06-04,30,False
2016-06-05,25,False
2016-06-06,40,False
2016-06-07,43,False
2016-06-08,47,False
2016-06-09,41,False
2016-06-10,68,False
2016-06-11,29,False
2016-06-12,21,False
2016-06-13,39,False
2016-06-14,50,False
2016-06-15,51,False
2016-06-16,39,False
2016-06-17,34,False
2016-06-18,39,False
2016-06-19,17,False
2016-06-20,58,False
2016-06-21,47,False
2016-06-22,36,False
2016-06-23,34,False
2016-06-24,54,False
2016-06-25,30,False
2016-06-26,25,False
2016-06-27,86,False
2016-06-28,29,False
2016-06-29,51,False
2016-06-30,59,False
2016-07-01,31,False
2016-07-02,39,False
2016-07-03,44,False
2016-07-04,19,False
2016-07-05,34,False
2016-07-06,31,False
2016-07-07,27,False
2016-07-08,36,False
2016-07-09,4,False
2016-07-10,17,False
2016-07-11,65,False
2016-07-12,30,False
2016-07-13,73,False
2016-07-14,48,False
2016-07-15,20,False
2016-07-16,44,False
2016-07-17,22,False
2016-07-18,57,False
2016-07-19,57,False
2016-07-20,46,False
2016-07-21,50,False
2016-07-22,47,False
2016-07-23,36,False
2016-07-24,22,False
2016-07-25,49,False
2016-07-26,79,False
2016-07-27,38,False
2016-07-28,100,False
2016-07-29,92,False
2016-07-30,9,False
2016-07-31,35,False
2016-08-01,38,False
2016-08-02,67,False
2016-08-03,54,False
2016-08-04,23,False
2016-08-05,28,False
2016-08-06,28,False
2016-08-07,28,False
2016-08-08,51,False
2016-08-09,35,False
2016-08-10,31,False
2016-08-11,40,False
2016-08-12,50,False
2016-08-13,74,False
2016-08-14,14,False
2016-08-15,46,False
2016-08-16,32,False
2016-08-17,16,False
2016-08-18,49,False
2016-08-19,42,False
2016-08-20,37,False
2016-08-21,14,False
2016-08-22,32,False
2016-08-23,40,False
2016-08-24,39,False
2016-08-25,58,False
2016-08-26,40,False
2016-08-27,22,False
2016-08-28,17,False
2016-08-29,67,False
2016-08-30,26,False
2016-08-31,30,False
2016-09-01,49,False
2016-09-02,35,False
2016-09-03,35,False
2016-09-04,25,False
2016-09-05,49,False
2016-09-06,26,False
2016-09-07,30,False
2016-09-08,38,False
2016-09-09,42,False
2016-09-10,39,False
2016-09-11,43,False
2016-09-12,46,False
2016-09-13,45,False
2016-09-14,37,False
2016-09-15,34,False
2016-09-16,31,False
2016-09-17,29,False
2016-09-18,37,False
2016-09-19,44,False
2016-09-20,18,False
2016-09-21,44,False
2016-09-22,45,False
2016-09-23,51,False
2016-09-24,26,False
2016-09-25,17,False
2016-09-26,33,False
2016-09-27,18,False
2016-09-28,40,False
2016-09-29,33,False
2016-09-30,38,False
2016-10-01,42,False
2016-10-02,32,False
2016-10-03,48,False
2016-10-04,32,False
2016-10-05,44,False
2016-10-06,52,False
2016-10-07,37,False
2016-10-08,25,False
2016-10-09,33,False
2016-10-10,40,False
2016-10-11,51,False
2016-10-12,70,False
2016-10-13,43,False
2016-10-14,57,False
2016-10-15,4,False
2016-10-16,37,False
2016-10-17,61,False
2016-10-18,57,False
2016-10-19,36,False
2016-10-20,50,False
2016-10-21,42,False
2016-10-22,51,False
2016-10-23,21,False
2016-10-24,54,False
2016-10-25,32,False
2016-10-26,68,False
2016-10-27,81,False
2016-10-28,75,False
2016-10-29,34,False
2016-10-30,17,False
2016-10-31,44,False
2016-11-01,66,False
2016-11-02,37,False
2016-11-03,43,False
2016-11-04,34,False
2016-11-05,17,False
2016-11-06,24,False
2016-11-07,46,False
2016-11-08,53,False
2016-11-09,26,False
2016-11-10,66,False
2016-11-11,52,False
2016-11-12,45,False
2016-11-13,33,False
2016-11-14,53,False
2016-11-15,50,False
2016-11-16,28,False
2016-11-17,43,False
2016-11-18,48,False
2016-11-19,16,False
2016-11-20,24,False
2016-11-21,56,False
2016-11-22,39,False
2016-11-23,60,False
2016-11-24,41,False
2016-11-25,41,False
2016-11-26,40,False
2016-11-27,39,False
2016-11-28,30,False
2016-11-29,41,False
2016-11-30,44,False
2016-12-01,41,False
2016-12-02,51,False
2016-12-03,36,False
2016-12-04,41,False
2016-12-05,41,False
2016-12-06,60,False
2016-12-07,75,False
2016-12-08,46,False
2016-12-09,21,False
2016-12-10,24,False
2016-12-11,27,False
2016-12-12,44,False
2016-12-13,51,False
2016-12-14,31,False
2016-12-15,57,False
2016-12-16,44,False
2016-12-17,41,False
2016-12-18,40,False
2016-12-19,43,False
2016-12-20,54,False
2016-12-21,18,False
2016-12-22,68,False
2016-12-23,35,False
2016-12-24,18,False
2016-12-25,18,False
2016-12-26,31,False
2016-12-27,22,False
2016-12-28,22,False
2016-12-29,26,False
2016-12-30,36,False
2016-12-31,25,False
2017-01-01,26,False
2017-01-02,47,False
2017-01-03,38,False
2017-01-04,63,False
2017-01-05,21,False
2017-01-06,36,False
2017-01-07,23,False
2017-01-08,27,False
2017-01-09,34,False
2017-01-10,63,False
2017-01-11,61,False
2017-01-12,34,False
2017-01-13,70,False
2017-01-14,31,False
2017-01-15,42,False
2017-01-16,37,False
2017-01-17,50,False
2017-01-18,46,False
2017-01-19,33,False
