date,QCOM
2013-11-06,79
2013-11-07,82
2013-11-08,38
2013-11-09,20
2013-11-10,6
2013-11-11,24
2013-11-12,32
2013-11-13,32
2013-11-14,60
2013-11-15,57
2013-11-16,32
2013-11-17,15
2013-11-18,37
2013-11-19,34
2013-11-20,39
2013-11-21,44
2013-11-22,54
2013-11-23,27
2013-11-24,6
2013-11-25,33
2013-11-26,40
2013-11-27,46
2013-11-28,18
2013-11-29,22
2013-11-30,9
2013-12-01,8
2013-12-02,22
2013-12-03,40
2013-12-04,32
2013-12-05,40
2013-12-06,33
2013-12-07,19
2013-12-08,14
2013-12-09,29
2013-12-10,30
2013-12-11,31
2013-12-12,30
2013-12-13,46
2013-12-14,12
2013-12-15,7
2013-12-16,21
2013-12-17,32
2013-12-18,31
2013-12-19,28
2013-12-20,26
2013-12-21,18
2013-12-22,12
2013-12-23,27
2013-12-24,28
2013-12-25,8
2013-12-26,23
2013-12-27,32
2013-12-28,12
2013-12-29,13
2013-12-30,28
2013-12-31,24
2014-01-01,11
2014-01-02,39
2014-01-03,36
2014-01-04,5
2014-01-05,15
2014-01-06,35
2014-01-07,42
2014-01-08,29
2014-01-09,27
2014-01-10,32
2014-01-11,24
2014-01-12,14
2014-01-13,26
2014-01-14,31
2014-01-15,25
2014-01-16,38
2014-01-17,33
2014-01-18,20
2014-01-19,12
2014-01-20,31
2014-01-21,32
2014-01-22,39
2014-01-23,40
2014-01-24,47
2014-01-25,16
2014-01-26,13
2014-01-27,31
2014-01-28,38
2014-01-29,71
2014-01-30,62
2014-01-31,38
2014-02-01,25
2014-02-02,15
2014-02-03,35
2014-02-04,45
2014-02-05,38
2014-02-06,28
2014-02-07,28
2014-02-08,6
2014-02-09,10
2014-02-10,36
2014-02-11,41
2014-02-12,58
2014-02-13,53
2014-02-14,41
2014-02-15,25
2014-02-16,6
2014-02-17,22
2014-02-18,38
2014-02-19,30
2014-02-20,30
2014-02-21,29
2014-02-22,16
2014-02-23,11
2014-02-24,42
2014-02-25,36
2014-02-26,24
2014-02-27,38
2014-02-28,31
2014-03-01,12
2014-03-02,17
2014-03-03,38
2014-03-04,44
2014-03-05,49
2014-03-06,40
2014-03-07,30
2014-03-08,11
2014-03-09,11
2014-03-10,31
2014-03-11,33
2014-03-12,26
2014-03-13,23
2014-03-14,34
2014-03-15,14
2014-03-16,6
2014-03-17,28
2014-03-18,35
2014-03-19,28
2014-03-20,33
2014-03-21,32
2014-03-22,12
2014-03-23,11
2014-03-24,23
2014-03-25,31
2014-03-26,35
2014-03-27,32
2014-03-28,37
2014-03-29,25
2014-03-30,10
2014-03-31,31
2014-04-01,31
2014-04-02,33
2014-04-03,39
2014-04-04,34
2014-04-05,17
2014-04-06,11
2014-04-07,33
2014-04-08,37
2014-04-09,40
2014-04-10,39
2014-04-11,50
2014-04-12,14
2014-04-13,10
2014-04-14,33
2014-04-15,34
2014-04-16,32
2014-04-17,44
2014-04-18,26
2014-04-19,18
2014-04-20,8
2014-04-21,43
2014-04-22,29
2014-04-23,68
2014-04-24,77
2014-04-25,36
2014-04-26,28
2014-04-27,13
2014-04-28,38
2014-04-29,29
2014-04-30,37
2014-05-01,35
2014-05-02,33
2014-05-03,11
2014-05-04,12
2014-05-05,31
2014-05-06,34
2014-05-07,37
2014-05-08,36
2014-05-09,32
2014-05-10,8
2014-05-11,5
2014-05-12,31
2014-05-13,29
2014-05-14,40
2014-05-15,35
2014-05-16,29
2014-05-17,12
2014-05-18,9
2014-05-19,27
2014-05-20,37
2014-05-21,41
2014-05-22,36
2014-05-23,36
2014-05-24,8
2014-05-25,7
2014-05-26,14
2014-05-27,42
2014-05-28,20
2014-05-29,34
2014-05-30,23
2014-05-31,20
2014-06-01,10
2014-06-02,27
2014-06-03,36
2014-06-04,22
2014-06-05,37
2014-06-06,25
2014-06-07,9
2014-06-08,13
2014-06-09,25
2014-06-10,35
2014-06-11,20
2014-06-12,21
2014-06-13,24
2014-06-14,11
2014-06-15,7
2014-06-16,27
2014-06-17,24
2014-06-18,22
2014-06-19,14
2014-06-20,25
2014-06-21,19
2014-06-22,4
2014-06-23,24
2014-06-24,14
2014-06-25,18
2014-06-26,26
2014-06-27,22
2014-06-28,16
2014-06-29,11
2014-06-30,29
2014-07-01,22
2014-07-02,28
2014-07-03,35
2014-07-04,11
2014-07-05,14
2014-07-06,4
2014-07-07,21
2014-07-08,23
2014-07-09,17
2014-07-10,32
2014-07-11,24
2014-07-12,9
2014-07-13,10
2014-07-14,23
2014-07-15,28
2014-07-16,32
2014-07-17,17
2014-07-18,25
2014-07-19,15
2014-07-20,7
2014-07-21,26
2014-07-22,37
2014-07-23,92
2014-07-24,100
