date,QCOM
2011-05-11,36
2011-05-12,27
2011-05-13,30
2011-05-14,5
2011-05-15,0
2011-05-16,20
2011-05-17,25
2011-05-18,34
2011-05-19,38
2011-05-20,36
2011-05-21,20
2011-05-22,14
2011-05-23,24
2011-05-24,19
2011-05-25,23
2011-05-26,23
2011-05-27,22
2011-05-28,5
2011-05-29,0
2011-05-30,14
2011-05-31,28
2011-06-01,17
2011-06-02,48
2011-06-03,35
2011-06-04,5
2011-06-05,22
2011-06-06,23
2011-06-07,18
2011-06-08,38
2011-06-09,23
2011-06-10,24
2011-06-11,15
2011-06-12,0
2011-06-13,10
2011-06-14,33
2011-06-15,13
2011-06-16,11
2011-06-17,26
2011-06-18,7
2011-06-19,19
2011-06-20,26
2011-06-21,33
2011-06-22,21
2011-06-23,18
2011-06-24,16
2011-06-25,15
2011-06-26,10
2011-06-27,17
2011-06-28,30
2011-06-29,34
2011-06-30,35
2011-07-01,28
2011-07-02,7
2011-07-03,7
2011-07-04,14
2011-07-05,33
2011-07-06,23
2011-07-07,39
2011-07-08,35
2011-07-09,12
2011-07-10,20
2011-07-11,40
2011-07-12,25
2011-07-13,27
2011-07-14,29
2011-07-15,43
2011-07-16,12
2011-07-17,10
2011-07-18,38
2011-07-19,28
2011-07-20,77
2011-07-21,66
2011-07-22,55
2011-07-23,7
2011-07-24,14
2011-07-25,43
2011-07-26,17
2011-07-27,34
2011-07-28,35
2011-07-29,22
2011-07-30,15
2011-07-31,10
2011-08-01,40
2011-08-02,54
2011-08-03,32
2011-08-04,32
2011-08-05,44
2011-08-06,10
2011-08-07,7
2011-08-08,59
2011-08-09,74
2011-08-10,53
2011-08-11,47
2011-08-12,42
2011-08-13,24
2011-08-14,10
2011-08-15,37
2011-08-16,44
2011-08-17,40
2011-08-18,36
2011-08-19,39
2011-08-20,16
2011-08-21,9
2011-08-22,27
2011-08-23,58
2011-08-24,24
2011-08-25,33
2011-08-26,31
2011-08-27,11
2011-08-28,5
2011-08-29,42
2011-08-30,26
2011-08-31,35
2011-09-01,24
2011-09-02,25
2011-09-03,4
2011-09-04,4
2011-09-05,7
2011-09-06,23
2011-09-07,41
2011-09-08,35
2011-09-09,40
2011-09-10,15
2011-09-11,6
2011-09-12,17
2011-09-13,33
2011-09-14,28
2011-09-15,26
2011-09-16,43
2011-09-17,4
2011-09-18,11
2011-09-19,28
2011-09-20,21
2011-09-21,34
2011-09-22,21
2011-09-23,37
2011-09-24,9
2011-09-25,23
2011-09-26,27
2011-09-27,31
2011-09-28,19
2011-09-29,23
2011-09-30,18
2011-10-01,9
2011-10-02,13
2011-10-03,35
2011-10-04,34
2011-10-05,31
2011-10-06,34
2011-10-07,18
2011-10-08,13
2011-10-09,12
2011-10-10,29
2011-10-11,21
2011-10-12,17
2011-10-13,39
2011-10-14,32
2011-10-15,8
2011-10-16,4
2011-10-17,32
2011-10-18,39
2011-10-19,39
2011-10-20,29
2011-10-21,30
2011-10-22,13
2011-10-23,12
2011-10-24,28
2011-10-25,30
2011-10-26,24
2011-10-27,39
2011-10-28,18
2011-10-29,15
2011-10-30,16
2011-10-31,30
2011-11-01,23
2011-11-02,100
2011-11-03,86
2011-11-04,56
2011-11-05,14
2011-11-06,14
2011-11-07,38
2011-11-08,41
2011-11-09,47
2011-11-10,39
2011-11-11,33
2011-11-12,14
2011-11-13,4
2011-11-14,31
2011-11-15,33
2011-11-16,48
2011-11-17,37
2011-11-18,23
2011-11-19,22
2011-11-20,10
2011-11-21,26
2011-11-22,33
2011-11-23,35
2011-11-24,12
2011-11-25,23
2011-11-26,18
2011-11-27,8
2011-11-28,31
2011-11-29,36
2011-11-30,39
2011-12-01,33
2011-12-02,22
2011-12-03,8
2011-12-04,12
2011-12-05,18
2011-12-06,32
2011-12-07,24
2011-12-08,23
2011-12-09,30
2011-12-10,8
2011-12-11,12
2011-12-12,29
2011-12-13,31
2011-12-14,29
2011-12-15,22
2011-12-16,28
2011-12-17,4
2011-12-18,14
2011-12-19,21
2011-12-20,30
2011-12-21,22
2011-12-22,27
2011-12-23,27
2011-12-24,7
2011-12-25,24
2011-12-26,20
2011-12-27,30
2011-12-28,14
2011-12-29,26
2011-12-30,13
2011-12-31,15
2012-01-01,14
2012-01-02,16
2012-01-03,34
2012-01-04,29
2012-01-05,26
2012-01-06,22
2012-01-07,12
2012-01-08,7
2012-01-09,17
2012-01-10,37
2012-01-11,36
2012-01-12,13
2012-01-13,33
2012-01-14,23
2012-01-15,17
2012-01-16,23
2012-01-17,31
2012-01-18,37
2012-01-19,31
2012-01-20,40
2012-01-21,20
2012-01-22,15
2012-01-23,29
2012-01-24,46
2012-01-25,55
2012-01-26,30
