date,QCOM
2016-09-11,8
2016-09-12,19
2016-09-13,17
2016-09-14,22
2016-09-15,18
2016-09-16,25
2016-09-17,7
2016-09-18,7
2016-09-19,22
2016-09-20,20
2016-09-21,17
2016-09-22,19
2016-09-23,17
2016-09-24,7
2016-09-25,5
2016-09-26,15
2016-09-27,20
2016-09-28,17
2016-09-29,54
2016-09-30,65
2016-10-01,14
2016-10-02,7
2016-10-03,28
2016-10-04,30
2016-10-05,22
2016-10-06,28
2016-10-07,20
2016-10-08,9
2016-10-09,8
2016-10-10,22
2016-10-11,19
2016-10-12,16
2016-10-13,18
2016-10-14,17
2016-10-15,9
2016-10-16,6
2016-10-17,16
2016-10-18,26
2016-10-19,23
2016-10-20,20
2016-10-21,30
2016-10-22,8
2016-10-23,6
2016-10-24,21
2016-10-25,20
2016-10-26,26
2016-10-27,61
2016-10-28,42
2016-10-29,13
2016-10-30,9
2016-10-31,35
2016-11-01,27
2016-11-02,42
2016-11-03,28
2016-11-04,25
2016-11-05,10
2016-11-06,3
2016-11-07,22
2016-11-08,21
2016-11-09,35
2016-11-10,29
2016-11-11,21
2016-11-12,11
2016-11-13,8
2016-11-14,19
2016-11-15,21
2016-11-16,19
2016-11-17,24
2016-11-18,20
2016-11-19,6
2016-11-20,7
2016-11-21,26
2016-11-22,27
2016-11-23,21
2016-11-24,11
2016-11-25,15
2016-11-26,7
2016-11-27,4
2016-11-28,14
2016-11-29,20
2016-11-30,16
2016-12-01,24
2016-12-02,19
2016-12-03,9
2016-12-04,5
2016-12-05,16
2016-12-06,17
2016-12-07,22
2016-12-08,19
2016-12-09,19
2016-12-10,4
2016-12-11,5
2016-12-12,19
2016-12-13,21
2016-12-14,25
2016-12-15,18
2016-12-16,19
2016-12-17,8
2016-12-18,5
2016-12-19,18
2016-12-20,20
2016-12-21,20
2016-12-22,16
2016-12-23,15
2016-12-24,5
2016-12-25,5
2016-12-26,9
2016-12-27,15
2016-12-28,21
2016-12-29,20
2016-12-30,8
2016-12-31,7
2017-01-01,2
2017-01-02,11
2017-01-03,23
2017-01-04,19
2017-01-05,20
2017-01-06,20
2017-01-07,9
2017-01-08,5
2017-01-09,18
2017-01-10,17
2017-01-11,20
2017-01-12,20
2017-01-13,22
2017-01-14,12
2017-01-15,6
2017-01-16,14
2017-01-17,34
2017-01-18,35
2017-01-19,26
2017-01-20,40
2017-01-21,21
2017-01-22,7
2017-01-23,100
2017-01-24,78
2017-01-25,93
2017-01-26,81
2017-01-27,61
2017-01-28,13
2017-01-29,9
2017-01-30,39
2017-01-31,33
2017-02-01,38
2017-02-02,41
2017-02-03,36
2017-02-04,10
2017-02-05,7
2017-02-06,27
2017-02-07,25
2017-02-08,29
2017-02-09,32
2017-02-10,31
2017-02-11,15
2017-02-12,6
2017-02-13,35
2017-02-14,35
2017-02-15,42
2017-02-16,35
2017-02-17,26
2017-02-18,17
2017-02-19,10
2017-02-20,16
2017-02-21,28
2017-02-22,30
2017-02-23,34
2017-02-24,27
2017-02-25,11
2017-02-26,9
2017-02-27,26
2017-02-28,25
2017-03-01,26
2017-03-02,28
2017-03-03,26
2017-03-04,13
2017-03-05,9
2017-03-06,21
2017-03-07,25
2017-03-08,36
2017-03-09,26
2017-03-10,28
2017-03-11,10
2017-03-12,7
2017-03-13,22
2017-03-14,34
2017-03-15,25
2017-03-16,23
2017-03-17,22
2017-03-18,9
2017-03-19,7
2017-03-20,21
2017-03-21,27
2017-03-22,24
2017-03-23,25
2017-03-24,21
2017-03-25,6
2017-03-26,7
2017-03-27,20
2017-03-28,19
2017-03-29,25
2017-03-30,18
2017-03-31,18
2017-04-01,9
