date,QCOM
2014-12-01,13
2014-12-02,15
2014-12-03,26
2014-12-04,21
2014-12-05,19
2014-12-06,4
2014-12-07,7
2014-12-08,18
2014-12-09,18
2014-12-10,25
2014-12-11,21
2014-12-12,21
2014-12-13,9
2014-12-14,6
2014-12-15,25
2014-12-16,20
2014-12-17,21
2014-12-18,25
2014-12-19,24
2014-12-20,9
2014-12-21,7
2014-12-22,18
2014-12-23,23
2014-12-24,16
2014-12-25,8
2014-12-26,20
2014-12-27,16
2014-12-28,8
2014-12-29,23
2014-12-30,28
2014-12-31,20
2015-01-01,13
2015-01-02,13
2015-01-03,10
2015-01-04,6
2015-01-05,16
2015-01-06,20
2015-01-07,13
2015-01-08,19
2015-01-09,22
2015-01-10,10
2015-01-11,7
2015-01-12,23
2015-01-13,21
2015-01-14,16
2015-01-15,22
2015-01-16,24
2015-01-17,11
2015-01-18,4
2015-01-19,12
2015-01-20,22
2015-01-21,28
2015-01-22,21
2015-01-23,22
2015-01-24,10
2015-01-25,10
2015-01-26,16
2015-01-27,27
2015-01-28,52
2015-01-29,86
2015-01-30,47
2015-01-31,21
2015-02-01,6
2015-02-02,31
2015-02-03,31
2015-02-04,31
2015-02-05,29
2015-02-06,32
2015-02-07,10
2015-02-08,11
2015-02-09,43
2015-02-10,62
2015-02-11,38
2015-02-12,34
2015-02-13,31
2015-02-14,5
2015-02-15,7
2015-02-16,10
2015-02-17,22
2015-02-18,21
2015-02-19,19
2015-02-20,20
2015-02-21,14
2015-02-22,6
2015-02-23,23
2015-02-24,23
2015-02-25,21
2015-02-26,16
2015-02-27,17
2015-02-28,7
2015-03-01,9
2015-03-02,20
2015-03-03,23
2015-03-04,19
2015-03-05,21
2015-03-06,19
2015-03-07,6
2015-03-08,5
2015-03-09,33
2015-03-10,37
2015-03-11,31
2015-03-12,29
2015-03-13,24
2015-03-14,10
2015-03-15,6
2015-03-16,15
2015-03-17,21
2015-03-18,21
2015-03-19,21
2015-03-20,17
2015-03-21,8
2015-03-22,5
2015-03-23,21
2015-03-24,17
2015-03-25,20
2015-03-26,26
2015-03-27,18
2015-03-28,13
2015-03-29,2
2015-03-30,22
2015-03-31,19
2015-04-01,14
2015-04-02,21
2015-04-03,17
2015-04-04,8
2015-04-05,8
2015-04-06,18
2015-04-07,23
2015-04-08,22
2015-04-09,17
2015-04-10,19
2015-04-11,10
2015-04-12,7
2015-04-13,35
2015-04-14,33
2015-04-15,21
2015-04-16,24
2015-04-17,22
2015-04-18,7
2015-04-19,5
2015-04-20,22
2015-04-21,22
2015-04-22,44
2015-04-23,47
2015-04-24,27
2015-04-25,9
2015-04-26,12
2015-04-27,27
2015-04-28,30
2015-04-29,21
2015-04-30,22
2015-05-01,25
2015-05-02,7
2015-05-03,4
2015-05-04,22
2015-05-05,15
2015-05-06,13
2015-05-07,17
2015-05-08,16
2015-05-09,8
2015-05-10,5
2015-05-11,13
2015-05-12,16
2015-05-13,27
2015-05-14,26
2015-05-15,23
2015-05-16,10
2015-05-17,7
2015-05-18,23
2015-05-19,20
2015-05-20,21
2015-05-21,25
2015-05-22,22
2015-05-23,8
2015-05-24,4
2015-05-25,9
2015-05-26,22
2015-05-27,20
2015-05-28,18
2015-05-29,19
2015-05-30,7
2015-05-31,8
2015-06-01,24
2015-06-02,24
2015-06-03,24
2015-06-04,12
2015-06-05,20
2015-06-06,9
2015-06-07,4
2015-06-08,14
2015-06-09,16
2015-06-10,20
2015-06-11,20
2015-06-12,18
2015-06-13,5
2015-06-14,5
2015-06-15,17
2015-06-16,16
2015-06-17,15
2015-06-18,20
2015-06-19,12
2015-06-20,8
2015-06-21,5
2015-06-22,18
2015-06-23,21
2015-06-24,20
2015-06-25,22
2015-06-26,25
2015-06-27,5
2015-06-28,7
2015-06-29,26
2015-06-30,24
2015-07-01,23
2015-07-02,21
2015-07-03,10
2015-07-04,6
2015-07-05,7
2015-07-06,17
2015-07-07,28
2015-07-08,24
2015-07-09,27
2015-07-10,22
2015-07-11,7
2015-07-12,8
2015-07-13,20
2015-07-14,27
2015-07-15,24
2015-07-16,32
2015-07-17,25
2015-07-18,12
2015-07-19,6
2015-07-20,30
2015-07-21,57
2015-07-22,100
2015-07-23,77
2015-07-24,46
2015-07-25,17
2015-07-26,11
2015-07-27,35
2015-07-28,31
2015-07-29,27
2015-07-30,28
2015-07-31,28
2015-08-01,14
2015-08-02,7
2015-08-03,21
2015-08-04,30
2015-08-05,23
2015-08-06,21
2015-08-07,24
2015-08-08,10
2015-08-09,7
2015-08-10,22
2015-08-11,20
2015-08-12,20
2015-08-13,18
2015-08-14,25
2015-08-15,7
2015-08-16,5
2015-08-17,17
2015-08-18,21
