date,QCOM
2013-02-19,18
2013-02-20,35
2013-02-21,37
2013-02-22,35
2013-02-23,15
2013-02-24,9
2013-02-25,37
2013-02-26,33
2013-02-27,36
2013-02-28,40
2013-03-01,36
2013-03-02,12
2013-03-03,12
2013-03-04,28
2013-03-05,74
2013-03-06,49
2013-03-07,45
2013-03-08,44
2013-03-09,15
2013-03-10,10
2013-03-11,26
2013-03-12,34
2013-03-13,37
2013-03-14,28
2013-03-15,42
2013-03-16,15
2013-03-17,9
2013-03-18,34
2013-03-19,23
2013-03-20,33
2013-03-21,38
2013-03-22,30
2013-03-23,17
2013-03-24,8
2013-03-25,31
2013-03-26,25
2013-03-27,26
2013-03-28,29
2013-03-29,23
2013-03-30,11
2013-03-31,10
2013-04-01,20
2013-04-02,31
2013-04-03,34
2013-04-04,25
2013-04-05,29
2013-04-06,11
2013-04-07,10
2013-04-08,25
2013-04-09,30
2013-04-10,32
2013-04-11,27
2013-04-12,30
2013-04-13,12
2013-04-14,11
2013-04-15,21
2013-04-16,31
2013-04-17,27
2013-04-18,23
2013-04-19,29
2013-04-20,8
2013-04-21,8
2013-04-22,26
2013-04-23,35
2013-04-24,86
2013-04-25,100
2013-04-26,55
2013-04-27,19
2013-04-28,11
2013-04-29,45
2013-04-30,34
2013-05-01,39
2013-05-02,37
2013-05-03,32
2013-05-04,19
2013-05-05,10
2013-05-06,26
2013-05-07,38
2013-05-08,41
2013-05-09,31
2013-05-10,36
2013-05-11,4
2013-05-12,5
2013-05-13,34
2013-05-14,34
2013-05-15,29
2013-05-16,42
2013-05-17,39
2013-05-18,17
2013-05-19,15
2013-05-20,43
2013-05-21,34
2013-05-22,25
2013-05-23,36
2013-05-24,30
2013-05-25,17
2013-05-26,7
2013-05-27,13
2013-05-28,33
2013-05-29,39
2013-05-30,39
2013-05-31,34
2013-06-01,13
2013-06-02,9
2013-06-03,27
2013-06-04,35
2013-06-05,20
2013-06-06,24
2013-06-07,48
2013-06-08,10
2013-06-09,9
2013-06-10,33
2013-06-11,23
2013-06-12,25
2013-06-13,27
2013-06-14,27
2013-06-15,13
2013-06-16,8
2013-06-17,28
2013-06-18,30
2013-06-19,32
2013-06-20,31
2013-06-21,26
2013-06-22,13
2013-06-23,9
2013-06-24,32
2013-06-25,34
2013-06-26,28
2013-06-27,30
2013-06-28,22
2013-06-29,8
2013-06-30,8
2013-07-01,37
2013-07-02,28
2013-07-03,27
2013-07-04,9
2013-07-05,19
2013-07-06,15
2013-07-07,7
2013-07-08,31
2013-07-09,31
2013-07-10,39
2013-07-11,34
2013-07-12,38
2013-07-13,18
2013-07-14,10
2013-07-15,28
2013-07-16,42
2013-07-17,37
2013-07-18,37
2013-07-19,38
2013-07-20,11
2013-07-21,6
2013-07-22,25
2013-07-23,43
2013-07-24,96
2013-07-25,99
2013-07-26,59
2013-07-27,21
2013-07-28,12
2013-07-29,46
2013-07-30,47
2013-07-31,36
2013-08-01,58
2013-08-02,61
2013-08-03,28
2013-08-04,13
2013-08-05,42
2013-08-06,40
2013-08-07,36
2013-08-08,43
2013-08-09,29
2013-08-10,17
2013-08-11,11
2013-08-12,34
2013-08-13,39
2013-08-14,41
2013-08-15,41
2013-08-16,41
2013-08-17,16
2013-08-18,10
2013-08-19,31
2013-08-20,36
2013-08-21,39
2013-08-22,30
2013-08-23,49
2013-08-24,17
2013-08-25,13
2013-08-26,32
2013-08-27,36
2013-08-28,39
2013-08-29,33
2013-08-30,33
2013-08-31,15
2013-09-01,11
2013-09-02,14
2013-09-03,40
2013-09-04,44
2013-09-05,40
2013-09-06,45
2013-09-07,14
2013-09-08,10
2013-09-09,51
2013-09-10,73
2013-09-11,73
2013-09-12,56
2013-09-13,55
2013-09-14,20
2013-09-15,10
2013-09-16,39
2013-09-17,35
2013-09-18,59
2013-09-19,46
2013-09-20,41
2013-09-21,8
2013-09-22,12
2013-09-23,43
2013-09-24,34
2013-09-25,42
2013-09-26,35
2013-09-27,45
2013-09-28,14
2013-09-29,7
2013-09-30,29
2013-10-01,41
2013-10-02,39
2013-10-03,28
2013-10-04,34
2013-10-05,9
2013-10-06,8
2013-10-07,38
2013-10-08,39
2013-10-09,39
2013-10-10,31
2013-10-11,38
2013-10-12,7
2013-10-13,12
2013-10-14,26
2013-10-15,34
2013-10-16,38
2013-10-17,34
2013-10-18,32
2013-10-19,13
2013-10-20,7
2013-10-21,33
2013-10-22,33
2013-10-23,42
2013-10-24,34
2013-10-25,39
2013-10-26,11
2013-10-27,13
2013-10-28,33
2013-10-29,34
2013-10-30,31
2013-10-31,25
2013-11-01,30
2013-11-02,17
2013-11-03,8
2013-11-04,38
2013-11-05,35
2013-11-06,75
