date,QCOM
2010-08-24,17
2010-08-25,22
2010-08-26,16
2010-08-27,18
2010-08-28,8
2010-08-29,15
2010-08-30,20
2010-08-31,15
2010-09-01,24
2010-09-02,17
2010-09-03,23
2010-09-04,16
2010-09-05,9
2010-09-06,14
2010-09-07,26
2010-09-08,19
2010-09-09,29
2010-09-10,15
2010-09-11,12
2010-09-12,13
2010-09-13,23
2010-09-14,34
2010-09-15,43
2010-09-16,27
2010-09-17,27
2010-09-18,12
2010-09-19,11
2010-09-20,27
2010-09-21,36
2010-09-22,30
2010-09-23,28
2010-09-24,25
2010-09-25,15
2010-09-26,7
2010-09-27,33
2010-09-28,31
2010-09-29,17
2010-09-30,44
2010-10-01,29
2010-10-02,9
2010-10-03,7
2010-10-04,36
2010-10-05,39
2010-10-06,25
2010-10-07,31
2010-10-08,31
2010-10-09,17
2010-10-10,22
2010-10-11,24
2010-10-12,22
2010-10-13,46
2010-10-14,32
2010-10-15,44
2010-10-16,16
2010-10-17,24
2010-10-18,18
2010-10-19,32
2010-10-20,17
2010-10-21,38
2010-10-22,21
2010-10-23,9
2010-10-24,9
2010-10-25,20
2010-10-26,17
2010-10-27,26
2010-10-28,24
2010-10-29,35
2010-10-30,16
2010-10-31,14
2010-11-01,29
2010-11-02,36
2010-11-03,63
2010-11-04,86
2010-11-05,44
2010-11-06,11
2010-11-07,13
2010-11-08,41
2010-11-09,29
2010-11-10,27
2010-11-11,33
2010-11-12,19
2010-11-13,8
2010-11-14,14
2010-11-15,21
2010-11-16,19
2010-11-17,33
2010-11-18,37
2010-11-19,22
2010-11-20,11
2010-11-21,10
2010-11-22,27
2010-11-23,22
2010-11-24,21
2010-11-25,9
2010-11-26,14
2010-11-27,10
2010-11-28,10
2010-11-29,16
2010-11-30,15
2010-12-01,16
2010-12-02,18
2010-12-03,23
2010-12-04,21
2010-12-05,9
2010-12-06,16
2010-12-07,25
2010-12-08,14
2010-12-09,13
2010-12-10,28
2010-12-11,11
2010-12-12,9
2010-12-13,14
2010-12-14,18
2010-12-15,21
2010-12-16,24
2010-12-17,24
2010-12-18,16
2010-12-19,12
2010-12-20,29
2010-12-21,41
2010-12-22,31
2010-12-23,24
2010-12-24,11
2010-12-25,11
2010-12-26,15
2010-12-27,33
2010-12-28,29
2010-12-29,29
2010-12-30,19
2010-12-31,24
2011-01-01,10
2011-01-02,11
2011-01-03,31
2011-01-04,43
2011-01-05,66
2011-01-06,59
2011-01-07,47
2011-01-08,27
2011-01-09,21
2011-01-10,25
2011-01-11,49
2011-01-12,36
2011-01-13,40
2011-01-14,23
2011-01-15,23
2011-01-16,21
2011-01-17,21
2011-01-18,32
2011-01-19,29
2011-01-20,42
2011-01-21,28
2011-01-22,19
2011-01-23,14
2011-01-24,32
2011-01-25,35
2011-01-26,54
2011-01-27,87
2011-01-28,56
2011-01-29,25
2011-01-30,12
2011-01-31,29
2011-02-01,57
2011-02-02,31
2011-02-03,39
2011-02-04,28
2011-02-05,20
2011-02-06,8
2011-02-07,36
2011-02-08,48
2011-02-09,50
2011-02-10,48
2011-02-11,38
2011-02-12,19
2011-02-13,11
2011-02-14,54
2011-02-15,47
2011-02-16,49
2011-02-17,64
2011-02-18,70
2011-02-19,22
2011-02-20,19
2011-02-21,16
2011-02-22,35
2011-02-23,50
2011-02-24,46
2011-02-25,40
2011-02-26,6
2011-02-27,15
2011-02-28,33
2011-03-01,36
2011-03-02,35
2011-03-03,40
2011-03-04,28
2011-03-05,14
2011-03-06,10
2011-03-07,25
2011-03-08,48
2011-03-09,34
2011-03-10,47
2011-03-11,35
2011-03-12,18
2011-03-13,8
2011-03-14,30
2011-03-15,38
2011-03-16,31
2011-03-17,42
2011-03-18,36
2011-03-19,11
2011-03-20,14
2011-03-21,33
2011-03-22,31
2011-03-23,35
2011-03-24,21
2011-03-25,27
2011-03-26,17
2011-03-27,8
2011-03-28,22
2011-03-29,36
2011-03-30,29
2011-03-31,21
2011-04-01,23
2011-04-02,18
2011-04-03,14
2011-04-04,37
2011-04-05,41
2011-04-06,32
2011-04-07,17
2011-04-08,26
2011-04-09,24
2011-04-10,8
2011-04-11,29
2011-04-12,40
2011-04-13,20
2011-04-14,44
2011-04-15,37
2011-04-16,14
2011-04-17,8
2011-04-18,27
2011-04-19,22
2011-04-20,89
2011-04-21,100
2011-04-22,30
2011-04-23,23
2011-04-24,21
2011-04-25,32
2011-04-26,31
2011-04-27,46
2011-04-28,43
2011-04-29,31
2011-04-30,18
2011-05-01,16
2011-05-02,38
2011-05-03,37
2011-05-04,30
2011-05-05,42
2011-05-06,31
2011-05-07,10
2011-05-08,10
2011-05-09,19
2011-05-10,22
2011-05-11,29
