date,HSIC,isPartial
2016-09-11,0,False
2016-09-12,21,False
2016-09-13,20,False
2016-09-14,20,False
2016-09-15,20,False
2016-09-16,21,False
2016-09-17,23,False
2016-09-18,0,False
2016-09-19,39,False
2016-09-20,39,False
2016-09-21,0,False
2016-09-22,41,False
2016-09-23,63,False
2016-09-24,0,False
2016-09-25,23,False
2016-09-26,20,False
2016-09-27,20,False
2016-09-28,20,False
2016-09-29,20,False
2016-09-30,0,False
2016-10-01,22,False
2016-10-02,44,False
2016-10-03,0,False
2016-10-04,0,False
2016-10-05,0,False
2016-10-06,20,False
2016-10-07,20,False
2016-10-08,0,False
2016-10-09,0,False
2016-10-10,0,False
2016-10-11,0,False
2016-10-12,20,False
2016-10-13,40,False
2016-10-14,21,False
2016-10-15,0,False
2016-10-16,0,False
2016-10-17,0,False
2016-10-18,58,False
2016-10-19,39,False
2016-10-20,20,False
2016-10-21,21,False
2016-10-22,0,False
2016-10-23,0,False
2016-10-24,0,False
2016-10-25,20,False
2016-10-26,20,False
2016-10-27,0,False
2016-10-28,0,False
2016-10-29,0,False
2016-10-30,0,False
2016-10-31,61,False
2016-11-01,41,False
2016-11-02,100,False
2016-11-03,58,False
2016-11-04,20,False
2016-11-05,23,False
2016-11-06,0,False
2016-11-07,58,False
2016-11-08,38,False
2016-11-09,35,False
2016-11-10,59,False
2016-11-11,20,False
2016-11-12,45,False
2016-11-13,0,False
2016-11-14,58,False
2016-11-15,0,False
2016-11-16,38,False
2016-11-17,59,False
2016-11-18,20,False
2016-11-19,0,False
2016-11-20,0,False
2016-11-21,38,False
2016-11-22,38,False
2016-11-23,58,False
2016-11-24,20,False
2016-11-25,0,False
2016-11-26,0,False
2016-11-27,0,False
2016-11-28,0,False
2016-11-29,55,False
2016-11-30,19,False
2016-12-01,0,False
2016-12-02,39,False
2016-12-03,0,False
2016-12-04,20,False
2016-12-05,17,False
2016-12-06,18,False
2016-12-07,19,False
2016-12-08,19,False
2016-12-09,0,False
2016-12-10,22,False
2016-12-11,0,False
2016-12-12,0,False
2016-12-13,18,False
2016-12-14,37,False
2016-12-15,19,False
2016-12-16,0,False
2016-12-17,22,False
2016-12-18,22,False
