date,HSIC
2011-01-01,45
2011-01-02,40
2011-01-03,32
2011-01-04,31
2011-01-05,31
2011-01-06,0
2011-01-07,48
2011-01-08,0
2011-01-09,0
2011-01-10,30
2011-01-11,30
2011-01-12,29
2011-01-13,30
2011-01-14,0
2011-01-15,49
2011-01-16,0
2011-01-17,0
2011-01-18,44
2011-01-19,59
2011-01-20,29
2011-01-21,61
2011-01-22,36
2011-01-23,36
2011-01-24,29
2011-01-25,29
2011-01-26,44
2011-01-27,29
2011-01-28,31
2011-01-29,0
2011-01-30,34
2011-01-31,28
2011-02-01,28
2011-02-02,56
2011-02-03,28
2011-02-04,45
2011-02-05,0
2011-02-06,0
2011-02-07,28
2011-02-08,38
2011-02-09,29
2011-02-10,29
2011-02-11,30
2011-02-12,36
2011-02-13,0
2011-02-14,57
2011-02-15,0
2011-02-16,42
2011-02-17,58
2011-02-18,30
2011-02-19,36
2011-02-20,35
2011-02-21,57
2011-02-22,71
2011-02-23,29
2011-02-24,58
2011-02-25,45
2011-02-26,35
2011-02-27,0
2011-02-28,56
2011-03-01,42
2011-03-02,43
2011-03-03,29
2011-03-04,92
2011-03-05,0
2011-03-06,36
2011-03-07,43
2011-03-08,58
2011-03-09,28
2011-03-10,57
2011-03-11,43
2011-03-12,0
2011-03-13,0
2011-03-14,49
2011-03-15,0
2011-03-16,56
2011-03-17,43
2011-03-18,45
2011-03-19,0
2011-03-20,70
2011-03-21,42
2011-03-22,28
2011-03-23,28
2011-03-24,29
2011-03-25,40
2011-03-26,0
2011-03-27,34
2011-03-28,42
2011-03-29,28
2011-03-30,56
2011-03-31,56
2011-04-01,45
2011-04-02,0
2011-04-03,35
2011-04-04,42
2011-04-05,28
2011-04-06,28
2011-04-07,58
2011-04-08,50
2011-04-09,0
2011-04-10,0
2011-04-11,37
2011-04-12,56
2011-04-13,100
2011-04-14,44
2011-04-15,30
2011-04-16,0
2011-04-17,0
2011-04-18,29
2011-04-19,48
2011-04-20,59
2011-04-21,63
2011-04-22,69
2011-04-23,38
2011-04-24,0
2011-04-25,31
2011-04-26,56
2011-04-27,28
2011-04-28,42
2011-04-29,60
2011-04-30,36
2011-05-01,36
2011-05-02,28
2011-05-03,47
2011-05-04,43
2011-05-05,29
2011-05-06,91
2011-05-07,0
2011-05-08,37
2011-05-09,42
2011-05-10,0
2011-05-11,37
2011-05-12,28
2011-05-13,29
2011-05-14,0
2011-05-15,0
2011-05-16,27
2011-05-17,41
2011-05-18,28
2011-05-19,29
2011-05-20,59
2011-05-21,0
2011-05-22,0
2011-05-23,27
2011-05-24,28
2011-05-25,0
2011-05-26,56
2011-05-27,30
2011-05-28,0
2011-05-29,36
2011-05-30,30
2011-05-31,28
2011-06-01,28
2011-06-02,44
2011-06-03,0
2011-06-04,0
2011-06-05,0
2011-06-06,42
2011-06-07,41
2011-06-08,46
2011-06-09,28
2011-06-10,44
2011-06-11,0
2011-06-12,36
2011-06-13,42
2011-06-14,28
2011-06-15,46
2011-06-16,56
2011-06-17,59
2011-06-18,36
2011-06-19,0
2011-06-20,45
2011-06-21,55
2011-06-22,56
2011-06-23,44
2011-06-24,30
2011-06-25,0
2011-06-26,0
2011-06-27,0
2011-06-28,28
2011-06-29,28
2011-06-30,57
2011-07-01,50
2011-07-02,0
2011-07-03,0
2011-07-04,44
2011-07-05,57
2011-07-06,47
2011-07-07,48
2011-07-08,30
2011-07-09,0
2011-07-10,0
2011-07-11,28
2011-07-12,70
2011-07-13,56
2011-07-14,58
2011-07-15,41
2011-07-16,0
2011-07-17,37
2011-07-18,28
2011-07-19,56
2011-07-20,57
2011-07-21,28
2011-07-22,30
2011-07-23,0
2011-07-24,0
2011-07-25,28
2011-07-26,42
2011-07-27,0
2011-07-28,86
2011-07-29,0
2011-07-30,0
2011-07-31,36
2011-08-01,57
2011-08-02,28
2011-08-03,28
2011-08-04,56
2011-08-05,29
2011-08-06,35
2011-08-07,34
2011-08-08,27
2011-08-09,27
2011-08-10,37
2011-08-11,56
2011-08-12,30
2011-08-13,36
2011-08-14,0
2011-08-15,44
2011-08-16,65
2011-08-17,56
2011-08-18,28
2011-08-19,87
2011-08-20,35
2011-08-21,34
2011-08-22,0
2011-08-23,40
2011-08-24,27
2011-08-25,54
2011-08-26,42
2011-08-27,33
2011-08-28,0
2011-08-29,27
2011-08-30,27
2011-08-31,54
2011-09-01,54
2011-09-02,47
2011-09-03,0
2011-09-04,0
2011-09-05,0
2011-09-06,51
2011-09-07,0
2011-09-08,79
2011-09-09,54
2011-09-10,0
2011-09-11,0
2011-09-12,38
2011-09-13,25
2011-09-14,52
2011-09-15,26
2011-09-16,41
2011-09-17,32
2011-09-18,0
