date,HSIC,isPartial
2012-10-12,68,False
2012-10-13,0,False
2012-10-14,0,False
2012-10-15,0,False
2012-10-16,62,False
2012-10-17,0,False
2012-10-18,63,False
2012-10-19,33,False
2012-10-20,77,False
2012-10-21,0,False
2012-10-22,31,False
2012-10-23,31,False
2012-10-24,0,False
2012-10-25,32,False
2012-10-26,100,False
2012-10-27,78,False
2012-10-28,0,False
2012-10-29,31,False
2012-10-30,0,False
2012-10-31,32,False
2012-11-01,33,False
2012-11-02,0,False
2012-11-03,0,False
2012-11-04,0,False
2012-11-05,0,False
2012-11-06,0,False
2012-11-07,30,False
2012-11-08,0,False
2012-11-09,0,False
2012-11-10,0,False
2012-11-11,0,False
2012-11-12,31,False
2012-11-13,93,False
2012-11-14,0,False
2012-11-15,0,False
2012-11-16,65,False
2012-11-17,0,False
2012-11-18,36,False
2012-11-19,30,False
2012-11-20,0,False
2012-11-21,62,False
2012-11-22,0,False
2012-11-23,0,False
2012-11-24,0,False
2012-11-25,0,False
2012-11-26,0,False
2012-11-27,60,False
2012-11-28,91,False
2012-11-29,0,False
2012-11-30,32,False
2012-12-01,0,False
2012-12-02,0,False
2012-12-03,0,False
2012-12-04,89,False
2012-12-05,30,False
2012-12-06,92,False
2012-12-07,0,False
2012-12-08,37,False
2012-12-09,0,False
2012-12-10,30,False
2012-12-11,60,False
2012-12-12,61,False
2012-12-13,31,False
2012-12-14,63,False
2012-12-15,36,False
2012-12-16,36,False
2012-12-17,30,False
2012-12-18,91,False
2012-12-19,31,False
2012-12-20,31,False
2012-12-21,0,False
2012-12-22,38,False
2012-12-23,0,False
2012-12-24,77,False
2012-12-25,0,False
2012-12-26,35,False
2012-12-27,0,False
2012-12-28,0,False
2012-12-29,0,False
2012-12-30,0,False
2012-12-31,0,False
2013-01-01,39,False
2013-01-02,31,False
2013-01-03,60,False
2013-01-04,0,False
2013-01-05,0,False
2013-01-06,0,False
2013-01-07,30,False
2013-01-08,29,False
2013-01-09,29,False
2013-01-10,29,False
2013-01-11,30,False
2013-01-12,0,False
2013-01-13,0,False
2013-01-14,58,False
2013-01-15,29,False
2013-01-16,29,False
2013-01-17,58,False
2013-01-18,0,False
2013-01-19,0,False
2013-01-20,0,False
2013-01-21,0,False
2013-01-22,87,False
2013-01-23,29,False
2013-01-24,0,False
2013-01-25,60,False
2013-01-26,0,False
2013-01-27,33,False
2013-01-28,28,False
2013-01-29,0,False
2013-01-30,28,False
2013-01-31,87,False
2013-02-01,30,False
2013-02-02,68,False
2013-02-03,33,False
2013-02-04,0,False
2013-02-05,0,False
2013-02-06,0,False
2013-02-07,0,False
2013-02-08,30,False
2013-02-09,69,False
2013-02-10,0,False
2013-02-11,0,False
2013-02-12,29,False
2013-02-13,0,False
2013-02-14,59,False
2013-02-15,60,False
2013-02-16,34,False
2013-02-17,0,False
2013-02-18,0,False
2013-02-19,28,False
2013-02-20,0,False
2013-02-21,29,False
2013-02-22,0,False
2013-02-23,34,False
2013-02-24,33,False
2013-02-25,0,False
2013-02-26,0,False
2013-02-27,0,False
2013-02-28,28,False
2013-03-01,30,False
2013-03-02,33,False
2013-03-03,0,False
2013-03-04,56,False
2013-03-05,28,False
2013-03-06,57,False
2013-03-07,28,False
2013-03-08,29,False
2013-03-09,0,False
2013-03-10,33,False
2013-03-11,55,False
2013-03-12,27,False
2013-03-13,0,False
2013-03-14,0,False
2013-03-15,0,False
2013-03-16,0,False
2013-03-17,0,False
2013-03-18,27,False
2013-03-19,0,False
2013-03-20,28,False
2013-03-21,56,False
2013-03-22,0,False
2013-03-23,33,False
2013-03-24,66,False
2013-03-25,56,False
2013-03-26,0,False
2013-03-27,57,False
2013-03-28,0,False
2013-03-29,32,False
2013-03-30,0,False
2013-03-31,0,False
2013-04-01,29,False
2013-04-02,28,False
2013-04-03,0,False
