date,HSIC,isPartial
2014-12-01,17,False
2014-12-02,17,False
2014-12-03,0,False
2014-12-04,35,False
2014-12-05,37,False
2014-12-06,0,False
2014-12-07,0,False
2014-12-08,72,False
2014-12-09,70,False
2014-12-10,35,False
2014-12-11,0,False
2014-12-12,0,False
2014-12-13,0,False
2014-12-14,0,False
2014-12-15,18,False
2014-12-16,18,False
2014-12-17,55,False
2014-12-18,19,False
2014-12-19,0,False
2014-12-20,0,False
2014-12-21,0,False
2014-12-22,38,False
2014-12-23,0,False
2014-12-24,22,False
2014-12-25,0,False
2014-12-26,21,False
2014-12-27,21,False
2014-12-28,0,False
2014-12-29,19,False
2014-12-30,19,False
2014-12-31,0,False
2015-01-01,0,False
2015-01-02,0,False
2015-01-03,0,False
2015-01-04,0,False
2015-01-05,18,False
2015-01-06,0,False
2015-01-07,17,False
2015-01-08,52,False
2015-01-09,36,False
2015-01-10,20,False
2015-01-11,0,False
2015-01-12,51,False
2015-01-13,0,False
2015-01-14,34,False
2015-01-15,17,False
2015-01-16,53,False
2015-01-17,40,False
2015-01-18,20,False
2015-01-19,0,False
2015-01-20,17,False
2015-01-21,0,False
2015-01-22,34,False
2015-01-23,52,False
2015-01-24,0,False
2015-01-25,0,False
2015-01-26,0,False
2015-01-27,50,False
2015-01-28,0,False
2015-01-29,0,False
2015-01-30,0,False
2015-01-31,20,False
2015-02-01,19,False
2015-02-02,17,False
2015-02-03,33,False
2015-02-04,17,False
2015-02-05,17,False
2015-02-06,18,False
2015-02-07,0,False
2015-02-08,0,False
2015-02-09,33,False
2015-02-10,0,False
2015-02-11,33,False
2015-02-12,68,False
2015-02-13,18,False
2015-02-14,0,False
2015-02-15,0,False
2015-02-16,0,False
2015-02-17,0,False
2015-02-18,0,False
2015-02-19,34,False
2015-02-20,0,False
2015-02-21,20,False
2015-02-22,0,False
2015-02-23,17,False
2015-02-24,50,False
2015-02-25,34,False
2015-02-26,50,False
2015-02-27,35,False
2015-02-28,19,False
2015-03-01,0,False
2015-03-02,0,False
2015-03-03,33,False
2015-03-04,17,False
2015-03-05,0,False
2015-03-06,18,False
2015-03-07,0,False
2015-03-08,0,False
2015-03-09,0,False
2015-03-10,16,False
2015-03-11,17,False
2015-03-12,34,False
2015-03-13,17,False
2015-03-14,20,False
2015-03-15,19,False
2015-03-16,33,False
2015-03-17,17,False
2015-03-18,17,False
2015-03-19,83,False
2015-03-20,17,False
2015-03-21,0,False
2015-03-22,0,False
2015-03-23,33,False
2015-03-24,50,False
2015-03-25,0,False
