date,GOOGL
2014-03-16,85
2014-03-17,89
2014-03-18,89
2014-03-19,87
2014-03-20,95
2014-03-21,87
2014-03-22,83
2014-03-23,85
2014-03-24,85
2014-03-25,88
2014-03-26,84
2014-03-27,88
2014-03-28,82
2014-03-29,87
2014-03-30,82
2014-03-31,85
2014-04-01,87
2014-04-02,89
2014-04-03,100
2014-04-04,94
2014-04-05,87
2014-04-06,88
2014-04-07,89
2014-04-08,89
2014-04-09,86
2014-04-10,91
2014-04-11,89
2014-04-12,87
2014-04-13,84
2014-04-14,87
2014-04-15,85
2014-04-16,88
2014-04-17,92
2014-04-18,86
2014-04-19,89
2014-04-20,88
2014-04-21,90
2014-04-22,89
2014-04-23,91
2014-04-24,88
2014-04-25,85
2014-04-26,86
2014-04-27,81
2014-04-28,87
2014-04-29,87
2014-04-30,89
2014-05-01,90
2014-05-02,91
2014-05-03,86
2014-05-04,86
2014-05-05,91
2014-05-06,91
2014-05-07,89
2014-05-08,90
2014-05-09,88
2014-05-10,85
2014-05-11,81
2014-05-12,88
2014-05-13,87
2014-05-14,87
2014-05-15,92
2014-05-16,91
2014-05-17,85
2014-05-18,86
2014-05-19,95
2014-05-20,90
2014-05-21,93
2014-05-22,93
2014-05-23,90
2014-05-24,87
2014-05-25,89
2014-05-26,87
2014-05-27,94
2014-05-28,89
2014-05-29,89
2014-05-30,92
2014-05-31,92
2014-06-01,86
2014-06-02,89
2014-06-03,88
2014-06-04,91
2014-06-05,91
2014-06-06,88
2014-06-07,89
2014-06-08,89
2014-06-09,89
2014-06-10,85
2014-06-11,89
2014-06-12,92
2014-06-13,87
2014-06-14,90
2014-06-15,87
2014-06-16,90
2014-06-17,88
2014-06-18,87
2014-06-19,90
2014-06-20,87
2014-06-21,89
2014-06-22,92
2014-06-23,84
2014-06-24,88
2014-06-25,86
2014-06-26,85
2014-06-27,84
2014-06-28,84
2014-06-29,81
2014-06-30,77
2014-07-01,80
2014-07-02,77
2014-07-03,81
2014-07-04,81
2014-07-05,85
2014-07-06,84
2014-07-07,82
2014-07-08,79
2014-07-09,83
2014-07-10,80
2014-07-11,80
2014-07-12,83
2014-07-13,85
2014-07-14,86
2014-07-15,80
2014-07-16,82
2014-07-17,83
2014-07-18,84
2014-07-19,83
2014-07-20,85
2014-07-21,85
2014-07-22,81
2014-07-23,83
2014-07-24,80
2014-07-25,81
2014-07-26,82
2014-07-27,85
2014-07-28,84
2014-07-29,85
2014-07-30,85
2014-07-31,85
2014-08-01,83
2014-08-02,88
2014-08-03,88
2014-08-04,84
2014-08-05,83
2014-08-06,84
2014-08-07,80
2014-08-08,85
2014-08-09,82
2014-08-10,87
2014-08-11,86
2014-08-12,84
2014-08-13,84
2014-08-14,85
2014-08-15,89
2014-08-16,84
2014-08-17,88
2014-08-18,83
2014-08-19,82
2014-08-20,74
2014-08-21,77
2014-08-22,79
2014-08-23,78
2014-08-24,81
2014-08-25,79
2014-08-26,78
2014-08-27,79
2014-08-28,77
2014-08-29,78
2014-08-30,80
2014-08-31,79
2014-09-01,75
2014-09-02,76
2014-09-03,77
2014-09-04,79
2014-09-05,78
2014-09-06,82
2014-09-07,82
2014-09-08,79
2014-09-09,77
2014-09-10,78
2014-09-11,77
2014-09-12,78
2014-09-13,78
2014-09-14,79
2014-09-15,79
2014-09-16,80
2014-09-17,77
2014-09-18,81
2014-09-19,80
2014-09-20,84
2014-09-21,80
2014-09-22,79
2014-09-23,79
2014-09-24,78
2014-09-25,80
2014-09-26,77
2014-09-27,81
2014-09-28,82
2014-09-29,80
2014-09-30,79
2014-10-01,80
2014-10-02,76
2014-10-03,80
2014-10-04,73
2014-10-05,74
2014-10-06,82
2014-10-07,79
2014-10-08,81
2014-10-09,78
2014-10-10,79
2014-10-11,81
2014-10-12,80
2014-10-13,78
2014-10-14,77
2014-10-15,81
2014-10-16,84
2014-10-17,83
2014-10-18,80
2014-10-19,77
2014-10-20,79
2014-10-21,81
2014-10-22,77
2014-10-23,77
2014-10-24,80
2014-10-25,83
2014-10-26,76
2014-10-27,78
2014-10-28,82
2014-10-29,80
2014-10-30,77
2014-10-31,79
2014-11-01,78
2014-11-02,77
2014-11-03,77
2014-11-04,78
2014-11-05,77
2014-11-06,80
2014-11-07,78
2014-11-08,80
2014-11-09,76
2014-11-10,77
2014-11-11,75
2014-11-12,78
2014-11-13,81
2014-11-14,80
2014-11-15,75
2014-11-16,77
2014-11-17,75
2014-11-18,77
2014-11-19,74
2014-11-20,79
2014-11-21,80
2014-11-22,80
2014-11-23,76
2014-11-24,76
2014-11-25,74
2014-11-26,76
2014-11-27,77
2014-11-28,76
2014-11-29,74
2014-11-30,74
2014-12-01,74
