date,PCLN
2012-01-26,6
2012-01-27,3
2012-01-28,6
2012-01-29,6
2012-01-30,7
2012-01-31,6
2012-02-01,5
2012-02-02,9
2012-02-03,10
2012-02-04,6
2012-02-05,0
2012-02-06,7
2012-02-07,5
2012-02-08,6
2012-02-09,5
2012-02-10,4
2012-02-11,6
2012-02-12,3
2012-02-13,11
2012-02-14,18
2012-02-15,10
2012-02-16,7
2012-02-17,9
2012-02-18,5
2012-02-19,0
2012-02-20,5
2012-02-21,11
2012-02-22,8
2012-02-23,6
2012-02-24,10
2012-02-25,4
2012-02-26,5
2012-02-27,46
2012-02-28,64
2012-02-29,27
2012-03-01,9
2012-03-02,22
2012-03-03,9
2012-03-04,7
2012-03-05,13
2012-03-06,10
2012-03-07,11
2012-03-08,13
2012-03-09,9
2012-03-10,0
2012-03-11,4
2012-03-12,12
2012-03-13,9
2012-03-14,10
2012-03-15,11
2012-03-16,15
2012-03-17,4
2012-03-18,5
2012-03-19,18
2012-03-20,10
2012-03-21,13
2012-03-22,17
2012-03-23,28
2012-03-24,9
2012-03-25,11
2012-03-26,31
2012-03-27,21
2012-03-28,22
2012-03-29,11
2012-03-30,17
2012-03-31,5
2012-04-01,6
2012-04-02,8
2012-04-03,25
2012-04-04,22
2012-04-05,29
2012-04-06,10
2012-04-07,8
2012-04-08,4
2012-04-09,23
2012-04-10,30
2012-04-11,30
2012-04-12,28
2012-04-13,29
2012-04-14,3
2012-04-15,9
2012-04-16,25
2012-04-17,34
2012-04-18,20
2012-04-19,24
2012-04-20,14
2012-04-21,15
2012-04-22,5
2012-04-23,16
2012-04-24,24
2012-04-25,33
2012-04-26,17
2012-04-27,31
2012-04-28,9
2012-04-29,10
2012-04-30,19
2012-05-01,27
2012-05-02,25
2012-05-03,16
2012-05-04,26
2012-05-05,4
2012-05-06,8
2012-05-07,15
2012-05-08,21
2012-05-09,78
2012-05-10,56
2012-05-11,26
2012-05-12,10
2012-05-13,12
2012-05-14,18
2012-05-15,8
2012-05-16,16
2012-05-17,22
2012-05-18,18
2012-05-19,9
2012-05-20,3
2012-05-21,13
2012-05-22,17
2012-05-23,11
2012-05-24,13
2012-05-25,10
2012-05-26,3
2012-05-27,4
2012-05-28,4
2012-05-29,13
2012-05-30,11
2012-05-31,14
2012-06-01,16
2012-06-02,5
2012-06-03,6
2012-06-04,6
2012-06-05,17
2012-06-06,11
2012-06-07,17
2012-06-08,10
2012-06-09,7
2012-06-10,0
2012-06-11,13
2012-06-12,13
2012-06-13,7
2012-06-14,9
2012-06-15,8
2012-06-16,3
2012-06-17,5
2012-06-18,8
2012-06-19,12
2012-06-20,6
2012-06-21,9
2012-06-22,14
2012-06-23,5
2012-06-24,3
2012-06-25,12
2012-06-26,10
2012-06-27,8
2012-06-28,11
2012-06-29,10
2012-06-30,6
2012-07-01,5
2012-07-02,10
2012-07-03,12
2012-07-04,5
2012-07-05,12
2012-07-06,10
2012-07-07,6
2012-07-08,5
2012-07-09,8
2012-07-10,10
2012-07-11,12
2012-07-12,7
2012-07-13,15
2012-07-14,0
2012-07-15,3
2012-07-16,9
2012-07-17,6
2012-07-18,11
2012-07-19,11
2012-07-20,15
2012-07-21,6
2012-07-22,3
2012-07-23,11
2012-07-24,8
2012-07-25,19
2012-07-26,14
2012-07-27,23
2012-07-28,5
2012-07-29,8
2012-07-30,15
2012-07-31,15
2012-08-01,13
2012-08-02,20
2012-08-03,17
2012-08-04,3
2012-08-05,0
2012-08-06,19
2012-08-07,72
2012-08-08,100
2012-08-09,47
2012-08-10,28
2012-08-11,14
2012-08-12,9
2012-08-13,20
2012-08-14,16
2012-08-15,17
2012-08-16,25
2012-08-17,19
2012-08-18,6
2012-08-19,5
2012-08-20,19
2012-08-21,17
2012-08-22,14
2012-08-23,13
2012-08-24,14
2012-08-25,6
2012-08-26,4
2012-08-27,12
2012-08-28,6
2012-08-29,16
2012-08-30,20
2012-08-31,12
2012-09-01,4
2012-09-02,6
2012-09-03,6
2012-09-04,12
2012-09-05,9
2012-09-06,9
2012-09-07,14
2012-09-08,4
2012-09-09,6
2012-09-10,7
2012-09-11,8
2012-09-12,8
2012-09-13,10
2012-09-14,17
2012-09-15,9
2012-09-16,4
2012-09-17,9
2012-09-18,17
2012-09-19,12
2012-09-20,17
2012-09-21,11
2012-09-22,0
2012-09-23,6
2012-09-24,15
2012-09-25,15
2012-09-26,10
2012-09-27,17
2012-09-28,15
2012-09-29,9
2012-09-30,4
2012-10-01,8
2012-10-02,12
2012-10-03,7
2012-10-04,12
2012-10-05,15
2012-10-06,3
2012-10-07,5
2012-10-08,6
2012-10-09,13
2012-10-10,14
2012-10-11,21
2012-10-12,10
