date,PCLN
2014-12-01,19
2014-12-02,36
2014-12-03,30
2014-12-04,24
2014-12-05,32
2014-12-06,4
2014-12-07,3
2014-12-08,5
2014-12-09,19
2014-12-10,22
2014-12-11,17
2014-12-12,22
2014-12-13,11
2014-12-14,7
2014-12-15,23
2014-12-16,24
2014-12-17,31
2014-12-18,24
2014-12-19,23
2014-12-20,7
2014-12-21,0
2014-12-22,34
2014-12-23,25
2014-12-24,31
2014-12-25,12
2014-12-26,27
2014-12-27,11
2014-12-28,5
2014-12-29,18
2014-12-30,18
2014-12-31,18
2015-01-01,12
2015-01-02,25
2015-01-03,12
2015-01-04,7
2015-01-05,28
2015-01-06,32
2015-01-07,23
2015-01-08,35
2015-01-09,33
2015-01-10,14
2015-01-11,5
2015-01-12,19
2015-01-13,40
2015-01-14,26
2015-01-15,34
2015-01-16,42
2015-01-17,12
2015-01-18,3
2015-01-19,7
2015-01-20,26
2015-01-21,27
2015-01-22,34
2015-01-23,25
2015-01-24,7
2015-01-25,3
2015-01-26,29
2015-01-27,21
2015-01-28,23
2015-01-29,36
2015-01-30,34
2015-01-31,8
2015-02-01,5
2015-02-02,20
2015-02-03,27
2015-02-04,36
2015-02-05,30
2015-02-06,45
2015-02-07,15
2015-02-08,3
2015-02-09,21
2015-02-10,20
2015-02-11,34
2015-02-12,50
2015-02-13,39
2015-02-14,17
2015-02-15,9
2015-02-16,12
2015-02-17,32
2015-02-18,55
2015-02-19,100
2015-02-20,57
2015-02-21,17
2015-02-22,10
2015-02-23,34
2015-02-24,28
2015-02-25,40
2015-02-26,43
2015-02-27,28
2015-02-28,12
2015-03-01,8
2015-03-02,28
2015-03-03,22
2015-03-04,18
2015-03-05,29
2015-03-06,31
2015-03-07,7
2015-03-08,5
2015-03-09,26
2015-03-10,32
2015-03-11,18
2015-03-12,23
2015-03-13,29
2015-03-14,10
2015-03-15,10
2015-03-16,23
2015-03-17,30
2015-03-18,21
2015-03-19,41
2015-03-20,19
2015-03-21,7
2015-03-22,11
2015-03-23,13
2015-03-24,17
2015-03-25,14
2015-03-26,18
2015-03-27,22
2015-03-28,12
2015-03-29,5
2015-03-30,21
2015-03-31,30
2015-04-01,19
2015-04-02,27
2015-04-03,11
2015-04-04,9
2015-04-05,4
2015-04-06,20
2015-04-07,23
2015-04-08,19
2015-04-09,33
2015-04-10,20
2015-04-11,9
2015-04-12,10
2015-04-13,23
2015-04-14,20
2015-04-15,31
2015-04-16,27
2015-04-17,24
2015-04-18,10
2015-04-19,0
2015-04-20,22
2015-04-21,19
2015-04-22,18
2015-04-23,19
2015-04-24,21
2015-04-25,7
2015-04-26,8
2015-04-27,29
2015-04-28,28
2015-04-29,24
2015-04-30,18
2015-05-01,37
2015-05-02,10
2015-05-03,13
2015-05-04,40
2015-05-05,25
2015-05-06,37
2015-05-07,93
2015-05-08,43
2015-05-09,9
2015-05-10,14
2015-05-11,26
2015-05-12,28
2015-05-13,16
2015-05-14,22
2015-05-15,16
2015-05-16,7
2015-05-17,3
2015-05-18,27
2015-05-19,14
2015-05-20,13
2015-05-21,10
2015-05-22,21
2015-05-23,3
2015-05-24,14
2015-05-25,12
2015-05-26,12
2015-05-27,15
2015-05-28,16
2015-05-29,10
2015-05-30,3
2015-05-31,3
2015-06-01,15
2015-06-02,13
2015-06-03,16
2015-06-04,18
2015-06-05,15
2015-06-06,17
2015-06-07,3
2015-06-08,11
2015-06-09,14
2015-06-10,14
2015-06-11,11
2015-06-12,21
2015-06-13,7
2015-06-14,3
2015-06-15,15
2015-06-16,18
2015-06-17,8
2015-06-18,22
2015-06-19,13
2015-06-20,7
2015-06-21,3
2015-06-22,25
2015-06-23,14
2015-06-24,19
2015-06-25,27
2015-06-26,27
2015-06-27,5
2015-06-28,3
2015-06-29,23
2015-06-30,27
2015-07-01,29
2015-07-02,13
2015-07-03,8
2015-07-04,7
2015-07-05,7
2015-07-06,26
2015-07-07,17
2015-07-08,26
2015-07-09,30
2015-07-10,24
2015-07-11,5
2015-07-12,7
2015-07-13,24
2015-07-14,20
2015-07-15,19
2015-07-16,12
2015-07-17,31
2015-07-18,18
2015-07-19,4
2015-07-20,32
2015-07-21,20
2015-07-22,23
2015-07-23,23
2015-07-24,25
2015-07-25,3
2015-07-26,7
2015-07-27,23
2015-07-28,17
2015-07-29,23
2015-07-30,34
2015-07-31,30
2015-08-01,7
2015-08-02,7
2015-08-03,41
2015-08-04,45
2015-08-05,79
2015-08-06,39
2015-08-07,31
2015-08-08,3
2015-08-09,7
2015-08-10,16
2015-08-11,27
2015-08-12,24
2015-08-13,29
2015-08-14,28
2015-08-15,10
2015-08-16,8
2015-08-17,18
2015-08-18,14
