date,PCLN
2014-07-24,20
2014-07-25,27
2014-07-26,7
2014-07-27,5
2014-07-28,14
2014-07-29,21
2014-07-30,24
2014-07-31,27
2014-08-01,23
2014-08-02,5
2014-08-03,6
2014-08-04,47
2014-08-05,29
2014-08-06,29
2014-08-07,46
2014-08-08,53
2014-08-09,17
2014-08-10,16
2014-08-11,70
2014-08-12,26
2014-08-13,27
2014-08-14,26
2014-08-15,21
2014-08-16,9
2014-08-17,7
2014-08-18,15
2014-08-19,20
2014-08-20,19
2014-08-21,22
2014-08-22,19
2014-08-23,9
2014-08-24,5
2014-08-25,26
2014-08-26,17
2014-08-27,14
2014-08-28,20
2014-08-29,23
2014-08-30,6
2014-08-31,4
2014-09-01,4
2014-09-02,15
2014-09-03,15
2014-09-04,26
2014-09-05,23
2014-09-06,12
2014-09-07,3
2014-09-08,15
2014-09-09,26
2014-09-10,21
2014-09-11,27
2014-09-12,27
2014-09-13,9
2014-09-14,12
2014-09-15,17
2014-09-16,28
2014-09-17,25
2014-09-18,27
2014-09-19,26
2014-09-20,5
2014-09-21,6
2014-09-22,21
2014-09-23,23
2014-09-24,22
2014-09-25,20
2014-09-26,20
2014-09-27,3
2014-09-28,6
2014-09-29,17
2014-09-30,18
2014-10-01,17
2014-10-02,13
2014-10-03,17
2014-10-04,6
2014-10-05,9
2014-10-06,19
2014-10-07,10
2014-10-08,16
2014-10-09,28
2014-10-10,27
2014-10-11,9
2014-10-12,5
2014-10-13,28
2014-10-14,24
2014-10-15,25
2014-10-16,22
2014-10-17,16
2014-10-18,8
2014-10-19,7
2014-10-20,27
2014-10-21,29
2014-10-22,21
2014-10-23,23
2014-10-24,18
2014-10-25,0
2014-10-26,3
2014-10-27,10
2014-10-28,16
2014-10-29,15
2014-10-30,22
2014-10-31,36
2014-11-01,13
2014-11-02,12
2014-11-03,32
2014-11-04,72
2014-11-05,50
2014-11-06,36
2014-11-07,17
2014-11-08,3
2014-11-09,8
2014-11-10,25
2014-11-11,31
2014-11-12,32
2014-11-13,25
2014-11-14,23
2014-11-15,6
2014-11-16,7
2014-11-17,20
2014-11-18,21
2014-11-19,17
2014-11-20,29
2014-11-21,27
2014-11-22,3
2014-11-23,5
2014-11-24,15
2014-11-25,24
2014-11-26,11
2014-11-27,5
2014-11-28,16
2014-11-29,3
2014-11-30,3
2014-12-01,11
2014-12-02,23
2014-12-03,18
2014-12-04,20
2014-12-05,25
2014-12-06,7
2014-12-07,8
2014-12-08,9
2014-12-09,18
2014-12-10,15
2014-12-11,11
2014-12-12,16
2014-12-13,7
2014-12-14,3
2014-12-15,15
2014-12-16,19
2014-12-17,20
2014-12-18,16
2014-12-19,22
2014-12-20,6
2014-12-21,3
2014-12-22,22
2014-12-23,23
2014-12-24,28
2014-12-25,6
2014-12-26,15
2014-12-27,8
2014-12-28,6
2014-12-29,19
2014-12-30,10
2014-12-31,12
2015-01-01,3
2015-01-02,17
2015-01-03,7
2015-01-04,5
2015-01-05,23
2015-01-06,26
2015-01-07,23
2015-01-08,25
2015-01-09,35
2015-01-10,10
2015-01-11,4
2015-01-12,22
2015-01-13,25
2015-01-14,19
2015-01-15,32
2015-01-16,35
2015-01-17,9
2015-01-18,3
2015-01-19,7
2015-01-20,16
2015-01-21,30
2015-01-22,36
2015-01-23,30
2015-01-24,5
2015-01-25,4
2015-01-26,24
2015-01-27,21
2015-01-28,24
2015-01-29,28
2015-01-30,29
2015-01-31,7
2015-02-01,4
2015-02-02,11
2015-02-03,22
2015-02-04,20
2015-02-05,23
2015-02-06,37
2015-02-07,7
2015-02-08,5
2015-02-09,21
2015-02-10,23
2015-02-11,27
2015-02-12,45
2015-02-13,38
2015-02-14,11
2015-02-15,10
2015-02-16,12
2015-02-17,36
2015-02-18,47
2015-02-19,100
2015-02-20,50
2015-02-21,10
2015-02-22,8
2015-02-23,24
2015-02-24,21
2015-02-25,28
2015-02-26,24
2015-02-27,21
2015-02-28,9
2015-03-01,4
2015-03-02,21
2015-03-03,24
2015-03-04,17
2015-03-05,23
2015-03-06,22
2015-03-07,7
2015-03-08,3
2015-03-09,22
2015-03-10,30
2015-03-11,18
2015-03-12,16
2015-03-13,25
2015-03-14,9
2015-03-15,7
2015-03-16,12
2015-03-17,21
2015-03-18,17
2015-03-19,18
2015-03-20,17
2015-03-21,5
2015-03-22,8
2015-03-23,11
2015-03-24,15
2015-03-25,16
2015-03-26,16
2015-03-27,20
2015-03-28,6
2015-03-29,3
2015-03-30,15
2015-03-31,18
2015-04-01,14
2015-04-02,16
2015-04-03,12
2015-04-04,6
2015-04-05,4
2015-04-06,15
2015-04-07,20
2015-04-08,20
2015-04-09,20
2015-04-10,18
