date,INTU,isPartial
2014-03-16,16,False
2014-03-17,20,False
2014-03-18,26,False
2014-03-19,28,False
2014-03-20,26,False
2014-03-21,20,False
2014-03-22,25,False
2014-03-23,16,False
2014-03-24,23,False
2014-03-25,14,False
2014-03-26,25,False
2014-03-27,31,False
2014-03-28,21,False
2014-03-29,38,False
2014-03-30,25,False
2014-03-31,24,False
2014-04-01,36,False
2014-04-02,25,False
2014-04-03,24,False
2014-04-04,31,False
2014-04-05,18,False
2014-04-06,27,False
2014-04-07,37,False
2014-04-08,28,False
2014-04-09,26,False
2014-04-10,28,False
2014-04-11,29,False
2014-04-12,32,False
2014-04-13,27,False
2014-04-14,27,False
2014-04-15,32,False
2014-04-16,16,False
2014-04-17,23,False
2014-04-18,45,False
2014-04-19,32,False
2014-04-20,56,False
2014-04-21,43,False
2014-04-22,26,False
2014-04-23,33,False
2014-04-24,34,False
2014-04-25,29,False
2014-04-26,28,False
2014-04-27,34,False
2014-04-28,16,False
2014-04-29,22,False
2014-04-30,25,False
2014-05-01,22,False
2014-05-02,23,False
2014-05-03,31,False
2014-05-04,31,False
2014-05-05,64,False
2014-05-06,35,False
2014-05-07,35,False
2014-05-08,40,False
2014-05-09,32,False
2014-05-10,34,False
2014-05-11,37,False
2014-05-12,16,False
2014-05-13,23,False
2014-05-14,25,False
2014-05-15,21,False
2014-05-16,21,False
2014-05-17,26,False
2014-05-18,23,False
2014-05-19,23,False
2014-05-20,30,False
2014-05-21,34,False
2014-05-22,27,False
2014-05-23,35,False
2014-05-24,43,False
2014-05-25,40,False
2014-05-26,53,False
2014-05-27,35,False
2014-05-28,31,False
2014-05-29,42,False
2014-05-30,41,False
2014-05-31,22,False
2014-06-01,27,False
2014-06-02,30,False
2014-06-03,20,False
2014-06-04,37,False
2014-06-05,39,False
2014-06-06,28,False
2014-06-07,47,False
2014-06-08,27,False
2014-06-09,33,False
2014-06-10,43,False
2014-06-11,25,False
2014-06-12,21,False
2014-06-13,25,False
2014-06-14,29,False
2014-06-15,40,False
2014-06-16,35,False
2014-06-17,28,False
2014-06-18,40,False
2014-06-19,27,False
2014-06-20,32,False
2014-06-21,28,False
2014-06-22,24,False
2014-06-23,35,False
2014-06-24,29,False
2014-06-25,37,False
2014-06-26,29,False
2014-06-27,27,False
2014-06-28,42,False
2014-06-29,29,False
2014-06-30,37,False
2014-07-01,33,False
2014-07-02,44,False
2014-07-03,22,False
2014-07-04,41,False
2014-07-05,34,False
2014-07-06,23,False
2014-07-07,30,False
2014-07-08,30,False
2014-07-09,24,False
2014-07-10,28,False
2014-07-11,29,False
2014-07-12,35,False
2014-07-13,20,False
2014-07-14,33,False
2014-07-15,30,False
2014-07-16,38,False
2014-07-17,32,False
2014-07-18,24,False
2014-07-19,36,False
2014-07-20,21,False
2014-07-21,33,False
2014-07-22,42,False
2014-07-23,40,False
2014-07-24,26,False
2014-07-25,24,False
2014-07-26,28,False
2014-07-27,29,False
2014-07-28,39,False
2014-07-29,36,False
2014-07-30,44,False
2014-07-31,35,False
2014-08-01,29,False
2014-08-02,32,False
2014-08-03,34,False
2014-08-04,33,False
2014-08-05,29,False
2014-08-06,44,False
2014-08-07,38,False
2014-08-08,37,False
2014-08-09,45,False
2014-08-10,56,False
2014-08-11,39,False
2014-08-12,35,False
2014-08-13,35,False
2014-08-14,44,False
2014-08-15,37,False
2014-08-16,35,False
2014-08-17,52,False
2014-08-18,30,False
2014-08-19,41,False
2014-08-20,34,False
2014-08-21,37,False
2014-08-22,45,False
2014-08-23,25,False
2014-08-24,43,False
2014-08-25,62,False
2014-08-26,41,False
2014-08-27,33,False
2014-08-28,44,False
2014-08-29,42,False
2014-08-30,38,False
2014-08-31,27,False
2014-09-01,40,False
2014-09-02,36,False
2014-09-03,43,False
2014-09-04,41,False
2014-09-05,39,False
2014-09-06,41,False
2014-09-07,36,False
2014-09-08,41,False
2014-09-09,34,False
2014-09-10,37,False
2014-09-11,43,False
2014-09-12,39,False
2014-09-13,37,False
2014-09-14,40,False
2014-09-15,32,False
2014-09-16,31,False
2014-09-17,27,False
2014-09-18,24,False
2014-09-19,30,False
2014-09-20,37,False
2014-09-21,39,False
