date,INTU
2011-09-18,17
2011-09-19,38
2011-09-20,14
2011-09-21,43
2011-09-22,63
2011-09-23,15
2011-09-24,35
2011-09-25,59
2011-09-26,38
2011-09-27,75
2011-09-28,38
2011-09-29,49
2011-09-30,46
2011-10-01,24
2011-10-02,65
2011-10-03,29
2011-10-04,52
2011-10-05,50
2011-10-06,36
2011-10-07,65
2011-10-08,26
2011-10-09,34
2011-10-10,42
2011-10-11,62
2011-10-12,32
2011-10-13,38
2011-10-14,39
2011-10-15,52
2011-10-16,43
2011-10-17,42
2011-10-18,32
2011-10-19,28
2011-10-20,19
2011-10-21,30
2011-10-22,17
2011-10-23,34
2011-10-24,55
2011-10-25,46
2011-10-26,33
2011-10-27,28
2011-10-28,25
2011-10-29,69
2011-10-30,51
2011-10-31,24
2011-11-01,48
2011-11-02,42
2011-11-03,51
2011-11-04,29
2011-11-05,51
2011-11-06,28
2011-11-07,55
2011-11-08,34
2011-11-09,28
2011-11-10,65
2011-11-11,44
2011-11-12,40
2011-11-13,58
2011-11-14,45
2011-11-15,51
2011-11-16,41
2011-11-17,51
2011-11-18,65
2011-11-19,39
2011-11-20,50
2011-11-21,36
2011-11-22,75
2011-11-23,55
2011-11-24,39
2011-11-25,45
2011-11-26,39
2011-11-27,32
2011-11-28,49
2011-11-29,67
2011-11-30,45
2011-12-01,50
2011-12-02,48
2011-12-03,38
2011-12-04,32
2011-12-05,49
2011-12-06,40
2011-12-07,58
2011-12-08,23
2011-12-09,48
2011-12-10,55
2011-12-11,33
2011-12-12,62
2011-12-13,40
2011-12-14,61
2011-12-15,37
2011-12-16,100
2011-12-17,59
2011-12-18,33
2011-12-19,36
2011-12-20,64
2011-12-21,24
2011-12-22,24
2011-12-23,26
2011-12-24,65
2011-12-25,20
2011-12-26,24
2011-12-27,44
2011-12-28,44
2011-12-29,39
2011-12-30,54
2011-12-31,36
2012-01-01,31
2012-01-02,22
2012-01-03,20
2012-01-04,31
2012-01-05,45
2012-01-06,38
2012-01-07,32
2012-01-08,26
2012-01-09,39
2012-01-10,51
2012-01-11,45
2012-01-12,39
2012-01-13,67
2012-01-14,52
2012-01-15,67
2012-01-16,34
2012-01-17,51
2012-01-18,55
2012-01-19,64
2012-01-20,67
2012-01-21,56
2012-01-22,51
2012-01-23,46
2012-01-24,59
2012-01-25,55
2012-01-26,57
2012-01-27,31
2012-01-28,31
2012-01-29,46
2012-01-30,43
2012-01-31,50
2012-02-01,71
2012-02-02,81
2012-02-03,79
2012-02-04,56
2012-02-05,40
2012-02-06,58
2012-02-07,37
2012-02-08,63
2012-02-09,34
2012-02-10,62
2012-02-11,35
2012-02-12,24
2012-02-13,33
2012-02-14,38
2012-02-15,25
2012-02-16,30
2012-02-17,40
2012-02-18,26
2012-02-19,41
2012-02-20,43
2012-02-21,47
2012-02-22,84
2012-02-23,63
2012-02-24,35
2012-02-25,45
2012-02-26,37
2012-02-27,50
2012-02-28,70
2012-02-29,54
2012-03-01,39
2012-03-02,36
2012-03-03,16
2012-03-04,47
2012-03-05,34
2012-03-06,71
2012-03-07,50
2012-03-08,38
2012-03-09,40
2012-03-10,38
2012-03-11,20
2012-03-12,45
2012-03-13,78
2012-03-14,33
2012-03-15,44
2012-03-16,22
2012-03-17,38
2012-03-18,30
2012-03-19,54
2012-03-20,37
2012-03-21,67
2012-03-22,47
2012-03-23,31
2012-03-24,54
2012-03-25,46
2012-03-26,25
2012-03-27,38
2012-03-28,38
2012-03-29,30
2012-03-30,36
2012-03-31,51
2012-04-01,41
2012-04-02,42
2012-04-03,26
2012-04-04,39
2012-04-05,22
2012-04-06,34
2012-04-07,32
2012-04-08,40
2012-04-09,55
2012-04-10,43
2012-04-11,41
2012-04-12,34
2012-04-13,40
2012-04-14,23
2012-04-15,68
2012-04-16,25
2012-04-17,49
2012-04-18,33
2012-04-19,34
2012-04-20,44
2012-04-21,25
2012-04-22,15
2012-04-23,25
2012-04-24,61
2012-04-25,29
2012-04-26,31
2012-04-27,53
2012-04-28,68
2012-04-29,41
2012-04-30,26
2012-05-01,62
2012-05-02,25
2012-05-03,50
2012-05-04,39
2012-05-05,30
2012-05-06,30
2012-05-07,49
2012-05-08,29
2012-05-09,37
2012-05-10,17
2012-05-11,61
2012-05-12,69
2012-05-13,30
2012-05-14,16
2012-05-15,44
2012-05-16,29
2012-05-17,43
2012-05-18,84
2012-05-19,47
2012-05-20,30
2012-05-21,24
2012-05-22,57
2012-05-23,70
2012-05-24,59
2012-05-25,31
2012-05-26,42
2012-05-27,26
2012-05-28,39
2012-05-29,28
2012-05-30,43
2012-05-31,50
2012-06-01,26
2012-06-02,31
2012-06-03,20
2012-06-04,36
