date,INTU,isPartial
2012-01-26,24,False
2012-01-27,24,False
2012-01-28,10,False
2012-01-29,19,False
2012-01-30,23,False
2012-01-31,23,False
2012-02-01,23,False
2012-02-02,46,False
2012-02-03,0,False
2012-02-04,37,False
2012-02-05,9,False
2012-02-06,15,False
2012-02-07,8,False
2012-02-08,0,False
2012-02-09,39,False
2012-02-10,24,False
2012-02-11,28,False
2012-02-12,36,False
2012-02-13,15,False
2012-02-14,39,False
2012-02-15,39,False
2012-02-16,24,False
2012-02-17,41,False
2012-02-18,19,False
2012-02-19,28,False
2012-02-20,32,False
2012-02-21,24,False
2012-02-22,62,False
2012-02-23,39,False
2012-02-24,16,False
2012-02-25,28,False
2012-02-26,9,False
2012-02-27,15,False
2012-02-28,8,False
2012-02-29,0,False
2012-03-01,16,False
2012-03-02,17,False
2012-03-03,38,False
2012-03-04,0,False
2012-03-05,16,False
2012-03-06,46,False
2012-03-07,38,False
2012-03-08,31,False
2012-03-09,24,False
2012-03-10,19,False
2012-03-11,9,False
2012-03-12,23,False
2012-03-13,15,False
2012-03-14,38,False
2012-03-15,39,False
2012-03-16,33,False
2012-03-17,19,False
2012-03-18,37,False
2012-03-19,31,False
2012-03-20,23,False
2012-03-21,23,False
2012-03-22,0,False
2012-03-23,24,False
2012-03-24,19,False
2012-03-25,10,False
2012-03-26,8,False
2012-03-27,31,False
2012-03-28,15,False
2012-03-29,39,False
2012-03-30,41,False
2012-03-31,19,False
2012-04-01,9,False
2012-04-02,39,False
2012-04-03,23,False
2012-04-04,16,False
2012-04-05,33,False
2012-04-06,36,False
2012-04-07,0,False
2012-04-08,30,False
2012-04-09,19,False
2012-04-10,16,False
2012-04-11,0,False
2012-04-12,47,False
2012-04-13,24,False
2012-04-14,0,False
2012-04-15,18,False
2012-04-16,23,False
2012-04-17,15,False
2012-04-18,23,False
2012-04-19,8,False
2012-04-20,24,False
2012-04-21,28,False
2012-04-22,18,False
2012-04-23,30,False
2012-04-24,15,False
2012-04-25,30,False
2012-04-26,23,False
2012-04-27,0,False
2012-04-28,9,False
2012-04-29,19,False
2012-04-30,8,False
2012-05-01,25,False
2012-05-02,54,False
2012-05-03,0,False
2012-05-04,24,False
2012-05-05,9,False
2012-05-06,27,False
2012-05-07,8,False
2012-05-08,22,False
2012-05-09,45,False
2012-05-10,8,False
2012-05-11,24,False
2012-05-12,48,False
2012-05-13,0,False
2012-05-14,22,False
2012-05-15,7,False
2012-05-16,7,False
2012-05-17,47,False
2012-05-18,32,False
2012-05-19,29,False
2012-05-20,19,False
2012-05-21,8,False
2012-05-22,30,False
2012-05-23,30,False
2012-05-24,23,False
2012-05-25,33,False
2012-05-26,0,False
2012-05-27,10,False
2012-05-28,16,False
2012-05-29,7,False
2012-05-30,23,False
2012-05-31,23,False
2012-06-01,24,False
2012-06-02,19,False
2012-06-03,9,False
2012-06-04,15,False
2012-06-05,7,False
2012-06-06,52,False
2012-06-07,23,False
2012-06-08,8,False
2012-06-09,19,False
2012-06-10,18,False
2012-06-11,22,False
2012-06-12,15,False
2012-06-13,45,False
2012-06-14,53,False
2012-06-15,32,False
2012-06-16,19,False
2012-06-17,9,False
2012-06-18,30,False
2012-06-19,15,False
2012-06-20,8,False
2012-06-21,31,False
2012-06-22,16,False
2012-06-23,19,False
2012-06-24,19,False
2012-06-25,22,False
2012-06-26,44,False
2012-06-27,46,False
2012-06-28,31,False
2012-06-29,8,False
2012-06-30,29,False
2012-07-01,9,False
2012-07-02,15,False
2012-07-03,23,False
2012-07-04,16,False
2012-07-05,55,False
2012-07-06,32,False
2012-07-07,0,False
2012-07-08,29,False
2012-07-09,15,False
2012-07-10,15,False
2012-07-11,0,False
2012-07-12,8,False
2012-07-13,16,False
2012-07-14,57,False
2012-07-15,0,False
2012-07-16,8,False
2012-07-17,8,False
2012-07-18,23,False
2012-07-19,8,False
2012-07-20,24,False
2012-07-21,29,False
2012-07-22,0,False
2012-07-23,8,False
2012-07-24,31,False
2012-07-25,23,False
2012-07-26,31,False
2012-07-27,16,False
2012-07-28,29,False
2012-07-29,9,False
2012-07-30,69,False
2012-07-31,69,False
